,name,city,bldg_type,Occupied Housing Units,Number of Households*,Household Population*,Average Household Size,Ratio of Households to Occupied Housing Units,Ratio of Household Population to Occupied Housing Units,year
0,Aborlan,ABORLAN,Single house,7621.0,7644.0,33011.0,4.32,1.0,4.33,2015.0
1,Aborlan,ABORLAN,Duplex,274.0,276.0,1082.0,3.92,1.01,3.95,2015.0
2,Aborlan,ABORLAN,Multi-unit residential,358.0,360.0,855.0,2.38,1.01,2.39,2015.0
3,Aborlan,ABORLAN,Commercial/industrial/agricultural,5.0,5.0,23.0,4.6,1.0,4.6,2015.0
4,Aborlan,ABORLAN,Institutional living quarter,1.0,1.0,4.0,4.0,1.0,4.0,2015.0
5,Aborlan,ABORLAN,Others,,,,,,,2015.0
6,Aborlan,ABORLAN,Not Reported,8.0,8.0,29.0,3.63,1.0,3.63,2015.0
7,Abra De Ilog,ABRA DE ILOG,Single house,7060.0,7198.0,30733.0,4.27,1.02,4.35,2015.0
8,Abra De Ilog,ABRA DE ILOG,Duplex,88.0,94.0,324.0,3.45,1.07,3.68,2015.0
9,Abra De Ilog,ABRA DE ILOG,Multi-unit residential,26.0,26.0,89.0,3.42,1.0,3.42,2015.0
10,Abra De Ilog,ABRA DE ILOG,Commercial/industrial/agricultural,4.0,4.0,16.0,4.0,1.0,4.0,2015.0
11,Abra De Ilog,ABRA DE ILOG,Institutional living quarter,3.0,3.0,3.0,1.0,1.0,1.0,2015.0
12,Abra De Ilog,ABRA DE ILOG,Others,,,,,,,2015.0
13,Abra De Ilog,ABRA DE ILOG,Not Reported,4.0,4.0,15.0,3.75,1.0,3.75,2015.0
14,Abucay,ABUCAY,Single house,7643.0,7819.0,33215.0,4.25,1.02,4.35,2015.0
15,Abucay,ABUCAY,Duplex,862.0,878.0,3579.0,4.08,1.02,4.15,2015.0
16,Abucay,ABUCAY,Multi-unit residential,749.0,754.0,3019.0,4.0,1.01,4.03,2015.0
17,Abucay,ABUCAY,Commercial/industrial/agricultural,2.0,2.0,5.0,2.5,1.0,2.5,2015.0
18,Abucay,ABUCAY,Institutional living quarter,,,,,,,2015.0
19,Abucay,ABUCAY,Others,,,,,,,2015.0
20,Abucay,ABUCAY,Not Reported,,,,,,,2015.0
21,Abulug,ABULUG,Single house,7055.0,7084.0,31184.0,4.4,1.0,4.42,2015.0
22,Abulug,ABULUG,Duplex,243.0,243.0,991.0,4.08,1.0,4.08,2015.0
23,Abulug,ABULUG,Multi-unit residential,52.0,52.0,183.0,3.52,1.0,3.52,2015.0
24,Abulug,ABULUG,Commercial/industrial/agricultural,23.0,23.0,87.0,3.78,1.0,3.78,2015.0
25,Abulug,ABULUG,Institutional living quarter,,,,,,,2015.0
26,Abulug,ABULUG,Others,,,,,,,2015.0
27,Abulug,ABULUG,Not Reported,2.0,3.0,11.0,3.67,1.5,5.5,2015.0
28,Abuyog,ABUYOG,Single house,12629.0,12826.0,54747.0,4.27,1.02,4.34,2015.0
29,Abuyog,ABUYOG,Duplex,480.0,495.0,1962.0,3.96,1.03,4.09,2015.0
30,Abuyog,ABUYOG,Multi-unit residential,165.0,166.0,615.0,3.7,1.01,3.73,2015.0
31,Abuyog,ABUYOG,Commercial/industrial/agricultural,10.0,10.0,49.0,4.9,1.0,4.9,2015.0
32,Abuyog,ABUYOG,Institutional living quarter,1.0,1.0,3.0,3.0,1.0,3.0,2015.0
33,Abuyog,ABUYOG,Others,,,,,,,2015.0
34,Abuyog,ABUYOG,Not Reported,9.0,10.0,48.0,4.8,1.11,5.33,2015.0
35,Adams,ADAMS,Single house,407.0,407.0,1771.0,4.35,1.0,4.35,2015.0
36,Adams,ADAMS,Duplex,2.0,2.0,8.0,4.0,1.0,4.0,2015.0
37,Adams,ADAMS,Multi-unit residential,2.0,2.0,13.0,6.5,1.0,6.5,2015.0
38,Adams,ADAMS,Commercial/industrial/agricultural,,,,,,,2015.0
39,Adams,ADAMS,Institutional living quarter,,,,,,,2015.0
40,Adams,ADAMS,Others,,,,,,,2015.0
41,Adams,ADAMS,Not Reported,,,,,,,2015.0
42,Agdangan,AGDANGAN,Single house,2958.0,2973.0,12101.0,4.07,1.01,4.09,2015.0
43,Agdangan,AGDANGAN,Duplex,140.0,140.0,531.0,3.79,1.0,3.79,2015.0
44,Agdangan,AGDANGAN,Multi-unit residential,47.0,47.0,170.0,3.62,1.0,3.62,2015.0
45,Agdangan,AGDANGAN,Commercial/industrial/agricultural,4.0,4.0,11.0,2.75,1.0,2.75,2015.0
46,Agdangan,AGDANGAN,Institutional living quarter,1.0,1.0,4.0,4.0,1.0,4.0,2015.0
47,Agdangan,AGDANGAN,Others,,,,,,,2015.0
48,Agdangan,AGDANGAN,Not Reported,6.0,6.0,32.0,5.33,1.0,5.33,2015.0
49,Aglipay,AGLIPAY,Single house,6316.0,6352.0,26889.0,4.23,1.01,4.26,2015.0
50,Aglipay,AGLIPAY,Duplex,167.0,167.0,660.0,3.95,1.0,3.95,2015.0
51,Aglipay,AGLIPAY,Multi-unit residential,27.0,27.0,104.0,3.85,1.0,3.85,2015.0
52,Aglipay,AGLIPAY,Commercial/industrial/agricultural,29.0,29.0,110.0,3.79,1.0,3.79,2015.0
53,Aglipay,AGLIPAY,Institutional living quarter,,,,,,,2015.0
54,Aglipay,AGLIPAY,Others,,,,,,,2015.0
55,Aglipay,AGLIPAY,Not Reported,1.0,2.0,11.0,5.5,2.0,11.0,2015.0
56,Agno,AGNO,Single house,6393.0,6421.0,27212.0,4.24,1.0,4.26,2015.0
57,Agno,AGNO,Duplex,141.0,142.0,583.0,4.11,1.01,4.13,2015.0
58,Agno,AGNO,Multi-unit residential,38.0,40.0,153.0,3.83,1.05,4.03,2015.0
59,Agno,AGNO,Commercial/industrial/agricultural,18.0,18.0,94.0,5.22,1.0,5.22,2015.0
60,Agno,AGNO,Institutional living quarter,,,,,,,2015.0
61,Agno,AGNO,Others,,,,,,,2015.0
