,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,0.0000,0.0017,0.0104,0.1113,0.2487,0.0329,0.0066,Agno
1,Local Economy Growth,-,-,0.0000,0.0000,0.0042,0.0192,1.0324,0.0018,0.001,Agno
2,Active Establishments in the Locality,-,-,-,0.0000,0.0067,0.3965,0.5697,0.8324,0.6461,Agno
3,Safety Compliant Business,-,-,-,0.0167,0.0604,0.0612,1.0907,0.5242,0.3186,Agno
4,Employment Generation,-,-,0.0000,0.1106,0.0535,0.2498,0.2358,0.3401,0.3984,Agno
5,Cost of Living,-,-,3.0833,1.5517,1.8056,1.2500,1.0938,1.3750,1.9992,Agno
6,Cost of Doing Business,-,-,1.6003,2.2866,1.9768,2.1659,2.3195,2.3897,1.9049,Agno
7,Financial Deepening,-,-,0.3086,0.0397,0.0252,0.0852,0.1476,0.2295,0.0751,Agno
8,Productivity,-,-,0.0000,0.0036,0.0167,0.1533,0.3694,0.2356,0.1864,Agno
9,Presence of Business and Professional Organizations,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0610,1.1744,Agno
10,Compliance to National Directives,-,-,0.0000,1.2500,0.0000,0.0000,0.0000,2.4643,1.9615,Agno
11,Presence of Investment Promotion Unit,-,-,0.0000,1.8750,0.0000,2.5000,2.5000,2.5000,1.9958,Agno
12,Compliance to ARTA Citizens Charter,-,-,1.2248,2.3253,0.0000,2.4385,2.4779,2.2584,2.0,Agno
13,Capacity to Generate Local Resource,-,-,1.7194,0.5044,0.0000,0.0591,0.2753,0.0670,0.0497,Agno
14,Capacity of Health Services,-,-,0.0000,0.0712,0.0000,0.0340,0.0339,0.0228,0.0277,Agno
15,Capacity of School Services,-,-,0.0000,0.1688,0.0000,0.2790,0.1627,0.0335,0.0077,Agno
16,Recognition of Performance,-,-,0.0877,0.1688,0.0000,0.0940,0.0222,0.4837,0.0787,Agno
17,Getting Business Permits,-,-,0.0000,1.3471,0.0000,1.5288,1.5702,1.5530,0.5,Agno
18,Peace and Order,-,-,0.1861,0.1643,0.0000,0.1959,0.3061,0.0739,0.0001,Agno
19,Social Protection,-,-,0.0563,1.1871,0.0000,1.1767,0.5203,0.1681,1.2152,Agno
20,Road Network,-,-,0.0000,0.0010,0.0000,0.0950,0.0009,0.0781,0.005,Agno
21,Distance to Ports,-,-,2.7465,2.2718,0.0000,2.3811,2.3099,1.9861,1.9576,Agno
22,Availability of Basic Utilities,-,-,1.6667,2.5000,0.0000,2.4534,1.6668,1.9168,0.3572,Agno
23,Transportation Vehicles,-,-,0.0133,0.0561,0.0000,0.0050,0.0114,0.0239,0.0053,Agno
24,Education,-,-,0.0926,0.1472,0.0000,0.0164,0.1069,0.0293,0.0721,Agno
25,Health,-,-,0.0000,0.0384,0.0000,0.0820,0.0249,0.0279,0.0165,Agno
26,LGU Investment,-,-,0.0000,0.0966,0.0000,0.0664,0.0553,0.1073,0.0001,Agno
27,Accommodation Capacity,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0038,Agno
28,Information Technology Capacity,-,-,0.0000,0.3274,0.0000,0.3097,0.3472,0.4891,0.2609,Agno
29,Financial Technology Capacity,-,-,0.0000,0.0000,0.0000,0.3668,0.4063,0.1389,0.0909,Agno
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4744,2.4744,2.5000,1.9054,Agno
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.5000,2.5000,1.9998,Agno
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.2321,2.5000,1.2829,1.002,Agno
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2649,1.1344,Agno
34,Budget for DRRMP,-,-,-,0.0000,0.0000,0.1220,0.0449,0.0064,0.0,Agno
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Agno
36,Emergency Infrastructure,-,-,-,0.8642,0.0000,0.4557,0.4607,0.2654,0.4776,Agno
37,Utilities,-,-,-,0.9834,0.0000,1.8729,1.8671,1.2551,1.4638,Agno
38,Employed Population,-,-,-,0.0931,0.0000,0.0122,0.0433,0.0445,0.005,Agno
39,Sanitary System,-,-,-,0.5667,0.0000,2.0189,1.9628,1.8751,1.5001,Agno
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.016,Agno
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Agno
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Agno
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Agno
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,Agno
45,Internet Capability,-,-,-,-,-,-,-,-,0.1304,Agno
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0101,Agno
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Agno
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Agno
49,New Technology,-,-,-,-,-,-,-,-,0.0,Agno
