,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.2753,0.2078,0.1687,0.0310,0.0382,0.0050,0.0112,0.0279,0.0201,Aparri
1,Local Economy Growth,0.2136,0.3443,0.0606,0.0073,0.0163,0.0003,0.3316,0.0026,0.0,Aparri
2,Active Establishments in the Locality,-,-,-,0.2030,0.3136,0.1860,0.0435,0.2589,0.1809,Aparri
3,Safety Compliant Business,-,-,-,0.2947,0.5218,0.2090,0.1651,0.2076,0.0,Aparri
4,Employment Generation,0.4224,0.1300,0.1051,0.0653,0.1369,0.1560,0.1070,0.1736,0.0683,Aparri
5,Cost of Living,3.7356,3.1977,2.2500,1.3514,1.2963,1.1905,1.2069,0.7813,1.7308,Aparri
6,Cost of Doing Business,2.6577,3.5510,3.4803,2.1735,2.1102,2.0164,2.1580,2.1832,1.8426,Aparri
7,Financial Deepening,0.8613,0.8978,0.9737,0.5051,0.0884,0.4924,0.4943,0.4524,0.4325,Aparri
8,Productivity,0.0000,0.0097,0.0041,0.0236,0.0023,0.0012,0.0759,0.1047,0.0514,Aparri
9,Presence of Business and Professional Organizations,0.0086,0.0192,0.0216,0.0645,0.0672,0.0340,0.0377,0.0369,0.0056,Aparri
10,Compliance to National Directives,2.9167,2.9167,2.9240,1.9551,0.0000,2.4000,2.4242,2.2619,1.8214,Aparri
11,Presence of Investment Promotion Unit,0.0000,0.0000,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.8206,Aparri
12,Compliance to ARTA Citizens Charter,-,2.5384,2.0326,2.2029,0.0000,2.1711,2.3986,2.1365,2.0,Aparri
13,Capacity to Generate Local Resource,0.3135,0.3374,0.2703,0.9934,0.0000,0.0867,0.0771,0.0102,0.0051,Aparri
14,Capacity of Health Services,0.6144,0.3202,0.3180,0.2077,0.0000,0.2404,0.1761,0.2936,0.004,Aparri
15,Capacity of School Services,0.0000,0.4136,0.4586,0.1220,0.0000,0.0000,0.0694,0.0000,0.1078,Aparri
16,Recognition of Performance,0.2381,0.0000,0.3030,0.1220,0.0000,0.0722,0.0172,0.1075,0.1155,Aparri
17,Getting Business Permits,-,-,1.1111,2.0234,0.0000,2.4788,2.4704,1.8181,2.0,Aparri
18,Peace and Order,0.5674,0.0672,0.0544,0.3836,0.0000,0.0287,0.0263,0.0696,0.0001,Aparri
19,Social Protection,-,-,0.1266,0.1781,0.0000,0.2717,0.2782,0.2389,0.0013,Aparri
20,Road Network,0.0000,0.0006,0.0009,0.0011,0.0000,0.0361,0.0006,0.0652,0.0003,Aparri
21,Distance to Ports,0.0000,2.0280,2.9547,2.2254,0.0000,2.3989,2.4981,2.4259,1.9405,Aparri
22,Availability of Basic Utilities,3.3333,3.3333,3.3333,2.5000,0.0000,1.9057,1.9813,1.8751,0.0608,Aparri
23,Transportation Vehicles,0.0916,0.1424,0.2336,0.1329,0.0000,0.2220,0.2229,0.0603,0.0623,Aparri
24,Education,0.1875,0.3029,0.0903,0.1227,0.0000,0.0716,0.1361,0.1799,0.1391,Aparri
25,Health,0.5841,0.3238,0.3333,0.3482,0.0000,0.1794,0.1868,0.1508,0.1882,Aparri
26,LGU Investment,1.3349,0.4761,0.9598,0.4688,0.0000,0.3375,0.1778,0.0235,0.0012,Aparri
27,Accommodation Capacity,0.0409,0.0404,0.0281,0.0378,0.0000,0.0190,0.0074,0.0028,0.0038,Aparri
28,Information Technology Capacity,1.8431,0.4651,1.0193,0.3799,0.0000,0.4257,0.1108,0.0455,0.0441,Aparri
29,Financial Technology Capacity,0.2214,0.2646,0.3487,0.2118,0.0000,0.2445,0.2389,0.2389,0.1293,Aparri
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4359,2.4744,2.4091,1.9242,Aparri
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.3611,2.5000,2.4474,1.9998,Aparri
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.2500,2.5000,1.2667,1.004,Aparri
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2591,1.0087,Aparri
34,Budget for DRRMP,-,-,-,0.0022,0.0000,0.2068,0.1304,0.0215,0.0,Aparri
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Aparri
36,Emergency Infrastructure,-,-,-,0.8912,0.0000,0.4725,0.4797,0.2744,0.362,Aparri
37,Utilities,-,-,-,0.9727,0.0000,1.8773,1.8771,1.2575,1.5027,Aparri
38,Employed Population,-,-,-,0.1407,0.0000,0.0540,0.0196,0.0090,0.0065,Aparri
39,Sanitary System,-,-,-,1.5917,0.0000,1.7621,1.9585,1.8752,1.5002,Aparri
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0784,Aparri
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Aparri
42,STEM graduates,-,-,-,-,-,-,-,-,0.0023,Aparri
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.048,Aparri
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Aparri
45,Internet Capability,-,-,-,-,-,-,-,-,1.0238,Aparri
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Aparri
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Aparri
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Aparri
49,New Technology,-,-,-,-,-,-,-,-,0.0,Aparri
