,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.0365,0.0491,0.0004,0.0012,0.0030,0.0127,0.0089,0.0177,Malabuyoc
1,Local Economy Growth,-,0.1964,0.1013,0.0015,0.0014,0.0018,0.0312,0.0070,0.0,Malabuyoc
2,Active Establishments in the Locality,-,-,-,0.0904,0.0011,0.0766,0.1736,0.2884,0.1928,Malabuyoc
3,Safety Compliant Business,-,-,-,0.0740,0.0377,0.0758,0.2080,0.2534,0.4725,Malabuyoc
4,Employment Generation,-,0.2334,0.0452,0.0210,0.0119,0.0579,0.3497,0.0703,0.0966,Malabuyoc
5,Cost of Living,-,3.2051,2.6667,0.6466,1.4352,1.5000,1.4344,2.3750,1.7895,Malabuyoc
6,Cost of Doing Business,-,3.3935,3.3572,1.9483,2.0164,2.0502,2.0913,2.2099,1.5957,Malabuyoc
7,Financial Deepening,-,0.7062,0.8488,0.1587,0.0461,0.1342,0.4298,0.3675,0.0816,Malabuyoc
8,Productivity,-,0.0061,0.0176,0.0022,0.0066,0.0212,0.2194,0.0470,0.0799,Malabuyoc
9,Presence of Business and Professional Organizations,-,0.7621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Malabuyoc
10,Compliance to National Directives,-,3.3333,2.6936,1.7434,0.0000,2.4994,2.4653,2.3214,1.9545,Malabuyoc
11,Presence of Investment Promotion Unit,-,1.6667,1.6667,0.0000,0.0000,2.5000,1.2500,0.0000,0.0,Malabuyoc
12,Compliance to ARTA Citizens Charter,-,2.4697,1.6164,2.3058,0.0000,2.4027,2.3748,2.2086,2.0,Malabuyoc
13,Capacity to Generate Local Resource,-,0.0000,1.0736,0.4044,0.0000,0.0668,0.7578,0.0124,0.0078,Malabuyoc
14,Capacity of Health Services,-,0.0980,0.1553,0.2660,0.0000,0.0791,0.3270,0.1905,0.0003,Malabuyoc
15,Capacity of School Services,-,0.3249,0.3822,0.1916,0.0000,0.1458,0.1114,0.0824,0.1986,Malabuyoc
16,Recognition of Performance,-,0.5556,0.6516,0.1916,0.0000,0.0694,0.0417,0.0000,0.0278,Malabuyoc
17,Getting Business Permits,-,-,1.1111,2.1582,0.0000,2.2417,1.3542,0.9024,0.0,Malabuyoc
18,Peace and Order,-,0.2279,0.1847,0.2514,0.0000,0.1843,0.4825,0.2292,0.0539,Malabuyoc
19,Social Protection,-,-,0.0177,0.3479,0.0000,0.9552,0.1364,0.3918,0.0,Malabuyoc
20,Road Network,-,0.0002,0.0037,0.0011,0.0000,0.0461,0.0137,0.0346,0.0,Malabuyoc
21,Distance to Ports,-,2.2297,2.6609,2.1911,0.0000,2.1817,2.2295,1.9392,1.3832,Malabuyoc
22,Availability of Basic Utilities,-,3.3333,3.3333,2.5000,0.0000,2.0000,2.1063,2.1563,0.4202,Malabuyoc
