,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.0009,0.0000,1.0417,0.0000,0.0000,0.0096,0.0077,0.0032,0.0014,Mandaon
1,Local Economy Growth,0.0038,0.0000,0.0000,0.0000,0.0000,0.0000,1.0253,0.0021,0.0001,Mandaon
2,Active Establishments in the Locality,-,-,-,0.0000,0.0004,0.0256,0.0377,0.2011,-,Mandaon
3,Safety Compliant Business,-,-,-,0.0000,0.0287,0.0535,0.0611,0.1116,0.1075,Mandaon
4,Employment Generation,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0267,0.2228,0.1706,Mandaon
5,Cost of Living,3.3525,3.3654,3.4167,1.2500,0.6481,1.0000,1.6667,1.4375,1.9989,Mandaon
6,Cost of Doing Business,0.4130,0.3701,0.3452,0.3551,1.2587,2.0386,2.2802,2.3089,1.5254,Mandaon
7,Financial Deepening,0.0931,0.2825,0.3086,0.0529,0.0168,0.1969,0.3991,0.6144,0.0668,Mandaon
8,Productivity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0032,0.0185,0.0202,0.0628,Mandaon
9,Presence of Business and Professional Organizations,0.0000,0.0000,0.0000,0.0000,0.0011,0.0121,0.0081,0.0015,0.0000,Mandaon
10,Compliance to National Directives,1.7500,1.7500,0.0000,0.0000,0.0000,0.0000,0.0000,2.4643,1.9615,Mandaon
11,Presence of Investment Promotion Unit,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Mandaon
12,Compliance to ARTA Citizens Charter,-,0.0000,0.0000,0.0000,0.0000,2.3736,2.4974,2.1209,2.0000,Mandaon
13,Capacity to Generate Local Resource,0.0000,0.0000,0.0000,0.0000,0.0000,0.0204,0.0143,0.0210,0.0188,Mandaon
14,Capacity of Health Services,0.0482,0.1079,0.0761,0.0581,0.0000,0.0915,0.0378,0.0414,0.0198,Mandaon
15,Capacity of School Services,0.0000,0.0000,0.0000,0.0000,0.0000,0.6952,0.1208,0.0672,0.4091,Mandaon
16,Recognition of Performance,0.0000,0.0000,0.0000,0.0000,0.0000,0.0940,0.0208,0.0000,0.0000,Mandaon
17,Getting Business Permits,-,-,0.0000,0.0000,0.0000,1.5288,1.6589,2.4869,1.5000,Mandaon
18,Peace and Order,0.4160,0.1063,0.0359,0.0000,0.0000,0.1959,0.4082,0.1293,0.1375,Mandaon
19,Social Protection,-,-,0.0000,0.0000,0.0000,1.6183,0.3886,0.0037,1.0100,Mandaon
20,Road Network,0.0000,0.0000,0.0000,0.0000,0.0000,0.0171,0.0002,0.0253,0.0002,Mandaon
21,Distance to Ports,0.9075,1.8381,1.0398,0.7799,0.0000,1.6667,1.6662,2.3289,1.3327,Mandaon
22,Availability of Basic Utilities,0.0000,0.0000,0.0000,0.0000,0.0000,1.9790,1.2603,0.5977,0.2102,Mandaon
23,Transportation Vehicles,0.0084,0.1008,0.0501,0.0325,0.0000,0.0055,0.0060,0.0221,0.0020,Mandaon
24,Education,0.1458,0.0820,0.1620,0.0781,0.0000,0.1032,0.2112,0.0219,0.2635,Mandaon
25,Health,0.0000,0.0000,0.0000,0.0000,0.0000,0.2856,0.1682,0.1514,0.0633,Mandaon
26,LGU Investment,0.8025,0.0000,0.0000,0.0000,0.0000,0.0946,0.0738,0.0348,0.0007,Mandaon
27,Accommodation Capacity,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0187,0.1875,0.0000,Mandaon
28,Information Technology Capacity,0.0000,0.9444,0.8730,0.4960,0.0000,0.2291,0.3148,0.1630,0.0000,Mandaon
29,Financial Technology Capacity,0.0000,0.0000,0.0000,0.0000,0.0000,0.7813,0.7500,0.1587,0.4545,Mandaon
30,Land Use Plan,-,-,-,0.0000,0.0000,0.0000,0.0000,2.5000,1.9865,Mandaon
31,Disaster Risk Reduction Plan,-,-,-,0.0000,0.0000,1.9907,2.0833,2.5000,1.9998,Mandaon
32,Annual Disaster Drill,-,-,-,0.0000,0.0000,2.5000,2.5000,1.2911,1.0010,Mandaon
33,Early Warning System,-,-,-,0.0000,0.0000,2.5000,2.5000,1.2525,1.0079,Mandaon
34,Budget for DRRMP,-,-,-,0.0000,0.0000,0.1690,0.0596,0.0341,0.0000,Mandaon
35,Local Risk Assessments,-,-,-,0.0000,0.0000,2.5000,2.5000,2.5000,2.0000,Mandaon
36,Emergency Infrastructure,-,-,-,0.0000,0.0000,0.4769,0.4781,0.2927,0.3776,Mandaon
37,Utilities,-,-,-,0.0000,0.0000,1.5585,1.5391,1.2521,1.5310,Mandaon
38,Employed Population,-,-,-,0.0000,0.0000,0.1804,0.1394,0.0052,0.0455,Mandaon
39,Sanitary System,-,-,-,0.0000,0.0000,2.0523,1.9961,1.8751,1.0000,Mandaon
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0000,Mandaon
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0000,Mandaon
42,STEM graduates,-,-,-,-,-,-,-,-,0.0160,Mandaon
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0000,Mandaon
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0000,Mandaon
45,Internet Capability,-,-,-,-,-,-,-,-,1.0000,Mandaon
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0000,Mandaon
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0000,Mandaon
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Mandaon
49,New Technology,-,-,-,-,-,-,-,-,0.0000,Mandaon
