,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.0956,0.0956,0.0009,0.0006,0.0155,0.0209,0.0139,0.0034,Manticao
1,Local Economy Growth,-,0.2054,0.0708,0.0021,0.0000,0.0221,1.0262,0.0006,0.0027,Manticao
2,Active Establishments in the Locality,-,-,-,0.1826,0.0023,0.1882,0.2261,0.2575,0.2423,Manticao
3,Safety Compliant Business,-,-,-,0.1392,0.0833,0.2546,0.1760,0.1945,0.1567,Manticao
4,Employment Generation,-,0.0000,0.0888,0.0714,0.0118,0.0840,0.1387,0.0887,0.2715,Manticao
5,Cost of Living,-,2.8312,2.2500,1.0776,1.1574,1.5000,0.4688,1.8750,1.9992,Manticao
6,Cost of Doing Business,-,2.5489,3.5016,2.0535,2.0503,2.0155,2.2126,2.2663,1.8949,Manticao
7,Financial Deepening,-,0.9181,0.6944,0.1587,0.1007,0.1692,0.2854,0.2880,0.1281,Manticao
8,Productivity,-,0.0000,0.0196,0.0033,0.0018,0.0697,0.0879,0.0706,0.1503,Manticao
9,Presence of Business and Professional Organizations,-,0.0142,0.0130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Manticao
10,Compliance to National Directives,-,3.3333,2.8283,2.3684,0.0000,2.4994,2.5000,2.4286,1.8846,Manticao
11,Presence of Investment Promotion Unit,-,0.0000,3.3333,0.0000,0.0000,1.8750,1.8750,1.8750,0.0,Manticao
12,Compliance to ARTA Citizens Charter,-,1.3115,1.6627,1.7428,0.0000,1.9299,2.4720,1.8111,2.0,Manticao
13,Capacity to Generate Local Resource,-,1.7787,0.0626,0.0000,0.0000,0.1094,0.0820,0.0358,0.0617,Manticao
14,Capacity of Health Services,-,0.3068,0.2740,0.3198,0.0000,0.2218,0.1179,0.2285,0.1227,Manticao
15,Capacity of School Services,-,0.1944,0.3373,0.0749,0.0000,0.4070,0.1118,0.1068,0.0513,Manticao
16,Recognition of Performance,-,0.5556,0.2381,0.0749,0.0000,0.0694,0.0235,0.0000,0.0417,Manticao
17,Getting Business Permits,-,-,1.1111,1.5134,0.0000,2.3622,2.4876,2.1780,1.5,Manticao
18,Peace and Order,-,0.1619,0.1039,0.1357,0.0000,0.1959,0.3061,0.0985,0.0002,Manticao
19,Social Protection,-,-,0.1101,1.2547,0.0000,0.5387,1.0140,0.1782,1.0576,Manticao
20,Road Network,-,0.0002,0.0042,0.0007,0.0000,0.0705,0.0005,0.0574,0.0003,Manticao
21,Distance to Ports,-,3.1566,3.2183,0.0000,0.0000,2.3933,2.3582,2.3746,1.9695,Manticao
22,Availability of Basic Utilities,-,3.3333,3.3333,2.5000,0.0000,2.0938,1.9106,2.3486,0.3763,Manticao
23,Transportation Vehicles,-,0.4629,0.2734,0.0648,0.0000,0.0047,0.0188,0.0232,0.003,Manticao
24,Education,-,0.2463,0.2486,0.0664,0.0000,0.1545,0.0693,0.1337,0.1116,Manticao
25,Health,-,0.1442,0.1577,0.0509,0.0000,0.0709,0.1081,0.1513,0.1415,Manticao
26,LGU Investment,-,0.6759,0.6348,0.2668,0.0000,0.0725,0.0561,0.1070,0.0002,Manticao
27,Accommodation Capacity,-,0.0000,0.0000,0.0000,0.0000,0.0115,0.0178,0.0000,0.0,Manticao
28,Information Technology Capacity,-,0.6389,1.3386,0.6349,0.0000,0.3388,0.6806,0.4891,0.3913,Manticao
29,Financial Technology Capacity,-,0.0000,0.0000,0.0000,0.0000,0.2106,0.7500,0.4266,0.1818,Manticao
30,Land Use Plan,-,-,-,2.5000,0.0000,2.5000,2.5000,2.4857,1.9595,Manticao
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.5000,2.5000,2.4853,1.9993,Manticao
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.5000,2.5000,0.0000,0.0,Manticao
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2525,1.004,Manticao
34,Budget for DRRMP,-,-,-,0.0001,0.0000,0.1990,0.0429,0.0042,0.0,Manticao
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Manticao
36,Emergency Infrastructure,-,-,-,0.8629,0.0000,0.4702,0.4763,0.2772,0.385,Manticao
37,Utilities,-,-,-,1.2614,0.0000,1.8754,1.8805,1.2747,1.5003,Manticao
38,Employed Population,-,-,-,0.0865,0.0000,0.0305,0.0235,0.0218,0.0056,Manticao
39,Sanitary System,-,-,-,0.5056,0.0000,2.0432,1.9873,1.8752,1.0001,Manticao
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Manticao
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Manticao
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Manticao
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Manticao
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Manticao
45,Internet Capability,-,-,-,-,-,-,-,-,1.1957,Manticao
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0357,Manticao
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Manticao
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Manticao
49,New Technology,-,-,-,-,-,-,-,-,0.0,Manticao
