,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.6721,0.5001,0.4052,0.2896,0.6876,0.1299,0.1990,0.5190,0.2124,Marilao
1,Local Economy Growth,0.4124,0.3412,0.0125,0.0040,0.0323,0.0008,0.3305,0.0025,0.0,Marilao
2,Active Establishments in the Locality,-,-,-,0.4380,0.7982,0.5007,0.6276,0.6804,0.6366,Marilao
3,Safety Compliant Business,-,-,-,0.6474,0.7932,0.9827,0.6963,0.4535,0.0,Marilao
4,Employment Generation,0.0000,1.0382,0.9939,0.8045,0.9947,0.9615,0.8514,0.9040,0.6099,Marilao
5,Cost of Living,3.7835,4.1667,3.9167,0.8784,0.0000,2.4206,0.9914,1.9063,1.875,Marilao
6,Cost of Doing Business,0.2427,0.8428,2.9293,2.0694,2.0290,1.9003,2.1380,2.0593,1.8093,Marilao
7,Financial Deepening,1.6527,2.1409,2.1966,1.8687,0.3277,0.9424,0.9708,0.8716,0.7229,Marilao
8,Productivity,0.0000,0.0475,0.0205,0.0410,0.0069,0.0229,0.7976,1.2241,0.5474,Marilao
9,Presence of Business and Professional Organizations,0.0000,0.0048,0.0031,0.0021,0.0000,0.0007,0.0009,0.0009,0.0006,Marilao
10,Compliance to National Directives,3.3333,3.3333,3.0409,0.0000,0.0000,1.8500,2.0455,1.6667,1.9643,Marilao
11,Presence of Investment Promotion Unit,0.8333,3.3333,3.3333,0.0000,0.0000,2.5000,2.5000,2.5000,1.9231,Marilao
12,Compliance to ARTA Citizens Charter,-,2.9240,1.9798,2.2888,0.0000,2.1920,2.3141,1.9082,2.0,Marilao
13,Capacity to Generate Local Resource,0.1042,0.7355,0.5933,0.4776,0.0000,1.0933,1.0624,0.1391,0.0632,Marilao
14,Capacity of Health Services,0.0670,0.1620,0.1535,0.2787,0.0000,0.2525,0.2724,0.4739,0.0027,Marilao
15,Capacity of School Services,0.5769,0.3042,0.4954,0.1986,0.0000,0.8815,0.4708,0.1439,0.0579,Marilao
16,Recognition of Performance,0.2381,0.0000,0.2886,0.1986,0.0000,0.1190,0.0385,0.0735,0.1155,Marilao
17,Getting Business Permits,-,-,1.1111,2.1784,0.0000,2.4895,2.4862,1.8267,1.5,Marilao
18,Peace and Order,0.1992,0.0241,0.0005,0.1399,0.0000,0.0503,0.0503,0.0708,0.0,Marilao
19,Social Protection,-,-,0.9239,0.7611,0.0000,1.0393,0.9218,0.7302,0.0006,Marilao
20,Road Network,0.0213,0.0054,0.0056,0.0000,0.0000,0.0064,0.0001,0.0073,0.0025,Marilao
21,Distance to Ports,0.0000,0.0000,2.9520,2.2296,0.0000,2.2921,2.4477,2.4299,1.8945,Marilao
22,Availability of Basic Utilities,3.3333,3.3333,3.3333,2.5000,0.0000,2.2184,2.3063,2.4798,0.1125,Marilao
23,Transportation Vehicles,0.1161,0.0056,0.0862,0.2711,0.0000,0.0759,0.0863,0.1179,0.1417,Marilao
24,Education,0.5779,0.7978,0.2799,0.4170,0.0000,0.1224,0.2178,0.2204,0.1759,Marilao
25,Health,0.5934,0.3467,0.6181,0.3569,0.0000,0.1888,0.3270,0.4065,0.3404,Marilao
26,LGU Investment,1.8904,0.1607,1.6124,0.1463,0.0000,1.0850,0.5538,0.0683,0.0009,Marilao
27,Accommodation Capacity,1.6728,0.0000,0.1080,0.1179,0.0000,0.0000,0.0084,0.0319,0.0214,Marilao
28,Information Technology Capacity,0.0000,0.7466,0.9082,0.6539,0.0000,0.4368,0.6134,0.7273,0.3524,Marilao
29,Financial Technology Capacity,0.4906,1.0053,0.9994,0.7393,0.0000,0.9624,0.8984,0.9706,0.3879,Marilao
30,Land Use Plan,-,-,-,2.5000,0.0000,2.3333,2.3462,2.1818,1.7727,Marilao
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.3611,2.3611,2.3684,1.9998,Marilao
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.2500,2.5000,1.2542,1.002,Marilao
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2683,1.1179,Marilao
34,Budget for DRRMP,-,-,-,0.0021,0.0000,0.8123,0.4576,0.0214,0.0,Marilao
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Marilao
36,Emergency Infrastructure,-,-,-,0.8847,0.0000,0.6639,0.7734,0.4594,0.5354,Marilao
37,Utilities,-,-,-,0.9970,0.0000,1.8813,1.8797,1.2752,1.5768,Marilao
38,Employed Population,-,-,-,1.1654,0.0000,0.0048,0.0092,0.0136,0.0778,Marilao
39,Sanitary System,-,-,-,1.5174,0.0000,1.9431,1.9641,1.8755,1.5005,Marilao
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0392,Marilao
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Marilao
42,STEM graduates,-,-,-,-,-,-,-,-,0.0024,Marilao
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.2822,Marilao
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Marilao
45,Internet Capability,-,-,-,-,-,-,-,-,1.1905,Marilao
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,1.1101,Marilao
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Marilao
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,Marilao
49,New Technology,-,-,-,-,-,-,-,-,0.0,Marilao
