,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.7292,0.9794,0.6024,0.3538,0.3376,0.2222,0.6290,0.3289,Pasig
1,Local Economy Growth,-,0.8171,1.2270,0.3024,0.5353,0.7575,0.9542,1.0320,0.0619,Pasig
2,Active Establishments in the Locality,-,-,-,0.7397,0.8639,0.7275,1.1431,0.8123,0.9399,Pasig
3,Safety Compliant Business,-,-,-,1.0426,0.5030,0.4885,0.7958,0.4442,0.4488,Pasig
4,Employment Generation,-,2.2370,1.8668,1.0784,0.0724,0.7056,0.4525,0.4969,0.4449,Pasig
5,Cost of Living,-,3.9773,3.0952,2.2222,0.3333,0.9868,1.1719,1.2255,2.0,Pasig
6,Cost of Doing Business,-,2.9916,2.8477,1.6016,1.5606,1.3597,1.3664,1.2502,1.4582,Pasig
7,Financial Deepening,-,1.2113,3.6048,1.9804,1.2162,0.9972,1.0749,1.1303,0.8722,Pasig
8,Productivity,-,0.1247,1.0189,0.3250,0.5865,0.8051,0.5581,0.8883,0.5522,Pasig
9,Presence of Business and Professional Organizations,-,0.0045,3.4231,0.2773,0.8639,0.2392,1.3171,1.2840,0.9964,Pasig
10,Compliance to National Directives,-,3.3333,3.2804,2.3750,2.3438,2.1154,2.1154,1.6071,1.8,Pasig
11,Presence of Investment Promotion Unit,-,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.7778,Pasig
12,Compliance to ARTA Citizens Charter,-,2.5136,1.1009,1.3231,1.8832,2.1015,2.2537,1.1089,2.0,Pasig
13,Capacity to Generate Local Resource,-,1.4287,1.3546,1.2009,0.7047,1.2183,1.1112,0.9276,0.7845,Pasig
14,Capacity of Health Services,-,0.2774,1.1653,0.3951,0.9769,0.4104,0.6093,0.5358,0.6464,Pasig
15,Capacity of School Services,-,0.0000,0.9374,0.3609,0.8629,0.5496,0.8768,0.2594,0.4161,Pasig
16,Recognition of Performance,-,0.4227,0.3672,0.3609,1.3095,0.9933,0.1258,0.2839,0.752,Pasig
17,Getting Business Permits,-,-,2.9108,2.1058,2.0725,2.0715,1.8047,1.7127,2.0,Pasig
18,Peace and Order,-,0.2988,0.2534,0.7982,0.3100,0.2876,0.2317,0.1477,0.0,Pasig
19,Social Protection,-,-,1.4968,0.8123,1.5317,0.6578,1.0436,1.0558,1.15,Pasig
20,Road Network,-,0.0131,0.8379,0.1035,0.1921,0.0891,0.0803,0.0687,0.0204,Pasig
21,Distance to Ports,-,2.8888,2.8724,1.3804,2.1839,2.1839,2.1933,2.1933,1.7694,Pasig
22,Availability of Basic Utilities,-,3.3333,3.3333,2.5000,2.5000,2.5000,1.8750,2.5000,1.8361,Pasig
23,Transportation Vehicles,-,0.5131,0.2443,0.4805,0.3576,0.1654,0.1671,0.2800,0.2331,Pasig
24,Education,-,0.2933,1.2686,0.7870,0.5728,0.5198,0.5420,0.3793,0.3288,Pasig
25,Health,-,0.4001,0.5613,0.5076,0.4684,0.3354,0.4354,0.6691,0.3282,Pasig
26,LGU Investment,-,1.3475,1.1236,0.6962,1.7730,1.0207,1.1402,0.8171,0.4559,Pasig
27,Accommodation Capacity,-,0.4728,3.0839,0.9351,1.7142,0.8449,0.8652,0.1079,0.1671,Pasig
28,Information Technology Capacity,-,0.0181,1.9841,1.0278,1.0316,1.3899,0.9768,0.2615,0.3379,Pasig
29,Financial Technology Capacity,-,1.1987,1.0363,0.8890,0.8091,0.3690,0.2988,0.2787,0.1263,Pasig
30,Land Use Plan,-,-,-,2.5000,2.5000,2.3462,2.3462,2.3529,2.0,Pasig
31,Disaster Risk Reduction Plan,-,-,-,2.5000,2.5000,2.4306,2.5000,2.2857,1.75,Pasig
32,Annual Disaster Drill,-,-,-,2.5000,2.5000,1.8750,2.5000,1.2635,1.0143,Pasig
33,Early Warning System,-,-,-,2.5000,2.5000,2.5000,2.5000,2.2368,1.4104,Pasig
34,Budget for DRRMP,-,-,-,0.7902,0.4094,0.8661,0.7936,0.1015,0.1284,Pasig
35,Local Risk Assessments,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0,Pasig
36,Emergency Infrastructure,-,-,-,1.3493,1.6670,0.7541,0.9320,0.6227,0.7272,Pasig
37,Utilities,-,-,-,1.0533,1.6947,1.8963,1.9250,1.3251,1.5037,Pasig
38,Employed Population,-,-,-,1.1110,0.3180,0.2164,0.4990,0.0274,0.0254,Pasig
39,Sanitary System,-,-,-,1.7631,1.8083,1.7995,1.7940,1.8809,1.5056,Pasig
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.1273,Pasig
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0064,Pasig
42,STEM graduates,-,-,-,-,-,-,-,-,0.0487,Pasig
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.3429,Pasig
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Pasig
45,Internet Capability,-,-,-,-,-,-,-,-,1.1833,Pasig
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Pasig
47,Online Payment Facilities,-,-,-,-,-,-,-,-,2.0,Pasig
48,ICT Plan,-,-,-,-,-,-,-,-,2.0001,Pasig
49,New Technology,-,-,-,-,-,-,-,-,0.0,Pasig
