,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.1940,0.0994,0.1130,0.0042,0.0078,0.0015,0.0017,0.0067,0.003,Pikit
1,Local Economy Growth,0.1947,0.2683,0.0719,0.0029,0.0162,0.0015,0.3294,0.0024,0.0,Pikit
2,Active Establishments in the Locality,-,-,-,0.0774,0.2263,0.1360,0.2873,0.3106,0.1641,Pikit
3,Safety Compliant Business,-,-,-,0.1628,0.0919,0.0639,0.0216,0.2201,0.0,Pikit
4,Employment Generation,0.0000,0.0592,0.1475,0.0549,0.0632,0.0597,1.3006,0.2845,0.1028,Pikit
5,Cost of Living,3.0651,2.6647,2.5833,1.2162,1.8519,0.4365,1.5086,0.5938,1.7356,Pikit
6,Cost of Doing Business,2.9310,3.6267,3.5902,2.2150,2.1727,2.0748,2.2819,2.2954,1.8938,Pikit
7,Financial Deepening,0.3724,0.7827,1.2455,0.8081,0.1252,0.2346,0.2866,0.2556,0.1,Pikit
8,Productivity,0.0000,0.1294,0.0015,0.0079,0.0016,0.0003,0.0520,0.0594,0.0839,Pikit
9,Presence of Business and Professional Organizations,0.0000,0.0192,0.0525,0.0408,0.0302,0.0255,0.0673,0.0650,0.0017,Pikit
10,Compliance to National Directives,3.3333,3.3333,2.2222,2.2756,0.0000,2.4000,2.4242,2.2619,1.8929,Pikit
11,Presence of Investment Promotion Unit,0.0000,0.0000,3.3333,1.8750,0.0000,2.5000,2.5000,2.5000,1.9231,Pikit
12,Compliance to ARTA Citizens Charter,-,2.8637,1.7265,1.9498,0.0000,2.2360,2.4281,2.1069,2.0,Pikit
13,Capacity to Generate Local Resource,0.9508,1.0191,0.8046,0.8067,0.0000,0.0228,0.2675,0.0200,0.0027,Pikit
14,Capacity of Health Services,0.1541,0.2136,0.4264,0.2756,0.0000,0.1918,0.1336,0.1812,0.0013,Pikit
15,Capacity of School Services,0.0000,0.5401,0.3868,0.1616,0.0000,0.5029,0.2216,0.0708,0.035,Pikit
16,Recognition of Performance,0.0000,0.2381,0.2020,0.1616,0.0000,0.1190,0.0253,0.0368,0.0864,Pikit
17,Getting Business Permits,-,-,0.0000,2.1784,0.0000,2.4869,2.4641,2.1390,2.0,Pikit
18,Peace and Order,0.1795,0.0252,0.0086,0.1175,0.0000,0.0251,0.0395,0.2101,0.0889,Pikit
19,Social Protection,-,-,1.1183,1.1685,0.0000,0.9739,0.9415,1.1115,0.0014,Pikit
20,Road Network,0.0060,0.0007,0.0008,0.0008,0.0000,0.0883,0.0012,0.1385,0.0003,Pikit
21,Distance to Ports,2.9471,2.9379,2.6732,2.0472,0.0000,2.2917,2.2575,2.3369,1.6431,Pikit
22,Availability of Basic Utilities,2.3333,2.9167,3.3333,2.5000,0.0000,2.0180,2.2500,2.2235,0.0735,Pikit
23,Transportation Vehicles,0.0415,0.8376,0.1677,0.1459,0.0000,0.0360,0.0396,0.0226,0.0229,Pikit
24,Education,0.3253,0.3515,0.1231,0.1459,0.0000,0.1100,0.1343,0.1410,0.0598,Pikit
25,Health,0.0600,0.2421,0.7501,0.4563,0.0000,0.1900,0.3400,0.3912,0.3601,Pikit
26,LGU Investment,0.9722,0.0000,0.6803,0.5718,0.0000,0.4843,0.2817,0.0496,0.0013,Pikit
27,Accommodation Capacity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0113,0.0000,0.0,Pikit
28,Information Technology Capacity,0.0000,0.6737,1.0676,0.8060,0.0000,0.5108,0.6647,0.8182,0.0529,Pikit
29,Financial Technology Capacity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1202,0.0431,Pikit
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4359,2.4359,2.3409,1.9394,Pikit
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.4537,2.4211,1.999,Pikit
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.2500,2.0833,1.2542,1.006,Pikit
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2518,1.0099,Pikit
34,Budget for DRRMP,-,-,-,0.0021,0.0000,0.3445,0.2321,0.0219,0.0,Pikit
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Pikit
36,Emergency Infrastructure,-,-,-,0.9578,0.0000,0.8382,0.7181,0.4770,0.5786,Pikit
37,Utilities,-,-,-,1.0028,0.0000,1.8824,1.8825,1.2782,1.5101,Pikit
38,Employed Population,-,-,-,0.3865,0.0000,0.1024,0.0985,0.1072,0.078,Pikit
39,Sanitary System,-,-,-,1.5795,0.0000,1.9940,1.9925,1.8753,1.5002,Pikit
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.4838,Pikit
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.339,Pikit
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Pikit
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0023,Pikit
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Pikit
45,Internet Capability,-,-,-,-,-,-,-,-,1.0286,Pikit
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Pikit
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Pikit
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,Pikit
49,New Technology,-,-,-,-,-,-,-,-,0.0,Pikit
