,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.2185,0.1221,0.0145,0.0000,0.0647,0.2985,0.1922,0.0261,Reina Mercedes
1,Local Economy Growth,-,0.3353,0.0815,0.0028,0.0000,0.0000,1.0316,0.0008,0.0005,Reina Mercedes
2,Active Establishments in the Locality,-,-,-,0.1458,0.0000,0.1015,0.3420,0.2124,0.374,Reina Mercedes
3,Safety Compliant Business,-,-,-,0.0809,0.0000,0.0976,0.1067,0.1342,0.1059,Reina Mercedes
4,Employment Generation,-,0.2707,0.3551,0.2807,0.0000,0.2069,0.1472,0.3438,0.6258,Reina Mercedes
5,Cost of Living,-,3.6325,2.5833,0.6034,0.8796,1.7500,1.3021,0.0938,2.0,Reina Mercedes
6,Cost of Doing Business,-,2.8812,3.5872,2.2277,1.8248,2.0146,2.1713,2.2236,1.919,Reina Mercedes
7,Financial Deepening,-,0.3531,0.3858,0.0529,0.0126,0.0290,0.0847,0.0599,0.0534,Reina Mercedes
8,Productivity,-,2.1322,0.1657,0.0122,0.0000,0.2480,0.3908,0.4842,0.4248,Reina Mercedes
9,Presence of Business and Professional Organizations,-,0.0000,0.0000,0.0000,0.0000,0.0093,0.0016,0.0000,0.0,Reina Mercedes
10,Compliance to National Directives,-,3.3333,3.1650,2.3684,0.0000,2.4988,2.4286,2.4286,1.8846,Reina Mercedes
11,Presence of Investment Promotion Unit,-,0.0000,1.6667,1.2500,0.0000,2.5000,2.5000,2.5000,1.9994,Reina Mercedes
12,Compliance to ARTA Citizens Charter,-,2.7009,1.7810,2.2207,0.0000,2.3325,2.4923,2.3580,2.0,Reina Mercedes
13,Capacity to Generate Local Resource,-,1.5770,0.3736,0.2848,0.0000,0.2323,0.2635,0.0715,0.0567,Reina Mercedes
14,Capacity of Health Services,-,0.0420,0.0609,0.0523,0.0000,0.0612,0.0576,0.0847,0.0546,Reina Mercedes
15,Capacity of School Services,-,0.0295,0.3923,0.1147,0.0000,0.3357,0.0456,0.0315,0.0077,Reina Mercedes
16,Recognition of Performance,-,0.0000,0.1754,0.1147,0.0000,0.0940,0.0000,0.0000,0.125,Reina Mercedes
17,Getting Business Permits,-,-,0.0000,1.4229,0.0000,2.4423,2.4767,2.1779,2.0,Reina Mercedes
18,Peace and Order,-,0.1688,0.1328,0.1719,0.0000,0.1843,0.3827,0.1663,0.0003,Reina Mercedes
19,Social Protection,-,-,0.0024,0.0628,0.0000,0.6432,0.0715,0.0922,0.1835,Reina Mercedes
20,Road Network,-,0.0001,0.0012,0.0005,0.0000,0.0303,0.0002,0.0238,0.0008,Reina Mercedes
21,Distance to Ports,-,1.6828,2.8974,2.1944,0.0000,2.1065,1.9847,2.4342,1.8016,Reina Mercedes
22,Availability of Basic Utilities,-,3.3333,3.3333,2.5000,0.0000,2.4125,2.1875,2.4500,0.3919,Reina Mercedes
23,Transportation Vehicles,-,0.5073,0.2572,0.0821,0.0000,0.0074,0.0248,0.0683,0.0048,Reina Mercedes
24,Education,-,0.1849,0.1644,0.1267,0.0000,0.0183,0.0326,0.0412,0.0456,Reina Mercedes
25,Health,-,0.0219,0.0000,0.0000,0.0000,0.0370,0.0219,0.1312,0.0518,Reina Mercedes
26,LGU Investment,-,0.5657,0.0000,0.1530,0.0000,0.0622,0.1813,0.0907,0.0002,Reina Mercedes
27,Accommodation Capacity,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Reina Mercedes
28,Information Technology Capacity,-,0.3077,0.7725,0.4563,0.0000,0.2221,0.3750,0.5435,0.4348,Reina Mercedes
29,Financial Technology Capacity,-,0.0000,0.2381,0.2500,0.0000,0.4212,0.2500,0.0000,0.0909,Reina Mercedes
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4744,2.4872,2.4571,1.9324,Reina Mercedes
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.3611,2.4537,2.5000,1.9985,Reina Mercedes
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2829,1.0025,Reina Mercedes
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2550,1.004,Reina Mercedes
34,Budget for DRRMP,-,-,-,0.0019,0.0000,0.1123,0.0343,0.0022,0.0,Reina Mercedes
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Reina Mercedes
36,Emergency Infrastructure,-,-,-,0.8694,0.0000,0.4949,0.4731,0.3447,0.5449,Reina Mercedes
37,Utilities,-,-,-,1.0242,0.0000,1.8821,1.8791,1.2726,1.5015,Reina Mercedes
38,Employed Population,-,-,-,0.2951,0.0000,0.0146,0.0075,0.0087,0.0045,Reina Mercedes
39,Sanitary System,-,-,-,0.5000,0.0000,1.5000,1.4747,1.8750,1.5,Reina Mercedes
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Reina Mercedes
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Reina Mercedes
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Reina Mercedes
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Reina Mercedes
