,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,0.0713,0.0004,0.0000,0.0034,0.0879,0.0201,0.3056,Rizal (ZN)
1,Local Economy Growth,-,-,0.0843,0.0101,0.0000,0.0019,0.0328,0.0035,0.0,Rizal (ZN)
2,Active Establishments in the Locality,-,-,-,0.0000,0.0000,0.2415,0.6592,0.8665,0.6118,Rizal (ZN)
3,Safety Compliant Business,-,-,-,0.0002,0.0000,0.0649,0.1664,0.2092,0.1718,Rizal (ZN)
4,Employment Generation,-,-,0.1034,0.1102,0.0000,0.0000,0.7913,0.1186,0.1918,Rizal (ZN)
5,Cost of Living,-,-,2.9167,0.6897,0.7407,1.5000,1.5574,2.3750,0.1053,Rizal (ZN)
6,Cost of Doing Business,-,-,1.6434,0.8948,0.7593,1.4765,1.6276,1.6566,0.9757,Rizal (ZN)
7,Financial Deepening,-,-,0.4630,0.1190,0.0336,0.1379,0.6311,0.5180,0.3168,Rizal (ZN)
8,Productivity,-,-,0.0060,0.0000,0.0000,0.0022,0.5046,0.0303,0.1191,Rizal (ZN)
9,Presence of Business and Professional Organizations,-,-,0.0260,0.0020,0.0011,0.0445,0.1806,0.0306,0.0026,Rizal (ZN)
10,Compliance to National Directives,-,-,1.6835,0.0000,0.0000,0.0000,2.5000,2.3810,1.8636,Rizal (ZN)
11,Presence of Investment Promotion Unit,-,-,0.0000,0.0000,0.0000,2.5000,2.5000,2.5000,1.3334,Rizal (ZN)
12,Compliance to ARTA Citizens Charter,-,-,1.7179,1.9813,0.0000,2.3612,2.4366,2.1877,2.0,Rizal (ZN)
13,Capacity to Generate Local Resource,-,-,0.0954,0.0527,0.0000,0.0414,0.0644,0.0046,0.0098,Rizal (ZN)
14,Capacity of Health Services,-,-,0.0685,0.0523,0.0000,0.0187,0.3302,0.0391,0.0002,Rizal (ZN)
15,Capacity of School Services,-,-,0.4265,0.2191,0.0000,0.3028,0.2268,0.0542,0.044,Rizal (ZN)
16,Recognition of Performance,-,-,0.0000,0.2191,0.0000,0.1471,0.0417,0.2946,0.2292,Rizal (ZN)
17,Getting Business Permits,-,-,0.0000,1.2653,0.0000,2.3622,1.6429,1.8561,2.0,Rizal (ZN)
18,Peace and Order,-,-,0.2898,0.4648,0.0000,0.2419,0.5921,0.3333,0.0777,Rizal (ZN)
19,Social Protection,-,-,0.0359,0.4074,0.0000,0.4694,0.1201,0.5666,0.0,Rizal (ZN)
20,Road Network,-,-,0.0000,0.0000,0.0000,0.6456,0.0171,0.0360,0.0,Rizal (ZN)
21,Distance to Ports,-,-,3.1857,2.4421,0.0000,2.4058,2.3926,2.3508,1.7478,Rizal (ZN)
22,Availability of Basic Utilities,-,-,3.3333,2.5000,0.0000,1.5500,0.9771,1.5500,0.2679,Rizal (ZN)
23,Transportation Vehicles,-,-,0.0216,0.0140,0.0000,0.0019,0.0024,0.0319,0.0,Rizal (ZN)
24,Education,-,-,0.0842,0.0318,0.0000,0.0901,0.5022,0.7881,0.0,Rizal (ZN)
25,Health,-,-,0.0000,0.0000,0.0000,0.1772,0.0031,0.3233,0.0,Rizal (ZN)
26,LGU Investment,-,-,0.3738,0.1720,0.0000,0.0451,0.1705,0.2559,0.0027,Rizal (ZN)
27,Accommodation Capacity,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0980,0.0,Rizal (ZN)
28,Information Technology Capacity,-,-,0.2222,0.2579,0.0000,0.2291,0.4792,0.3571,0.25,Rizal (ZN)
29,Financial Technology Capacity,-,-,0.2381,0.1563,0.0000,0.2106,0.1923,0.1303,0.1048,Rizal (ZN)
30,Land Use Plan,-,-,-,0.0000,0.0000,1.3846,2.5000,1.0000,1.9583,Rizal (ZN)
31,Disaster Risk Reduction Plan,-,-,-,1.5000,0.0000,2.4537,2.4167,2.4524,1.9998,Rizal (ZN)
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.4107,2.5000,1.2588,0.0,Rizal (ZN)
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,0.0000,1.2595,1.0455,Rizal (ZN)
34,Budget for DRRMP,-,-,-,0.0022,0.0000,0.0787,0.1913,0.0038,0.0,Rizal (ZN)
35,Local Risk Assessments,-,-,-,1.2500,0.0000,2.5000,2.5000,2.5000,2.0,Rizal (ZN)
36,Emergency Infrastructure,-,-,-,0.8653,0.0000,0.5015,0.5296,0.5353,0.4091,Rizal (ZN)
37,Utilities,-,-,-,0.2778,0.0000,1.8766,1.9225,1.2973,1.4812,Rizal (ZN)
38,Employed Population,-,-,-,0.0498,0.0000,0.0158,0.0445,0.0327,0.002,Rizal (ZN)
39,Sanitary System,-,-,-,0.5417,0.0000,1.0227,1.5043,1.8777,1.0001,Rizal (ZN)
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.3333,Rizal (ZN)
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0199,Rizal (ZN)
42,STEM graduates,-,-,-,-,-,-,-,-,0.0309,Rizal (ZN)
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Rizal (ZN)
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Rizal (ZN)
45,Internet Capability,-,-,-,-,-,-,-,-,0.04,Rizal (ZN)
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Rizal (ZN)
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Rizal (ZN)
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Rizal (ZN)
49,New Technology,-,-,-,-,-,-,-,-,0.0,Rizal (ZN)
