,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.5789,0.3539,0.3479,0.0740,0.1537,0.0344,0.0773,0.5244,0.0659,Rosario (CE)
1,Local Economy Growth,0.1924,0.2849,0.0648,0.0041,0.0139,0.0036,0.3319,0.0087,0.0,Rosario (CE)
2,Active Establishments in the Locality,-,-,-,0.0090,0.5056,0.2667,0.9777,0.7572,0.5721,Rosario (CE)
3,Safety Compliant Business,-,-,-,0.2137,0.4068,0.2073,0.3623,0.5627,0.0,Rosario (CE)
4,Employment Generation,2.3746,0.2519,0.4472,2.5000,2.5000,0.3562,0.4588,0.3353,0.1784,Rosario (CE)
5,Cost of Living,3.6877,3.3915,2.7500,1.9257,1.4352,1.3095,0.7759,1.1250,1.8606,Rosario (CE)
6,Cost of Doing Business,0.3154,2.4662,3.0952,2.0370,1.8893,2.0490,2.1923,1.9991,1.8288,Rosario (CE)
7,Financial Deepening,1.7691,1.7726,1.5851,0.7449,0.1123,0.6375,0.6827,0.4685,0.5299,Rosario (CE)
8,Productivity,0.0228,0.0219,0.0090,0.0025,0.0009,0.0077,0.2167,0.7418,0.1584,Rosario (CE)
9,Presence of Business and Professional Organizations,0.0000,0.1006,0.0802,0.0258,0.0185,0.0199,0.0356,0.0352,0.0274,Rosario (CE)
10,Compliance to National Directives,2.0833,3.3333,3.2164,2.3397,0.0000,2.2500,2.3106,2.4405,1.9286,Rosario (CE)
11,Presence of Investment Promotion Unit,0.0000,0.0000,0.0000,2.5000,0.0000,2.5000,2.5000,2.5000,1.8462,Rosario (CE)
12,Compliance to ARTA Citizens Charter,-,2.8886,1.7136,2.0173,0.0000,2.2376,2.3125,2.1503,1.0,Rosario (CE)
13,Capacity to Generate Local Resource,0.1253,0.1334,1.6724,1.3041,0.0000,0.2865,0.6898,0.0601,0.0177,Rosario (CE)
14,Capacity of Health Services,0.0857,0.1970,0.1804,0.1776,0.0000,0.1936,0.1973,0.2572,0.0027,Rosario (CE)
15,Capacity of School Services,0.4644,0.6800,0.2413,0.1706,0.0000,0.4162,0.2402,0.2531,0.0735,Rosario (CE)
16,Recognition of Performance,0.1515,0.3175,0.0505,0.1706,0.0000,0.1145,0.0525,0.0000,0.3458,Rosario (CE)
17,Getting Business Permits,-,-,1.1111,2.2999,0.0000,2.4510,2.4079,1.8011,2.0,Rosario (CE)
18,Peace and Order,0.5092,0.0469,0.0352,0.2448,0.0000,0.0527,0.0431,0.0732,0.0476,Rosario (CE)
19,Social Protection,-,-,0.7632,0.6083,0.0000,1.1501,1.0482,0.8445,0.0009,Rosario (CE)
20,Road Network,0.0380,0.0006,0.0008,0.0003,0.0000,0.0128,0.0001,0.0258,0.0,Rosario (CE)
21,Distance to Ports,1.0664,3.1367,3.1178,1.6068,0.0000,1.6128,2.4356,2.3923,1.9758,Rosario (CE)
22,Availability of Basic Utilities,0.0000,3.3333,3.3333,2.5000,0.0000,1.5024,1.6042,2.1786,0.1023,Rosario (CE)
