,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,1.0879,0.6815,0.6065,0.1037,0.1796,0.0423,0.0702,0.3497,0.0839,San Mateo (RL)
1,Local Economy Growth,0.3910,0.3428,0.0656,0.0016,0.0136,0.0023,0.3307,0.0049,0.0,San Mateo (RL)
2,Active Establishments in the Locality,-,-,-,0.4082,0.9858,0.5777,0.9958,1.0766,0.8747,San Mateo (RL)
3,Safety Compliant Business,-,-,-,0.6176,0.7716,0.6062,0.7695,0.7485,0.0,San Mateo (RL)
4,Employment Generation,1.1450,0.5406,0.6094,0.4017,0.3485,0.4327,0.3988,0.3819,0.271,San Mateo (RL)
5,Cost of Living,4.0709,3.5368,4.1667,2.0946,1.4352,1.5873,0.6897,0.6875,1.8269,San Mateo (RL)
6,Cost of Doing Business,3.2784,3.5821,3.5366,2.0958,2.1549,2.1034,2.1920,2.1141,1.8453,San Mateo (RL)
7,Financial Deepening,1.7458,1.7035,1.6757,0.9722,0.1454,0.4498,0.8101,0.7668,0.724,San Mateo (RL)
8,Productivity,0.0537,0.0083,0.0045,0.0212,0.0070,0.0081,0.3673,0.6347,0.2401,San Mateo (RL)
9,Presence of Business and Professional Organizations,0.0387,0.0096,0.0062,0.0043,0.0185,0.0199,0.0154,0.0211,0.0134,San Mateo (RL)
10,Compliance to National Directives,3.3333,3.3333,2.1082,2.3077,0.0000,2.2500,2.3106,2.4405,1.9286,San Mateo (RL)
11,Presence of Investment Promotion Unit,2.5000,3.3333,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.9231,San Mateo (RL)
12,Compliance to ARTA Citizens Charter,-,2.7038,1.7193,2.0659,0.0000,2.3960,2.4605,2.2396,2.0,San Mateo (RL)
13,Capacity to Generate Local Resource,0.2297,0.2454,1.7447,1.3908,0.0000,0.5493,0.9063,0.1020,0.0445,San Mateo (RL)
14,Capacity of Health Services,0.0589,0.1634,0.2940,0.2881,0.0000,0.4987,0.5135,0.6960,0.0036,San Mateo (RL)
15,Capacity of School Services,0.4107,0.5686,0.1344,0.2327,0.0000,0.8845,0.4905,0.3726,0.0604,San Mateo (RL)
16,Recognition of Performance,0.3030,0.0794,0.1010,0.2327,0.0000,0.2210,0.0421,0.1232,0.5671,San Mateo (RL)
17,Getting Business Permits,-,-,1.1111,2.3008,0.0000,2.4898,2.4867,2.1398,2.0,San Mateo (RL)
18,Peace and Order,0.3277,0.0359,0.0241,0.1962,0.0000,0.0742,0.0754,0.1039,0.0298,San Mateo (RL)
19,Social Protection,-,-,1.9326,1.4915,0.0000,1.4013,1.8267,2.0355,0.0009,San Mateo (RL)
20,Road Network,0.0000,0.0033,0.0029,0.0071,0.0000,0.0082,0.0002,0.0711,0.0002,San Mateo (RL)
21,Distance to Ports,3.2014,3.1949,3.1538,2.3753,0.0000,2.4241,2.4471,2.4420,1.905,San Mateo (RL)
22,Availability of Basic Utilities,3.3333,3.3333,3.3333,2.5000,0.0000,2.4434,2.4688,2.4759,0.109,San Mateo (RL)
23,Transportation Vehicles,0.1292,0.3387,0.4944,0.6616,0.0000,0.1510,0.1426,0.1791,0.1442,San Mateo (RL)
24,Education,0.6817,0.9622,0.3389,0.6195,0.0000,0.1440,0.3965,0.4141,0.405,San Mateo (RL)
25,Health,0.7436,0.7622,0.6847,0.6171,0.0000,0.4375,0.5996,1.0071,0.8277,San Mateo (RL)
26,LGU Investment,0.9568,0.2444,0.7010,0.1074,0.0000,1.6075,0.6049,0.1279,0.0028,San Mateo (RL)
27,Accommodation Capacity,0.2559,0.0000,0.0178,0.0128,0.0000,0.0027,0.0459,0.0598,0.0725,San Mateo (RL)
28,Information Technology Capacity,0.2805,0.6486,0.9710,0.5219,0.0000,0.6495,0.7226,0.9545,0.2203,San Mateo (RL)
29,Financial Technology Capacity,0.4609,0.7540,1.1655,0.8816,0.0000,0.9068,1.0306,1.0306,0.4741,San Mateo (RL)
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4231,2.4231,2.4773,1.9848,San Mateo (RL)
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4074,2.4074,2.4737,1.9998,San Mateo (RL)
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.2500,2.5000,1.3250,1.04,San Mateo (RL)
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,2.3977,1.9355,San Mateo (RL)
34,Budget for DRRMP,-,-,-,0.0014,0.0000,0.7041,0.4542,0.1498,0.0,San Mateo (RL)
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,San Mateo (RL)
36,Emergency Infrastructure,-,-,-,0.9668,0.0000,1.1085,1.3409,1.3089,1.0531,San Mateo (RL)
37,Utilities,-,-,-,0.9991,0.0000,1.8837,1.9752,1.4637,1.5842,San Mateo (RL)
38,Employed Population,-,-,-,0.7311,0.0000,1.0483,1.4985,2.5000,1.8447,San Mateo (RL)
39,Sanitary System,-,-,-,1.5902,0.0000,2.2163,2.0351,1.8774,1.5019,San Mateo (RL)
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.3376,San Mateo (RL)
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0364,San Mateo (RL)
42,STEM graduates,-,-,-,-,-,-,-,-,0.2211,San Mateo (RL)
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0958,San Mateo (RL)
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,San Mateo (RL)
45,Internet Capability,-,-,-,-,-,-,-,-,1.119,San Mateo (RL)
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0281,San Mateo (RL)
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,San Mateo (RL)
48,ICT Plan,-,-,-,-,-,-,-,-,2.0001,San Mateo (RL)
49,New Technology,-,-,-,-,-,-,-,-,0.003,San Mateo (RL)
