,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.4387,0.2483,0.0017,0.0145,0.0300,0.0410,0.0229,0.0045,Solsona
1,Local Economy Growth,-,0.3358,0.0734,0.0036,0.0033,0.0021,1.0255,0.0009,0.0014,Solsona
2,Active Establishments in the Locality,-,-,-,0.0000,0.0059,0.3950,0.4873,0.7055,0.6113,Solsona
3,Safety Compliant Business,-,-,-,0.3635,0.2481,0.4629,0.5339,0.4218,0.3775,Solsona
4,Employment Generation,-,1.0427,0.3363,0.3402,0.1734,0.3316,0.2443,0.3457,0.372,Solsona
5,Cost of Living,-,3.5256,2.9167,0.0000,1.3426,1.2500,0.8333,1.1563,1.9994,Solsona
6,Cost of Doing Business,-,3.6576,3.5954,2.2827,2.1179,2.1776,2.3255,2.4059,1.9205,Solsona
7,Financial Deepening,-,0.5650,0.8488,0.0529,0.0336,0.1647,0.3470,0.3759,0.1413,Solsona
8,Productivity,-,0.0257,0.0116,0.0008,0.0070,0.2186,0.1947,0.2532,0.1987,Solsona
9,Presence of Business and Professional Organizations,-,0.0000,0.0521,0.0039,0.0000,0.0269,0.0086,0.0442,0.055,Solsona
10,Compliance to National Directives,-,3.3333,3.2323,2.2697,0.0000,2.4963,2.2857,2.4286,1.9615,Solsona
11,Presence of Investment Promotion Unit,-,3.3333,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.9997,Solsona
12,Compliance to ARTA Citizens Charter,-,2.6760,2.1220,2.3461,0.0000,2.3612,2.4774,2.2167,2.0,Solsona
13,Capacity to Generate Local Resource,-,0.4148,1.7209,0.6681,0.0000,0.1167,0.3011,0.1031,0.072,Solsona
14,Capacity of Health Services,-,0.1722,0.1876,0.0741,0.0000,0.0556,0.0519,0.0714,0.0498,Solsona
15,Capacity of School Services,-,0.2244,0.3352,0.1853,0.0000,0.3526,0.0583,0.0447,0.0851,Solsona
16,Recognition of Performance,-,0.0000,0.0877,0.1853,0.0000,0.1042,0.0000,0.0000,0.15,Solsona
17,Getting Business Permits,-,-,1.1111,1.4539,0.0000,1.5288,2.4942,2.4905,2.0,Solsona
18,Peace and Order,-,0.2069,0.1800,0.1960,0.0000,0.1959,0.2679,0.0862,0.0002,Solsona
19,Social Protection,-,-,0.0409,0.6313,0.0000,0.8604,0.4187,0.1314,0.0,Solsona
20,Road Network,-,0.0002,0.0028,0.0014,0.0000,0.0928,0.0007,0.0815,0.0006,Solsona
21,Distance to Ports,-,3.0224,3.1478,2.4110,0.0000,2.3534,2.3297,2.3561,1.9387,Solsona
22,Availability of Basic Utilities,-,3.3333,3.3333,2.5000,0.0000,2.4256,1.7172,1.9672,0.3455,Solsona
23,Transportation Vehicles,-,0.1740,0.1124,0.0729,0.0000,0.0112,0.0130,0.0443,0.0094,Solsona
24,Education,-,0.2471,0.2310,0.1657,0.0000,0.0776,0.0509,0.0668,0.0839,Solsona
25,Health,-,0.1042,0.1393,0.0635,0.0000,0.1062,0.0656,0.1003,0.0788,Solsona
26,LGU Investment,-,0.3647,0.0000,0.0626,0.0000,0.0729,0.0593,0.1023,0.0002,Solsona
27,Accommodation Capacity,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0071,0.0287,Solsona
28,Information Technology Capacity,-,1.1175,0.1852,0.2679,0.0000,0.3000,0.4630,0.4348,0.1739,Solsona
29,Financial Technology Capacity,-,0.0000,0.3333,0.2500,0.0000,0.1563,0.1250,0.0694,0.1395,Solsona
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4872,2.4872,2.5000,1.9865,Solsona
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.5000,2.5000,1.9998,Solsona
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.4107,2.5000,1.2829,1.0225,Solsona
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.3098,1.087,Solsona
34,Budget for DRRMP,-,-,-,0.0000,0.0000,0.1360,0.0510,0.0027,0.0,Solsona
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Solsona
36,Emergency Infrastructure,-,-,-,0.8788,0.0000,0.5324,0.5145,0.2918,0.3944,Solsona
37,Utilities,-,-,-,0.9773,0.0000,1.8834,1.8728,1.2585,1.5018,Solsona
38,Employed Population,-,-,-,0.3332,0.0000,0.0536,0.1724,0.1596,0.0489,Solsona
39,Sanitary System,-,-,-,1.0833,0.0000,2.0421,1.9860,1.8751,1.5,Solsona
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.1574,Solsona
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Solsona
42,STEM graduates,-,-,-,-,-,-,-,-,0.4311,Solsona
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0086,Solsona
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Solsona
45,Internet Capability,-,-,-,-,-,-,-,-,1.0652,Solsona
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0001,Solsona
47,Online Payment Facilities,-,-,-,-,-,-,-,-,2.0,Solsona
48,ICT Plan,-,-,-,-,-,-,-,-,2.0001,Solsona
49,New Technology,-,-,-,-,-,-,-,-,0.001,Solsona
