,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.3956,0.1681,0.0000,0.0599,0.0670,0.1217,0.0138,0.0997,0.0004,Subic
1,Local Economy Growth,0.0000,0.2235,0.0000,0.0026,0.0109,0.0170,0.3289,0.0055,0.0,Subic
2,Active Establishments in the Locality,-,-,-,0.0919,0.4134,0.1838,0.2355,0.2140,0.2314,Subic
3,Safety Compliant Business,-,-,-,0.2998,0.3050,0.2079,0.3063,0.4326,0.0,Subic
4,Employment Generation,0.0000,0.0000,0.0000,0.0329,0.0374,0.0000,0.1228,0.0739,0.1697,Subic
5,Cost of Living,3.5441,3.3430,2.4167,1.7568,1.0648,1.1111,0.6466,0.7813,1.7212,Subic
6,Cost of Doing Business,1.3526,0.8596,1.5100,1.1044,1.0061,0.6555,2.0165,1.9496,1.6916,Subic
7,Financial Deepening,0.8147,0.8978,0.7699,0.4293,0.0920,0.2465,0.3790,0.2772,0.1473,Subic
8,Productivity,0.0000,0.0000,0.0000,0.0986,0.0264,0.0000,0.0545,0.0971,0.0165,Subic
9,Presence of Business and Professional Organizations,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0054,0.0053,0.0,Subic
10,Compliance to National Directives,1.1667,2.0000,0.2222,1.2500,0.0000,2.4000,2.4621,2.2024,1.7857,Subic
11,Presence of Investment Promotion Unit,0.8333,0.0000,0.0000,1.2500,0.0000,0.0000,2.5000,2.5000,1.2052,Subic
12,Compliance to ARTA Citizens Charter,-,2.5631,1.1183,1.7558,0.0000,2.2570,2.4165,2.0253,2.0,Subic
13,Capacity to Generate Local Resource,0.2281,0.2458,0.0000,0.0000,0.0000,0.0000,0.3341,0.0316,0.0124,Subic
14,Capacity of Health Services,0.0000,0.1015,0.0413,0.0516,0.0000,0.0037,0.0603,0.1028,0.0008,Subic
15,Capacity of School Services,0.2359,0.3880,0.0000,0.0000,0.0000,0.0000,0.1788,0.1587,0.0,Subic
16,Recognition of Performance,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0181,0.0368,0.0196,Subic
17,Getting Business Permits,-,-,0.0000,0.9159,0.0000,2.4783,2.4061,1.4370,0.5,Subic
18,Peace and Order,0.0000,0.0257,0.0044,0.0000,0.0000,0.0443,0.0323,0.0519,0.0,Subic
19,Social Protection,-,-,0.4759,0.0000,0.0000,0.4766,0.4852,0.7415,0.0015,Subic
20,Road Network,0.0006,0.0005,0.0004,0.0000,0.0000,0.0344,0.0004,0.0653,0.0,Subic
21,Distance to Ports,0.0000,0.0000,0.0000,0.0000,0.0000,2.2636,2.4459,2.3027,1.8184,Subic
22,Availability of Basic Utilities,3.3333,3.3333,3.3333,1.2500,0.0000,1.2500,2.1118,2.0948,0.0038,Subic
23,Transportation Vehicles,0.1033,0.1447,0.2325,0.1483,0.0000,0.2121,0.0266,0.0171,0.0212,Subic
24,Education,1.1845,1.4336,0.4003,0.4915,0.0000,0.0000,0.1999,0.1865,0.1425,Subic
25,Health,0.0000,0.0000,0.0000,0.0000,0.0000,0.0037,0.0396,0.0837,0.0392,Subic
26,LGU Investment,0.8179,0.0000,0.0000,0.0000,0.0000,0.0000,0.2529,0.0255,0.0006,Subic
27,Accommodation Capacity,1.3041,0.0000,0.0000,0.1036,0.0000,0.0000,0.0131,0.0160,0.0263,Subic
28,Information Technology Capacity,0.0000,0.4123,0.6522,0.4032,0.0000,0.3600,0.4613,0.3636,0.1233,Subic
29,Financial Technology Capacity,0.1986,1.7222,1.6893,0.3748,0.0000,0.1368,0.9946,0.2614,0.1207,Subic
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4744,2.4744,2.4091,1.9242,Subic
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4074,2.4074,2.3947,1.9988,Subic
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.2500,2.5000,1.2500,1.002,Subic
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2555,1.0037,Subic
34,Budget for DRRMP,-,-,-,0.0000,0.0000,0.0010,0.2589,0.0205,0.0,Subic
35,Local Risk Assessments,-,-,-,1.2500,0.0000,2.5000,2.5000,2.5000,2.0,Subic
36,Emergency Infrastructure,-,-,-,0.9265,0.0000,0.4687,0.5219,0.2756,0.3632,Subic
37,Utilities,-,-,-,0.6987,0.0000,1.5605,1.8749,1.2575,1.5029,Subic
38,Employed Population,-,-,-,0.2199,0.0000,0.0095,0.0125,0.0136,0.0099,Subic
39,Sanitary System,-,-,-,1.5000,0.0000,1.9953,1.9555,1.8753,1.5002,Subic
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Subic
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Subic
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Subic
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0795,Subic
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,Subic
45,Internet Capability,-,-,-,-,-,-,-,-,0.0,Subic
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Subic
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Subic
48,ICT Plan,-,-,-,-,-,-,-,-,2.0001,Subic
49,New Technology,-,-,-,-,-,-,-,-,0.0,Subic
