,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,-,0.0001,0.0020,0.0032,0.0118,0.0132,0.0059,Tabango
1,Local Economy Growth,-,-,-,0.0062,0.0298,0.0014,1.0274,0.0006,0.0047,Tabango
2,Active Establishments in the Locality,-,-,-,0.1175,0.0035,0.1640,0.3819,0.2629,0.1705,Tabango
3,Safety Compliant Business,-,-,-,0.2163,0.0721,0.1486,0.5837,0.0000,0.1127,Tabango
4,Employment Generation,-,-,-,0.1158,0.0403,0.1213,0.3005,0.1080,0.1458,Tabango
5,Cost of Living,-,-,-,1.4224,1.0185,1.5000,0.9375,1.9688,1.999,Tabango
6,Cost of Doing Business,-,-,-,2.2679,0.0000,1.9699,2.0970,2.3162,1.9107,Tabango
7,Financial Deepening,-,-,-,0.3175,0.0000,0.1492,0.1692,0.2518,0.0517,Tabango
8,Productivity,-,-,-,0.0003,0.0053,0.0783,0.1131,0.1193,0.0809,Tabango
9,Presence of Business and Professional Organizations,-,-,-,0.0010,0.0000,0.0047,0.0047,0.0000,0.0,Tabango
10,Compliance to National Directives,-,-,-,0.0000,0.0000,2.4969,2.3214,2.4643,0.0,Tabango
11,Presence of Investment Promotion Unit,-,-,-,0.0000,0.0000,0.6250,1.2500,1.8750,1.9978,Tabango
12,Compliance to ARTA Citizens Charter,-,-,-,2.4001,0.0000,1.7293,2.4974,2.1041,2.0,Tabango
13,Capacity to Generate Local Resource,-,-,-,0.0000,0.0000,0.0165,0.0104,0.0113,0.0123,Tabango
14,Capacity of Health Services,-,-,-,0.0945,0.0000,0.0483,0.0583,0.0183,0.0215,Tabango
15,Capacity of School Services,-,-,-,0.0285,0.0000,0.3403,0.0428,0.0039,0.0132,Tabango
16,Recognition of Performance,-,-,-,0.0285,0.0000,0.0347,0.0430,0.0329,0.0,Tabango
17,Getting Business Permits,-,-,-,1.3173,0.0000,2.2494,1.6638,1.8644,1.0,Tabango
18,Peace and Order,-,-,-,0.1512,0.0000,0.2189,0.3189,0.1047,0.0,Tabango
19,Social Protection,-,-,-,0.0000,0.0000,1.6896,0.5425,0.0000,0.0,Tabango
20,Road Network,-,-,-,0.0000,0.0000,0.0702,0.0000,0.0436,0.0,Tabango
21,Distance to Ports,-,-,-,2.4054,0.0000,2.3979,2.0559,2.1087,0.0,Tabango
22,Availability of Basic Utilities,-,-,-,2.5000,0.0000,0.6585,0.4010,1.4010,0.1653,Tabango
23,Transportation Vehicles,-,-,-,0.0000,0.0000,0.0010,0.0028,0.0045,0.0003,Tabango
24,Education,-,-,-,0.0000,0.0000,0.0199,0.0375,0.0038,0.1539,Tabango
25,Health,-,-,-,0.0329,0.0000,0.0216,0.0943,0.0308,0.0647,Tabango
26,LGU Investment,-,-,-,0.0000,0.0000,0.0000,0.0570,0.0238,0.0002,Tabango
27,Accommodation Capacity,-,-,-,0.0386,0.0000,0.1308,0.1359,0.1250,0.0174,Tabango
28,Information Technology Capacity,-,-,-,0.4960,0.0000,0.2097,0.2685,0.0000,0.1304,Tabango
29,Financial Technology Capacity,-,-,-,0.0000,0.0000,0.2106,0.3750,0.0000,0.2727,Tabango
30,Land Use Plan,-,-,-,2.5000,0.0000,1.9103,2.4359,2.4143,1.8919,Tabango
31,Disaster Risk Reduction Plan,-,-,-,2.0000,0.0000,0.0000,2.2685,2.5000,1.9998,Tabango
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.2321,2.5000,0.0000,0.0,Tabango
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2525,1.002,Tabango
34,Budget for DRRMP,-,-,-,0.0000,0.0000,0.0000,0.0462,0.0000,0.0,Tabango
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Tabango
36,Emergency Infrastructure,-,-,-,0.8629,0.0000,0.4593,0.4664,0.2616,0.372,Tabango
37,Utilities,-,-,-,1.0056,0.0000,1.8670,1.8767,1.2574,1.4995,Tabango
38,Employed Population,-,-,-,0.0356,0.0000,0.0000,0.0565,0.0471,0.0122,Tabango
39,Sanitary System,-,-,-,1.0855,0.0000,2.0447,1.9890,1.8750,1.5,Tabango
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Tabango
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Tabango
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Tabango
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Tabango
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,Tabango
45,Internet Capability,-,-,-,-,-,-,-,-,0.0652,Tabango
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Tabango
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Tabango
48,ICT Plan,-,-,-,-,-,-,-,-,2.0001,Tabango
49,New Technology,-,-,-,-,-,-,-,-,0.0,Tabango
