,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.1908,0.2120,0.0185,0.0148,0.0077,0.0067,0.0095,0.0096,Cabatuan (IO)
1,Local Economy Growth,-,0.3084,0.0771,0.0066,0.0122,0.0022,0.3302,0.0025,0.0001,Cabatuan (IO)
2,Active Establishments in the Locality,-,-,-,0.2181,0.3806,0.1925,0.3182,0.3433,0.3343,Cabatuan (IO)
3,Safety Compliant Business,-,-,-,0.2805,0.3219,0.2310,0.1463,0.2075,0.0,Cabatuan (IO)
4,Employment Generation,-,0.1001,0.1608,0.0681,0.0727,0.4348,0.0834,0.1129,0.0805,Cabatuan (IO)
5,Cost of Living,-,2.7616,1.7500,1.3176,1.9907,1.1905,1.6379,1.7188,1.8894,Cabatuan (IO)
6,Cost of Doing Business,-,2.3389,2.7437,1.9959,2.1390,2.0755,2.2030,2.2546,1.8569,Cabatuan (IO)
7,Financial Deepening,-,0.9208,0.7020,0.4672,0.0865,0.2959,0.3162,0.2739,0.2249,Cabatuan (IO)
8,Productivity,-,0.0026,0.0008,0.0089,0.0026,0.0005,0.0372,0.0709,0.0379,Cabatuan (IO)
9,Presence of Business and Professional Organizations,-,0.0000,0.0062,0.0129,0.0353,0.0184,0.0300,0.0246,0.0084,Cabatuan (IO)
10,Compliance to National Directives,-,3.3333,2.2222,1.2500,0.0000,2.3500,2.3864,2.3810,1.8929,Cabatuan (IO)
11,Presence of Investment Promotion Unit,-,3.3333,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.9231,Cabatuan (IO)
12,Compliance to ARTA Citizens Charter,-,2.7201,1.9878,1.9519,0.0000,2.1978,2.3141,1.8248,2.0,Cabatuan (IO)
13,Capacity to Generate Local Resource,-,0.3487,0.0346,0.0699,0.0000,0.1093,0.0540,0.0110,0.0053,Cabatuan (IO)
14,Capacity of Health Services,-,0.4237,0.1496,0.3278,0.0000,0.2571,0.2649,0.4341,0.0057,Cabatuan (IO)
15,Capacity of School Services,-,0.4814,0.3039,0.4743,0.0000,0.2671,0.0931,0.0644,0.026,Cabatuan (IO)
