,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.0000,0.0000,0.0002,0.0029,0.0034,0.0041,0.0030,0.0011,Caramoran
1,Local Economy Growth,-,0.0000,0.0000,0.0000,0.0047,0.0018,1.0259,0.0010,0.0032,Caramoran
2,Active Establishments in the Locality,-,-,-,0.0244,0.0021,0.1354,0.1955,0.1761,0.1527,Caramoran
3,Safety Compliant Business,-,-,-,0.1177,0.3192,0.3183,0.1525,0.3147,0.102,Caramoran
4,Employment Generation,-,0.0000,0.0000,0.0973,0.0360,0.0842,0.0649,0.1614,0.1513,Caramoran
5,Cost of Living,-,3.3120,3.3333,1.4224,1.7130,1.5000,1.7188,0.0000,1.999,Caramoran
6,Cost of Doing Business,-,0.3701,0.3437,1.0427,1.0013,1.7320,2.3230,1.9295,1.5738,Caramoran
7,Financial Deepening,-,0.0000,0.0000,0.0397,0.0168,0.0054,0.0551,0.0713,0.0192,Caramoran
8,Productivity,-,0.0000,0.0000,0.0003,0.0019,0.0315,0.0254,0.1431,0.0875,Caramoran
9,Presence of Business and Professional Organizations,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Caramoran
10,Compliance to National Directives,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4643,1.9615,Caramoran
11,Presence of Investment Promotion Unit,-,0.0000,0.0000,0.0000,0.0000,1.8750,1.2500,1.8750,1.9991,Caramoran
12,Compliance to ARTA Citizens Charter,-,0.0000,0.0000,2.2898,0.0000,2.2843,2.4760,2.2688,2.0,Caramoran
13,Capacity to Generate Local Resource,-,1.6537,0.0000,0.0718,0.0000,0.0323,0.0145,0.0145,0.0494,Caramoran
14,Capacity of Health Services,-,0.0000,0.0000,0.0756,0.0000,0.0750,0.0830,0.0799,0.043,Caramoran
15,Capacity of School Services,-,0.0000,0.0000,0.0868,0.0000,0.3870,0.0520,0.0000,0.0096,Caramoran
16,Recognition of Performance,-,0.0000,0.0000,0.0868,0.0000,0.0837,0.0000,0.0000,0.0417,Caramoran
17,Getting Business Permits,-,-,0.0000,1.2875,0.0000,1.5484,1.6428,1.8707,2.0,Caramoran
18,Peace and Order,-,0.0000,0.0000,0.1349,0.0000,0.1728,0.2679,0.0862,0.0001,Caramoran
19,Social Protection,-,-,0.0000,0.0000,0.0000,0.4832,0.4215,0.0756,1.3463,Caramoran
20,Road Network,-,0.0000,0.0000,0.0001,0.0000,0.2063,0.0001,0.1225,0.0,Caramoran
21,Distance to Ports,-,0.8072,0.0000,1.5998,0.0000,2.1721,2.1535,2.1591,1.881,Caramoran
22,Availability of Basic Utilities,-,0.0000,0.0000,0.0000,0.0000,1.0417,1.8229,2.2938,0.4525,Caramoran
23,Transportation Vehicles,-,0.0000,0.0000,0.0082,0.0000,0.0397,0.0139,0.0300,0.0054,Caramoran
24,Education,-,0.0000,0.0000,0.1789,0.0000,0.0076,0.0440,0.0379,0.0604,Caramoran
25,Health,-,0.0000,0.0000,0.0495,0.0000,0.0285,0.0674,0.0161,0.0391,Caramoran
26,LGU Investment,-,0.0000,0.0000,0.2079,0.0000,0.0902,0.0677,0.1268,0.0003,Caramoran
27,Accommodation Capacity,-,0.0000,0.0000,0.0086,0.0000,0.0041,0.0073,0.0061,0.0687,Caramoran
28,Information Technology Capacity,-,0.0000,0.0000,0.2579,0.0000,0.2388,0.3148,0.0543,0.1739,Caramoran
29,Financial Technology Capacity,-,0.0000,0.0000,0.1563,0.0000,0.0543,0.1563,0.1389,0.0909,Caramoran
30,Land Use Plan,-,-,-,1.2500,0.0000,0.0000,0.0000,0.0000,0.0,Caramoran
31,Disaster Risk Reduction Plan,-,-,-,2.0000,0.0000,2.4537,2.5000,2.5000,1.9993,Caramoran
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.4107,2.2500,1.2829,1.002,Caramoran
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2649,1.0079,Caramoran
34,Budget for DRRMP,-,-,-,0.0022,0.0000,0.1513,0.0520,0.0025,0.0,Caramoran
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Caramoran
36,Emergency Infrastructure,-,-,-,0.8498,0.0000,0.5597,0.1259,0.0459,0.0605,Caramoran
37,Utilities,-,-,-,1.0041,0.0000,1.8765,1.8746,1.2481,1.4978,Caramoran
38,Employed Population,-,-,-,0.0492,0.0000,0.0122,0.0094,0.0105,0.0056,Caramoran
39,Sanitary System,-,-,-,1.0000,0.0000,1.0000,1.0000,1.2500,1.0,Caramoran
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Caramoran
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Caramoran
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Caramoran
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0138,Caramoran
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Caramoran
45,Internet Capability,-,-,-,-,-,-,-,-,1.087,Caramoran
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Caramoran
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Caramoran
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Caramoran
49,New Technology,-,-,-,-,-,-,-,-,0.0,Caramoran
