,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.0000,0.0482,0.0010,0.0035,0.0037,0.0190,0.0105,0.0192,Carmen (SS)
1,Local Economy Growth,-,0.0000,0.1097,0.0043,0.0015,0.0013,0.0315,0.0085,0.0,Carmen (SS)
2,Active Establishments in the Locality,-,-,-,0.0862,0.0025,0.1558,0.2871,0.4410,0.2959,Carmen (SS)
3,Safety Compliant Business,-,-,-,0.0513,0.0478,0.1732,1.2046,0.4040,0.2435,Carmen (SS)
4,Employment Generation,-,0.0000,0.0963,0.0847,0.0521,0.0657,0.3817,0.1608,0.2981,Carmen (SS)
5,Cost of Living,-,1.8162,2.4167,1.4655,1.9444,2.2500,1.3934,2.0313,1.5,Carmen (SS)
6,Cost of Doing Business,-,1.6751,2.8207,1.5841,1.8688,1.7651,2.2076,2.3215,1.6277,Carmen (SS)
7,Financial Deepening,-,0.1412,0.0772,0.0397,0.0503,0.1105,0.4339,0.4285,0.1806,Carmen (SS)
8,Productivity,-,0.0000,0.0088,0.0010,0.0040,0.0170,0.2857,0.1081,0.2275,Carmen (SS)
9,Presence of Business and Professional Organizations,-,0.0000,0.0000,0.0020,0.0011,0.1217,0.1466,0.5357,0.0132,Carmen (SS)
10,Compliance to National Directives,-,0.4167,2.7946,1.2500,0.0000,2.4994,2.4653,2.3214,1.8182,Carmen (SS)
11,Presence of Investment Promotion Unit,-,0.0000,0.8333,0.6250,0.0000,1.8750,2.5000,2.5000,1.9931,Carmen (SS)
12,Compliance to ARTA Citizens Charter,-,0.0000,2.0213,2.3356,0.0000,2.4574,2.4566,2.2919,1.0,Carmen (SS)
13,Capacity to Generate Local Resource,-,1.4820,1.1564,0.9226,0.0000,0.0509,0.1009,0.0133,0.0135,Carmen (SS)
14,Capacity of Health Services,-,0.0000,0.0761,0.0640,0.0000,0.0148,0.0638,0.0314,0.0002,Carmen (SS)
15,Capacity of School Services,-,0.2437,0.4109,0.0780,0.0000,0.0622,0.0491,0.0552,0.02,Carmen (SS)
16,Recognition of Performance,-,0.0000,0.0000,0.0780,0.0000,0.0000,0.0000,0.0000,0.0556,Carmen (SS)
17,Getting Business Permits,-,-,0.0000,1.5554,0.0000,1.5288,1.5069,1.5387,0.5,Carmen (SS)
18,Peace and Order,-,0.4521,0.5061,0.6405,0.0000,0.1728,0.5702,0.4583,0.0001,Carmen (SS)
19,Social Protection,-,-,0.0352,0.1422,0.0000,0.2393,0.0326,0.3971,0.0,Carmen (SS)
20,Road Network,-,0.0000,0.0008,0.0000,0.0000,0.0006,0.0125,0.0595,0.0,Carmen (SS)
21,Distance to Ports,-,2.9047,3.0748,2.3784,0.0000,2.0608,2.1396,2.0996,1.4675,Carmen (SS)
22,Availability of Basic Utilities,-,1.6333,3.3313,2.4980,0.0000,2.3750,2.3875,2.3313,0.4284,Carmen (SS)
23,Transportation Vehicles,-,0.0000,0.0000,0.0000,0.0000,0.0019,0.0024,0.0287,0.0216,Carmen (SS)
24,Education,-,0.0843,0.0668,0.0507,0.0000,0.0041,0.0156,0.0412,0.0313,Carmen (SS)
25,Health,-,0.0000,0.0225,0.0000,0.0000,0.0037,0.0062,0.0239,0.0152,Carmen (SS)
26,LGU Investment,-,0.0000,0.0898,0.1209,0.0000,0.0110,0.1863,0.3268,0.0017,Carmen (SS)
27,Accommodation Capacity,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0,Carmen (SS)
