,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.0352,1.1435,1.1801,1.3306,0.1813,0.1430,0.1867,0.1609,0.1494,Dumaguete
1,Local Economy Growth,0.1006,0.0983,0.4045,1.0933,0.3452,0.0411,0.6484,0.0296,0.0114,Dumaguete
2,Active Establishments in the Locality,-,-,-,0.0076,0.9617,0.5478,0.8919,0.3787,0.9507,Dumaguete
3,Safety Compliant Business,-,-,-,0.6123,0.4802,0.6120,0.5481,0.4415,0.3767,Dumaguete
4,Employment Generation,0.0000,0.2222,0.7392,0.1414,0.1270,0.0578,0.2105,0.0000,0.0,Dumaguete
5,Cost of Living,3.1410,2.7174,2.3333,0.5603,1.6837,0.0000,2.2535,2.0455,1.3333,Dumaguete
6,Cost of Doing Business,0.8189,2.6890,3.0186,1.8072,1.8000,1.7836,1.6664,1.3336,1.3128,Dumaguete
7,Financial Deepening,0.4098,1.3163,2.8048,2.0400,1.3018,0.9189,0.9029,0.9366,0.6332,Dumaguete
8,Productivity,0.0000,1.1862,0.7724,0.0684,0.2901,0.1841,0.3175,0.1546,0.1399,Dumaguete
9,Presence of Business and Professional Organizations,0.0000,0.4347,0.6244,0.0332,0.0276,0.0224,0.0195,0.0285,0.0138,Dumaguete
10,Compliance to National Directives,0.0000,3.3333,3.1373,2.2222,2.4306,2.3611,2.3438,2.2794,1.8571,Dumaguete
11,Presence of Investment Promotion Unit,0.0000,1.6667,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.5874,Dumaguete
12,Compliance to ARTA Citizens Charter,-,1.9381,2.5725,1.7904,2.1956,2.1073,1.8158,1.2296,2.0,Dumaguete
13,Capacity to Generate Local Resource,0.0000,0.0000,0.4400,0.5189,0.5076,0.2686,0.8566,0.1766,0.2924,Dumaguete
14,Capacity of Health Services,0.0000,0.7345,0.3136,0.1386,0.5133,0.2148,0.1613,0.1577,0.0203,Dumaguete
15,Capacity of School Services,0.4282,0.4011,0.1700,0.2295,0.3690,0.1025,0.1960,0.0505,0.0,Dumaguete
16,Recognition of Performance,0.0556,0.4109,0.6085,0.2295,0.0694,0.1177,0.0686,0.0000,0.0,Dumaguete
17,Getting Business Permits,-,-,2.1624,2.4462,2.3809,1.5937,1.5396,0.3125,2.0,Dumaguete
18,Peace and Order,0.6445,0.4647,0.9178,0.4112,2.5000,2.5000,2.5000,1.1139,2.0,Dumaguete
19,Social Protection,-,-,0.0000,0.3333,0.6298,0.4306,0.5019,0.3386,0.9481,Dumaguete
20,Road Network,0.0000,0.0035,1.4792,0.0261,0.9322,0.0181,0.0170,0.0052,0.0073,Dumaguete
21,Distance to Ports,0.0000,0.0000,3.3113,2.4784,2.3948,2.4021,2.4258,2.4618,1.9662,Dumaguete
22,Availability of Basic Utilities,3.3333,3.3333,3.3333,2.5000,2.5000,2.4372,2.4193,2.4230,1.571,Dumaguete
23,Transportation Vehicles,0.0000,0.2102,0.1331,0.1318,0.1061,0.0579,0.0430,0.1092,0.0675,Dumaguete
24,Education,0.0000,0.6482,0.4635,0.3468,0.3593,0.5753,0.3920,0.2762,0.2558,Dumaguete
25,Health,0.3892,0.7818,0.5578,0.6512,0.5363,0.4195,0.3113,0.2760,0.1899,Dumaguete
26,LGU Investment,0.0000,0.3985,0.4188,0.3630,0.2766,0.2727,0.2545,0.0369,0.0025,Dumaguete
27,Accommodation Capacity,0.4580,0.1985,0.2291,0.1656,0.2739,0.2368,0.1898,0.0388,0.031,Dumaguete
28,Information Technology Capacity,0.0000,0.7253,0.9736,0.3730,0.4918,0.3999,0.4260,0.4167,0.015,Dumaguete
29,Financial Technology Capacity,0.0000,0.7310,0.9445,0.6127,0.9196,1.1018,0.5177,0.0000,0.0,Dumaguete
30,Land Use Plan,-,-,-,2.5000,2.5000,2.4995,2.4545,2.4000,1.8333,Dumaguete
31,Disaster Risk Reduction Plan,-,-,-,2.5000,2.5000,2.4405,2.3810,2.2857,1.7222,Dumaguete
32,Annual Disaster Drill,-,-,-,2.5000,2.5000,2.2917,1.8750,0.0000,0.0,Dumaguete
33,Early Warning System,-,-,-,2.5000,2.5000,2.5000,2.5000,0.0000,1.0,Dumaguete
34,Budget for DRRMP,-,-,-,0.0481,0.1796,0.3498,0.2475,0.1476,0.3458,Dumaguete
35,Local Risk Assessments,-,-,-,1.2500,2.5000,2.5000,2.5000,2.5000,2.0,Dumaguete
36,Emergency Infrastructure,-,-,-,0.9439,0.5031,0.3927,0.5543,0.2526,0.414,Dumaguete
37,Utilities,-,-,-,1.0872,1.6601,1.9514,1.9383,1.2501,1.2384,Dumaguete
38,Employed Population,-,-,-,0.2824,0.0113,0.0100,0.0014,0.0006,0.0013,Dumaguete
39,Sanitary System,-,-,-,1.0229,1.5046,1.5037,1.4995,1.8750,1.0,Dumaguete
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0014,Dumaguete
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Dumaguete
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Dumaguete
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0567,Dumaguete
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Dumaguete
45,Internet Capability,-,-,-,-,-,-,-,-,1.0,Dumaguete
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Dumaguete
47,Online Payment Facilities,-,-,-,-,-,-,-,-,2.0,Dumaguete
48,ICT Plan,-,-,-,-,-,-,-,-,2.0001,Dumaguete
49,New Technology,-,-,-,-,-,-,-,-,0.0,Dumaguete
