,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,0.0953,0.0001,0.0000,0.0000,0.0001,0.0061,0.0009,Gainza
1,Local Economy Growth,-,-,0.4789,0.0019,0.0001,0.0013,0.0314,1.0122,0.0,Gainza
2,Active Establishments in the Locality,-,-,-,0.0000,0.0009,0.0588,0.0616,0.4435,0.0838,Gainza
3,Safety Compliant Business,-,-,-,0.0824,0.0446,0.0900,0.2633,0.2099,0.0,Gainza
4,Employment Generation,-,-,0.0410,0.0325,0.0146,0.0509,0.1165,0.0696,0.0367,Gainza
5,Cost of Living,-,-,3.2500,1.0776,2.1759,1.2500,0.6557,0.0938,1.7632,Gainza
6,Cost of Doing Business,-,-,1.0368,1.1792,1.0294,1.3056,2.2900,1.9309,0.1818,Gainza
7,Financial Deepening,-,-,0.0772,0.0132,0.0000,0.0026,0.0174,0.0000,0.0,Gainza
8,Productivity,-,-,0.0027,0.0005,0.0001,0.0283,0.1009,0.0423,0.0316,Gainza
9,Presence of Business and Professional Organizations,-,-,0.0000,0.0059,0.0055,0.0057,0.0027,0.0000,0.0211,Gainza
10,Compliance to National Directives,-,-,2.2222,2.3684,0.0000,2.4981,2.3958,2.1429,1.7727,Gainza
11,Presence of Investment Promotion Unit,-,-,0.0000,0.6250,0.0000,0.0000,0.0000,0.6250,0.0,Gainza
12,Compliance to ARTA Citizens Charter,-,-,1.7481,2.4034,0.0000,2.3742,2.4583,1.8752,2.0,Gainza
13,Capacity to Generate Local Resource,-,-,0.0000,0.0000,0.0000,0.0110,0.0220,0.0074,0.0016,Gainza
14,Capacity of Health Services,-,-,0.0152,0.0174,0.0000,0.0109,0.0385,0.0238,0.0001,Gainza
15,Capacity of School Services,-,-,0.2243,0.0462,0.0000,0.0651,0.0409,0.0209,0.2875,Gainza
16,Recognition of Performance,-,-,0.4762,0.0462,0.0000,0.0694,0.0000,0.0000,0.0,Gainza
17,Getting Business Permits,-,-,0.0000,1.2653,0.0000,1.6039,1.6364,1.5537,0.5,Gainza
18,Peace and Order,-,-,0.4328,0.4541,0.0000,0.2074,0.5482,0.0000,0.0001,Gainza
19,Social Protection,-,-,0.0001,0.0985,0.0000,0.2530,0.0913,0.0000,0.0,Gainza
20,Road Network,-,-,0.0000,0.0000,0.0000,0.4152,0.0428,0.0041,0.0,Gainza
21,Distance to Ports,-,-,3.2377,2.4550,0.0000,2.4276,2.4230,0.8069,1.8943,Gainza
22,Availability of Basic Utilities,-,-,2.0833,1.6667,0.0000,1.8896,1.6795,0.7552,0.2767,Gainza
23,Transportation Vehicles,-,-,0.0000,0.0136,0.0000,0.0022,0.0038,0.0027,0.0075,Gainza
24,Education,-,-,0.0422,0.0364,0.0000,0.0038,0.0078,0.0255,0.0191,Gainza
25,Health,-,-,0.0285,0.0000,0.0000,0.0100,0.0000,0.0000,0.0,Gainza
26,LGU Investment,-,-,0.0000,0.1861,0.0000,0.0443,0.1441,0.1962,0.0018,Gainza
27,Accommodation Capacity,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Gainza
28,Information Technology Capacity,-,-,0.5397,0.0000,0.0000,0.3027,0.8958,0.8929,0.25,Gainza
29,Financial Technology Capacity,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Gainza
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4487,2.4459,2.4038,1.9028,Gainza
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4074,2.3333,1.5000,1.9998,Gainza
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.3214,2.3214,1.2675,1.0213,Gainza
33,Early Warning System,-,-,-,2.5000,0.0000,0.0000,2.5000,0.0000,0.0076,Gainza
34,Budget for DRRMP,-,-,-,0.0022,0.0000,0.0630,0.1504,0.0000,0.0017,Gainza
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2500,2.0,Gainza
36,Emergency Infrastructure,-,-,-,0.8671,0.0000,0.4585,0.0960,0.0405,0.4151,Gainza
37,Utilities,-,-,-,0.9891,0.0000,1.8692,1.2115,0.7679,0.7501,Gainza
38,Employed Population,-,-,-,0.0267,0.0000,0.0914,0.0445,0.0000,0.0121,Gainza
39,Sanitary System,-,-,-,0.5000,0.0000,1.0000,0.5000,1.2500,0.5,Gainza
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.1328,Gainza
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Gainza
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Gainza
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.1111,Gainza
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,Gainza
45,Internet Capability,-,-,-,-,-,-,-,-,1.04,Gainza
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Gainza
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Gainza
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,Gainza
49,New Technology,-,-,-,-,-,-,-,-,0.0,Gainza
