,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,-,-,-,0.0006,0.0018,0.0013,0.0315,Gigmoto
1,Local Economy Growth,-,-,-,-,-,0.0000,0.0315,0.0126,0.0000,Gigmoto
2,Active Establishments in the Locality,-,-,-,-,-,0.0115,0.0326,0.2392,-,Gigmoto
3,Safety Compliant Business,-,-,-,-,-,0.0033,0.2199,0.2235,0.1799,Gigmoto
4,Employment Generation,-,-,-,-,-,0.0672,0.1009,0.0547,0.0816,Gigmoto
5,Cost of Living,-,-,-,-,-,1.5000,1.4754,0.0000,0.1842,Gigmoto
6,Cost of Doing Business,-,-,-,-,-,0.3779,0.6615,1.6989,0.8757,Gigmoto
7,Financial Deepening,-,-,-,-,-,0.0000,0.0347,0.0260,0.0372,Gigmoto
8,Productivity,-,-,-,-,-,0.0245,0.0890,0.0425,0.0685,Gigmoto
9,Presence of Business and Professional Organizations,-,-,-,-,-,0.0000,0.0000,0.0017,0.0053,Gigmoto
10,Compliance to National Directives,-,-,-,-,-,2.4981,2.3958,2.2024,1.7273,Gigmoto
11,Presence of Investment Promotion Unit,-,-,-,-,-,0.0000,0.0000,0.6250,0.0000,Gigmoto
12,Compliance to ARTA Citizens Charter,-,-,-,-,-,0.0000,2.4323,2.2502,2.0000,Gigmoto
13,Capacity to Generate Local Resource,-,-,-,-,-,0.0000,0.0195,0.0129,0.0568,Gigmoto
14,Capacity of Health Services,-,-,-,-,-,0.0132,0.1035,0.1173,0.0003,Gigmoto
15,Capacity of School Services,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,Gigmoto
16,Recognition of Performance,-,-,-,-,-,0.2778,0.0417,0.0000,0.0000,Gigmoto
17,Getting Business Permits,-,-,-,-,-,0.8333,1.6233,1.8340,1.0000,Gigmoto
18,Peace and Order,-,-,-,-,-,0.1728,0.4825,0.2083,0.0001,Gigmoto
19,Social Protection,-,-,-,-,-,0.1942,0.0000,0.0000,0.1708,Gigmoto
20,Road Network,-,-,-,-,-,0.0000,0.0105,0.0665,0.0000,Gigmoto
21,Distance to Ports,-,-,-,-,-,2.3445,2.3524,2.1209,1.6775,Gigmoto
22,Availability of Basic Utilities,-,-,-,-,-,1.2500,2.4250,2.4732,0.4643,Gigmoto
23,Transportation Vehicles,-,-,-,-,-,0.0000,0.0003,0.0065,0.0073,Gigmoto
24,Education,-,-,-,-,-,0.0033,0.0234,0.0329,0.0430,Gigmoto
25,Health,-,-,-,-,-,0.0000,0.2153,0.1383,0.2056,Gigmoto
26,LGU Investment,-,-,-,-,-,0.0000,0.0000,0.2762,0.0024,Gigmoto
27,Accommodation Capacity,-,-,-,-,-,0.0076,0.0160,0.0186,0.1877,Gigmoto
28,Information Technology Capacity,-,-,-,-,-,0.1667,0.2083,0.3571,0.3750,Gigmoto
29,Financial Technology Capacity,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,Gigmoto
30,Land Use Plan,-,-,-,-,-,1.8077,2.2973,2.5000,1.7500,Gigmoto
31,Disaster Risk Reduction Plan,-,-,-,-,-,1.9907,2.5000,2.4762,1.9998,Gigmoto
32,Annual Disaster Drill,-,-,-,-,-,2.5000,2.5000,1.2675,1.0213,Gigmoto
33,Early Warning System,-,-,-,-,-,2.5000,2.5000,1.3636,1.0606,Gigmoto
34,Budget for DRRMP,-,-,-,-,-,0.0000,0.0462,0.0039,0.0017,Gigmoto
35,Local Risk Assessments,-,-,-,-,-,2.5000,2.5000,2.5000,2.0000,Gigmoto
36,Emergency Infrastructure,-,-,-,-,-,0.4395,0.5100,0.2532,0.4093,Gigmoto
37,Utilities,-,-,-,-,-,1.8729,1.7807,1.0063,1.4765,Gigmoto
38,Employed Population,-,-,-,-,-,0.0085,0.0208,0.0176,0.0161,Gigmoto
39,Sanitary System,-,-,-,-,-,1.0982,1.0013,0.0045,0.0001,Gigmoto
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0000,Gigmoto
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0000,Gigmoto
42,STEM graduates,-,-,-,-,-,-,-,-,0.0000,Gigmoto
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0000,Gigmoto
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0000,Gigmoto
45,Internet Capability,-,-,-,-,-,-,-,-,1.0600,Gigmoto
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0000,Gigmoto
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0000,Gigmoto
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Gigmoto
49,New Technology,-,-,-,-,-,-,-,-,0.0000,Gigmoto
