,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.1982,0.1827,0.0282,0.0369,0.0182,0.0259,0.0621,0.0322,Ibaan
1,Local Economy Growth,-,0.2820,0.0663,0.0052,0.0162,0.0016,0.3312,0.0040,0.0,Ibaan
2,Active Establishments in the Locality,-,-,-,0.0000,0.3644,0.2130,0.3380,0.3776,0.3836,Ibaan
3,Safety Compliant Business,-,-,-,0.4954,0.5979,0.1665,0.2232,0.2086,0.0,Ibaan
4,Employment Generation,-,0.0906,0.1306,0.0628,0.0658,0.0949,0.1013,0.0871,0.1312,Ibaan
5,Cost of Living,-,2.7132,3.2500,1.9595,1.2963,1.3095,0.8190,1.4688,1.8269,Ibaan
6,Cost of Doing Business,-,3.6139,3.5271,1.8804,2.1411,1.8864,2.1806,2.2750,1.8315,Ibaan
7,Financial Deepening,-,0.9669,0.9511,0.6944,0.0994,0.2442,0.2157,0.1283,0.1391,Ibaan
8,Productivity,-,0.0026,0.0641,0.0227,0.0046,0.0010,0.0802,0.1437,0.1031,Ibaan
9,Presence of Business and Professional Organizations,-,0.0479,0.0309,0.0215,0.0151,0.0092,0.0111,0.0000,0.0,Ibaan
10,Compliance to National Directives,-,3.0000,2.5263,2.4038,0.0000,2.4500,2.5000,2.4405,1.9286,Ibaan
11,Presence of Investment Promotion Unit,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8750,1.9744,Ibaan
12,Compliance to ARTA Citizens Charter,-,2.5993,1.4809,2.1877,0.0000,2.2324,2.4146,2.1365,0.0,Ibaan
13,Capacity to Generate Local Resource,-,0.2228,1.5582,1.1902,0.0000,0.0777,0.1565,0.0124,0.0074,Ibaan
14,Capacity of Health Services,-,0.0195,0.0898,0.0876,0.0000,0.0731,0.0448,0.0650,0.0012,Ibaan
15,Capacity of School Services,-,0.6071,0.5315,0.1468,0.0000,0.2605,0.1177,0.0344,0.0018,Ibaan
16,Recognition of Performance,-,0.0000,0.0000,0.1468,0.0000,0.0595,0.0227,0.0524,0.0769,Ibaan
17,Getting Business Permits,-,-,1.1111,2.0855,0.0000,2.4718,2.4149,1.4769,1.5,Ibaan
18,Peace and Order,-,0.0483,0.0375,0.3500,0.0000,0.0192,0.0275,0.0567,0.0001,Ibaan
19,Social Protection,-,-,0.2501,0.1743,0.0000,0.3598,0.4701,0.3723,0.005,Ibaan
20,Road Network,-,0.0000,0.0000,0.0014,0.0000,0.0087,0.0003,0.0151,0.0011,Ibaan
21,Distance to Ports,-,3.1047,2.9254,2.2059,0.0000,2.2639,2.4627,2.3130,1.8364,Ibaan
22,Availability of Basic Utilities,-,3.3333,3.3333,2.5000,0.0000,2.4874,2.4875,2.4839,0.109,Ibaan
23,Transportation Vehicles,-,0.0896,0.1589,0.0906,0.0000,0.0119,0.0115,0.0122,0.015,Ibaan
24,Education,-,0.2764,0.0686,0.0835,0.0000,0.0560,0.0664,0.0187,0.013,Ibaan
25,Health,-,0.0589,0.3643,0.2891,0.0000,0.0960,0.1424,0.1151,0.0783,Ibaan
26,LGU Investment,-,0.7456,0.5360,0.4833,0.0000,0.0619,0.1115,0.0129,0.0008,Ibaan
27,Accommodation Capacity,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0084,0.0096,Ibaan
28,Information Technology Capacity,-,0.5631,0.8599,0.3799,0.0000,0.2554,0.2679,0.3182,0.1057,Ibaan
29,Financial Technology Capacity,-,0.0000,0.0362,0.0266,0.0000,0.0240,0.0916,0.1112,0.0517,Ibaan
30,Land Use Plan,-,-,-,2.5000,0.0000,1.9872,2.5000,2.2727,1.8333,Ibaan
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.5000,2.5000,1.9474,1.9985,Ibaan
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.2500,2.5000,0.0000,0.0,Ibaan
33,Early Warning System,-,-,-,0.0000,0.0000,2.5000,2.5000,0.0000,0.0,Ibaan
34,Budget for DRRMP,-,-,-,0.0022,0.0000,0.0082,0.1034,0.0215,0.0,Ibaan
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Ibaan
36,Emergency Infrastructure,-,-,-,0.9057,0.0000,0.5255,0.5070,0.2537,0.383,Ibaan
37,Utilities,-,-,-,0.9838,0.0000,1.8783,1.8778,1.0192,1.2578,Ibaan
38,Employed Population,-,-,-,0.1109,0.0000,0.0324,0.0009,0.0503,0.0366,Ibaan
39,Sanitary System,-,-,-,1.0879,0.0000,2.0444,1.0123,1.8755,1.5005,Ibaan
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Ibaan
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Ibaan
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Ibaan
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0114,Ibaan
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Ibaan
45,Internet Capability,-,-,-,-,-,-,-,-,1.0571,Ibaan
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Ibaan
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Ibaan
48,ICT Plan,-,-,-,-,-,-,-,-,0.0,Ibaan
49,New Technology,-,-,-,-,-,-,-,-,0.0,Ibaan
