,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.0629,0.8818,0.1907,0.0122,0.0179,0.0182,0.0485,0.0130,0.08,La Carlota
1,Local Economy Growth,1.1126,1.5545,0.2864,0.0396,0.1429,0.0912,0.5743,0.0242,1.0,La Carlota
2,Active Establishments in the Locality,-,-,-,0.1652,0.3680,0.2048,0.1637,0.1622,0.22,La Carlota
3,Safety Compliant Business,-,-,-,0.4278,0.3066,0.3962,0.4080,0.3122,0.1194,La Carlota
4,Employment Generation,0.0190,0.1349,0.2578,0.0756,0.0332,0.0811,0.1295,0.2684,0.019,La Carlota
5,Cost of Living,2.2436,2.5815,2.0000,1.0345,2.1429,0.8730,1.3732,1.0390,0.641,La Carlota
6,Cost of Doing Business,3.2415,3.6437,3.3344,1.8552,1.9318,2.0833,1.9545,1.9314,1.5828,La Carlota
7,Financial Deepening,0.0534,0.3661,0.8478,0.6467,0.6177,0.2091,0.2186,0.2280,0.1371,La Carlota
8,Productivity,0.1727,0.8592,0.4134,0.0173,0.1190,0.0709,0.1078,0.0986,0.0002,La Carlota
9,Presence of Business and Professional Organizations,0.0000,0.0600,0.0510,0.0007,0.0006,0.0003,0.0870,0.0864,0.0112,La Carlota
10,Compliance to National Directives,2.6667,2.6667,3.0719,2.1528,2.0833,2.0139,1.9531,2.5000,1.9286,La Carlota
11,Presence of Investment Promotion Unit,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.7144,La Carlota
12,Compliance to ARTA Citizens Charter,-,2.8773,1.9331,2.1375,2.2334,2.0188,2.0603,1.7402,2.0,La Carlota
13,Capacity to Generate Local Resource,1.7862,1.9991,1.9550,1.5351,1.2961,0.1156,0.1363,0.1636,0.046,La Carlota
14,Capacity of Health Services,0.0930,0.0946,0.1764,0.1180,0.3373,0.0948,0.0347,0.0323,0.1047,La Carlota
15,Capacity of School Services,1.1920,0.0000,1.8694,1.1979,0.7929,0.0707,0.1507,0.0330,0.1778,La Carlota
16,Recognition of Performance,1.1905,0.0388,0.8466,1.1979,0.0000,0.1265,0.0675,0.0368,0.0,La Carlota
17,Getting Business Permits,-,-,1.8572,1.2558,1.0119,1.2284,1.0417,1.9862,1.5,La Carlota
18,Peace and Order,0.6989,0.5137,1.1414,0.6734,0.1639,0.0311,0.0832,0.0248,0.0002,La Carlota
19,Social Protection,-,-,0.1770,0.2893,1.4702,0.2565,0.2297,0.2180,0.0,La Carlota
20,Road Network,0.1066,0.0009,0.2584,0.0051,0.1924,0.0729,0.0334,0.0477,0.0021,La Carlota
21,Distance to Ports,2.4013,2.5881,2.8870,2.0593,2.0303,1.9860,2.0276,2.0513,1.7403,La Carlota
22,Availability of Basic Utilities,2.8944,2.0740,3.3333,2.5000,2.5000,2.4828,2.4786,2.4810,1.0031,La Carlota
23,Transportation Vehicles,0.1250,0.3677,0.2215,0.1088,0.0902,0.0696,0.0514,0.0346,0.0447,La Carlota
24,Education,0.0000,0.0000,0.2260,0.0918,0.1634,0.2044,0.0711,0.1009,0.0908,La Carlota
25,Health,0.0086,0.0168,0.2659,0.2707,0.4727,0.1292,0.1488,0.1430,0.0841,La Carlota
26,LGU Investment,0.8117,0.0000,0.4282,0.5748,0.3315,0.2478,0.1234,0.0243,0.0011,La Carlota
27,Accommodation Capacity,0.0107,0.0000,0.2266,0.1676,0.2946,0.1741,0.3137,0.2170,0.1159,La Carlota
28,Information Technology Capacity,0.0952,0.5556,0.8123,0.3318,0.4958,0.2957,0.4307,0.8333,0.0652,La Carlota
29,Financial Technology Capacity,0.0108,0.0575,0.1198,0.1013,0.1005,0.1245,0.1442,0.0782,0.034,La Carlota
30,Land Use Plan,-,-,-,2.5000,2.5000,2.4993,2.5000,2.4800,1.9762,La Carlota
31,Disaster Risk Reduction Plan,-,-,-,2.5000,2.5000,2.4405,2.5000,2.5000,1.9444,La Carlota
32,Annual Disaster Drill,-,-,-,2.5000,2.5000,2.2917,2.5000,1.2770,1.0194,La Carlota
33,Early Warning System,-,-,-,2.5000,2.5000,2.5000,2.5000,1.2545,1.02,La Carlota
34,Budget for DRRMP,-,-,-,0.0694,0.2734,0.2621,0.1505,0.1476,0.0755,La Carlota
35,Local Risk Assessments,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0,La Carlota
36,Emergency Infrastructure,-,-,-,0.8954,0.8633,0.3427,0.5407,0.3097,0.3908,La Carlota
37,Utilities,-,-,-,0.9782,1.5218,1.8889,1.9169,1.2579,1.5032,La Carlota
38,Employed Population,-,-,-,0.3255,0.0070,0.0068,0.0016,0.0008,0.0044,La Carlota
39,Sanitary System,-,-,-,1.5337,1.6232,2.0384,2.0227,1.9118,1.5185,La Carlota
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.078,La Carlota
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,La Carlota
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,La Carlota
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0028,La Carlota
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,La Carlota
45,Internet Capability,-,-,-,-,-,-,-,-,1.0125,La Carlota
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.3462,La Carlota
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,La Carlota
48,ICT Plan,-,-,-,-,-,-,-,-,2.0001,La Carlota
49,New Technology,-,-,-,-,-,-,-,-,0.0,La Carlota
