,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.1323,0.0253,0.0052,0.0083,0.0273,0.0719,0.0195,0.0052,Lobo
1,Local Economy Growth,-,0.1783,0.0030,0.0073,0.0008,0.0034,1.0285,0.0004,0.0013,Lobo
2,Active Establishments in the Locality,-,-,-,0.5747,0.0035,0.5626,0.6272,0.4164,0.3491,Lobo
3,Safety Compliant Business,-,-,-,0.2407,0.1578,0.2689,0.3669,0.3328,0.2807,Lobo
4,Employment Generation,-,2.0578,0.0000,0.5575,0.0000,0.4478,0.3718,0.3205,0.3805,Lobo
5,Cost of Living,-,2.9915,3.2500,1.8103,1.2963,1.7500,0.9896,1.4688,1.9993,Lobo
6,Cost of Doing Business,-,0.9147,3.2990,1.9503,2.0585,2.0395,2.2594,2.3198,1.9101,Lobo
7,Financial Deepening,-,0.2119,0.1543,0.0529,0.0545,0.1442,0.3713,0.3249,0.2326,Lobo
8,Productivity,-,0.0000,0.0000,0.0023,0.0000,0.3201,0.2804,0.2380,0.1941,Lobo
9,Presence of Business and Professional Organizations,-,0.0000,4.1667,0.3659,0.0372,0.0340,0.0759,0.0244,0.0307,Lobo
10,Compliance to National Directives,-,3.3333,2.0657,2.2697,0.0000,2.4994,2.4643,2.3929,1.8462,Lobo
11,Presence of Investment Promotion Unit,-,0.0000,0.0000,1.8750,0.0000,2.5000,2.5000,1.8750,0.6667,Lobo
12,Compliance to ARTA Citizens Charter,-,2.4924,1.6698,2.1759,0.0000,2.2032,2.4755,1.9542,2.0,Lobo
13,Capacity to Generate Local Resource,-,0.9632,1.5475,1.1626,0.0000,0.1325,0.3522,0.0324,0.2074,Lobo
14,Capacity of Health Services,-,0.0070,0.0564,0.1264,0.0000,0.0747,0.0762,0.0883,0.0681,Lobo
15,Capacity of School Services,-,0.1868,0.3403,0.1770,0.0000,0.5164,0.1061,0.0833,0.0125,Lobo
16,Recognition of Performance,-,0.0000,0.0877,0.1770,0.0000,0.0245,0.0638,0.2567,0.0,Lobo
17,Getting Business Permits,-,-,0.0000,1.4663,0.0000,1.6057,1.5673,1.5527,1.5,Lobo
18,Peace and Order,-,0.1362,0.0920,0.1312,0.0000,0.2880,0.3954,0.1293,0.0002,Lobo
19,Social Protection,-,-,0.0741,0.6361,0.0000,1.2046,1.4172,0.1373,0.92,Lobo
20,Road Network,-,0.0002,0.0023,0.0051,0.0000,0.1084,0.0008,0.0932,0.0005,Lobo
21,Distance to Ports,-,0.0000,2.8758,2.3809,0.0000,2.2551,2.1050,2.1066,1.9969,Lobo
22,Availability of Basic Utilities,-,0.0000,3.3333,2.5000,0.0000,2.3000,2.0169,2.2678,0.4209,Lobo
23,Transportation Vehicles,-,0.2931,0.0681,0.1141,0.0000,0.0128,0.0242,0.0588,0.0052,Lobo
24,Education,-,0.5415,0.3839,0.2884,0.0000,0.1307,0.0808,0.1220,0.1004,Lobo
25,Health,-,0.1510,0.3670,0.2660,0.0000,0.1759,0.1859,0.0961,0.1289,Lobo
26,LGU Investment,-,0.0000,0.7907,0.3329,0.0000,0.1977,0.0815,0.1683,0.0002,Lobo
27,Accommodation Capacity,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,0.0062,0.0396,Lobo
28,Information Technology Capacity,-,0.8932,1.2275,0.7440,0.0000,0.2360,0.5880,0.3261,0.5652,Lobo
29,Financial Technology Capacity,-,0.2778,0.3333,0.5000,0.0000,0.3125,0.3750,0.2083,0.222,Lobo
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4744,2.4744,2.4571,1.8649,Lobo
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.4537,2.4706,1.999,Lobo
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.4107,2.5000,0.0000,1.002,Lobo
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2600,1.0079,Lobo
34,Budget for DRRMP,-,-,-,0.0021,0.0000,0.2528,0.0659,0.0022,0.0,Lobo
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Lobo
36,Emergency Infrastructure,-,-,-,0.8906,0.0000,0.4863,0.4824,0.2821,0.4084,Lobo
37,Utilities,-,-,-,0.9996,0.0000,1.8760,1.8686,1.2632,1.5005,Lobo
38,Employed Population,-,-,-,0.5391,0.0000,0.0183,0.0612,0.0567,0.009,Lobo
39,Sanitary System,-,-,-,1.0833,0.0000,1.9538,1.9619,1.8751,1.5,Lobo
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Lobo
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0009,Lobo
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Lobo
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0086,Lobo
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Lobo
45,Internet Capability,-,-,-,-,-,-,-,-,1.2826,Lobo
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0034,Lobo
47,Online Payment Facilities,-,-,-,-,-,-,-,-,2.0,Lobo
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Lobo
49,New Technology,-,-,-,-,-,-,-,-,0.0,Lobo
