,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,-,-,0.0001,0.0001,0.0000,0.0051,0.0226,Magsaysay (PN)
1,Local Economy Growth,-,-,-,-,0.0013,0.0010,0.0000,0.0587,0.0,Magsaysay (PN)
2,Active Establishments in the Locality,-,-,-,-,0.0051,0.2515,0.0000,1.6753,0.3665,Magsaysay (PN)
3,Safety Compliant Business,-,-,-,-,0.0109,0.0212,0.0000,0.2216,0.0954,Magsaysay (PN)
4,Employment Generation,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0418,Magsaysay (PN)
5,Cost of Living,-,-,-,-,1.9907,1.5000,0.4098,1.6250,1.9474,Magsaysay (PN)
6,Cost of Doing Business,-,-,-,-,0.1810,0.2533,2.4168,1.9214,1.6327,Magsaysay (PN)
7,Financial Deepening,-,-,-,-,0.0000,0.0015,0.0174,0.0000,0.0093,Magsaysay (PN)
8,Productivity,-,-,-,-,0.0000,0.0001,0.0000,0.0020,0.0188,Magsaysay (PN)
9,Presence of Business and Professional Organizations,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0,Magsaysay (PN)
10,Compliance to National Directives,-,-,-,-,0.0000,1.2457,2.2569,2.4405,1.9091,Magsaysay (PN)
11,Presence of Investment Promotion Unit,-,-,-,-,0.0000,0.0000,0.0000,0.0000,1.9978,Magsaysay (PN)
12,Compliance to ARTA Citizens Charter,-,-,-,-,0.0000,2.2841,2.3749,1.6251,2.0,Magsaysay (PN)
13,Capacity to Generate Local Resource,-,-,-,-,0.0000,0.0000,0.0000,0.0017,0.0029,Magsaysay (PN)
14,Capacity of Health Services,-,-,-,-,0.0000,0.0371,0.1503,0.0655,0.0002,Magsaysay (PN)
15,Capacity of School Services,-,-,-,-,0.0000,0.1162,0.0789,0.0293,0.02,Magsaysay (PN)
16,Recognition of Performance,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0,Magsaysay (PN)
17,Getting Business Permits,-,-,-,-,0.0000,2.0896,2.0625,1.2132,0.0,Magsaysay (PN)
18,Peace and Order,-,-,-,-,0.0000,0.2074,0.5921,0.2292,0.0854,Magsaysay (PN)
19,Social Protection,-,-,-,-,0.0000,0.0000,0.0000,0.4425,0.1786,Magsaysay (PN)
20,Road Network,-,-,-,-,0.0000,0.0256,0.0141,0.0216,0.0,Magsaysay (PN)
21,Distance to Ports,-,-,-,-,0.0000,1.6539,2.4854,2.4730,1.9733,Magsaysay (PN)
22,Availability of Basic Utilities,-,-,-,-,0.0000,1.0625,1.0625,1.8931,0.3734,Magsaysay (PN)
23,Transportation Vehicles,-,-,-,-,0.0000,0.0000,0.0000,0.0150,0.0171,Magsaysay (PN)
24,Education,-,-,-,-,0.0000,0.0230,0.1021,0.1452,0.0888,Magsaysay (PN)
25,Health,-,-,-,-,0.0000,0.0000,0.0000,0.0091,0.0118,Magsaysay (PN)
26,LGU Investment,-,-,-,-,0.0000,0.0320,0.0000,0.2562,0.002,Magsaysay (PN)
27,Accommodation Capacity,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0,Magsaysay (PN)
28,Information Technology Capacity,-,-,-,-,0.0000,0.2000,0.4167,0.5357,0.5,Magsaysay (PN)
29,Financial Technology Capacity,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0,Magsaysay (PN)
30,Land Use Plan,-,-,-,-,0.0000,0.3974,0.3919,2.5000,1.9861,Magsaysay (PN)
31,Disaster Risk Reduction Plan,-,-,-,-,0.0000,0.3241,0.2500,2.4762,1.9998,Magsaysay (PN)
32,Annual Disaster Drill,-,-,-,-,0.0000,1.0714,0.0000,1.2675,1.1064,Magsaysay (PN)
33,Early Warning System,-,-,-,-,0.0000,0.0000,0.0000,0.0000,1.1515,Magsaysay (PN)
34,Budget for DRRMP,-,-,-,-,0.0000,0.0708,0.0000,0.0036,0.0018,Magsaysay (PN)
35,Local Risk Assessments,-,-,-,-,0.0000,0.0000,0.0000,2.5000,2.0,Magsaysay (PN)
36,Emergency Infrastructure,-,-,-,-,0.0000,0.0374,0.1166,0.2676,0.3942,Magsaysay (PN)
37,Utilities,-,-,-,-,0.0000,0.9420,1.2931,1.2910,1.4957,Magsaysay (PN)
38,Employed Population,-,-,-,-,0.0000,0.0000,0.0000,0.0655,0.0242,Magsaysay (PN)
39,Sanitary System,-,-,-,-,0.0000,0.5000,1.0000,1.2500,1.0,Magsaysay (PN)
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Magsaysay (PN)
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Magsaysay (PN)
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Magsaysay (PN)
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Magsaysay (PN)
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,Magsaysay (PN)
45,Internet Capability,-,-,-,-,-,-,-,-,0.08,Magsaysay (PN)
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Magsaysay (PN)
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Magsaysay (PN)
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Magsaysay (PN)
49,New Technology,-,-,-,-,-,-,-,-,0.2857,Magsaysay (PN)
