,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.1017,0.0470,0.0048,0.0056,0.0008,0.0037,0.0124,0.0053,Malalag
1,Local Economy Growth,-,0.2578,0.0476,0.0088,0.0106,0.0017,0.3360,0.0033,0.0,Malalag
2,Active Establishments in the Locality,-,-,-,0.0121,0.2130,0.0265,0.1620,0.2386,0.2137,Malalag
3,Safety Compliant Business,-,-,-,0.0017,0.1022,0.1772,0.1206,0.1231,0.0,Malalag
4,Employment Generation,-,0.0062,0.0604,0.0060,0.0086,0.0197,0.0207,0.0725,0.0527,Malalag
5,Cost of Living,-,3.2461,1.9167,1.3514,1.3889,1.4683,0.8190,2.1875,1.8029,Malalag
6,Cost of Doing Business,-,3.0969,3.2110,2.0033,1.9647,1.7798,1.9623,1.9051,1.6644,Malalag
7,Financial Deepening,-,0.3683,0.4076,0.1641,0.0552,0.1828,0.1625,0.1060,0.1308,Malalag
8,Productivity,-,0.0008,0.0005,0.0601,0.0085,0.0004,0.0209,0.0534,0.0308,Malalag
9,Presence of Business and Professional Organizations,-,0.0383,0.0247,0.0451,0.0856,0.0603,0.1365,0.0948,0.0061,Malalag
10,Compliance to National Directives,-,3.3333,3.0994,2.3397,0.0000,2.3500,2.3864,2.4405,1.9286,Malalag
11,Presence of Investment Promotion Unit,-,1.6667,3.3333,0.0000,0.0000,2.5000,2.5000,2.5000,1.9744,Malalag
12,Compliance to ARTA Citizens Charter,-,2.8934,1.4875,2.2195,0.0000,2.4049,2.4820,1.9638,2.0,Malalag
13,Capacity to Generate Local Resource,-,0.0451,0.0000,0.0140,0.0000,0.0158,0.0335,0.0114,0.0017,Malalag
14,Capacity of Health Services,-,0.1721,0.0892,0.0562,0.0000,0.1095,0.1010,0.0492,0.0017,Malalag
15,Capacity of School Services,-,0.8744,0.5882,0.2236,0.0000,0.0010,0.0008,0.0265,0.0018,Malalag
16,Recognition of Performance,-,0.0000,0.0000,0.2236,0.0000,0.0974,0.0023,0.0000,0.0959,Malalag
17,Getting Business Permits,-,-,0.0000,1.3451,0.0000,2.4648,2.4079,2.1405,1.5,Malalag
18,Peace and Order,-,0.0877,0.0773,0.5449,0.0000,0.0922,0.0168,0.0378,0.0003,Malalag
19,Social Protection,-,-,0.3036,0.2423,0.0000,0.1821,0.3220,0.2496,0.0013,Malalag
20,Road Network,-,0.0006,0.0014,0.3316,0.0000,0.0240,0.0028,0.0424,0.0005,Malalag
21,Distance to Ports,-,2.9263,2.9667,2.2356,0.0000,2.4944,2.4948,2.3433,1.8764,Malalag
22,Availability of Basic Utilities,-,3.3333,3.3333,2.5000,0.0000,2.4498,2.4500,2.2884,0.0781,Malalag
23,Transportation Vehicles,-,0.0142,0.0032,0.0128,0.0000,0.0178,0.0096,0.0044,0.0035,Malalag
24,Education,-,0.0841,0.0228,0.0501,0.0000,0.0310,0.0316,0.4190,0.0163,Malalag
25,Health,-,0.1818,0.2916,0.2445,0.0000,0.1313,0.1997,0.1736,0.0754,Malalag
26,LGU Investment,-,0.5976,0.0000,0.1596,0.0000,0.3009,0.0289,0.0049,0.0005,Malalag
27,Accommodation Capacity,-,0.0871,0.0000,0.0336,0.0000,0.0366,0.0347,0.0000,0.0,Malalag
28,Information Technology Capacity,-,0.3670,0.3333,0.0725,0.0000,0.4108,0.4828,0.2273,0.1145,Malalag
29,Financial Technology Capacity,-,0.0000,0.0000,0.0266,0.0000,0.0240,0.0240,0.0436,0.0172,Malalag
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4744,2.4744,2.4773,1.7273,Malalag
31,Disaster Risk Reduction Plan,-,-,-,1.5000,0.0000,2.4074,2.5000,2.4737,1.9998,Malalag
32,Annual Disaster Drill,-,-,-,0.0000,0.0000,2.2500,2.5000,1.2583,1.006,Malalag
33,Early Warning System,-,-,-,0.0000,0.0000,2.5000,2.5000,1.2866,1.0012,Malalag
34,Budget for DRRMP,-,-,-,0.0017,0.0000,0.1208,0.0421,0.0200,0.0,Malalag
35,Local Risk Assessments,-,-,-,1.2500,0.0000,2.5000,2.5000,2.5000,2.0,Malalag
36,Emergency Infrastructure,-,-,-,0.8463,0.0000,0.5582,0.5462,0.2370,0.3588,Malalag
37,Utilities,-,-,-,0.6944,0.0000,1.8784,1.8785,1.2638,1.5076,Malalag
38,Employed Population,-,-,-,0.0786,0.0000,0.0636,0.0612,0.0569,0.0499,Malalag
39,Sanitary System,-,-,-,1.3600,0.0000,1.9999,2.0006,1.8752,1.5002,Malalag
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Malalag
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Malalag
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Malalag
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.004,Malalag
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Malalag
45,Internet Capability,-,-,-,-,-,-,-,-,1.0619,Malalag
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0194,Malalag
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Malalag
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Malalag
49,New Technology,-,-,-,-,-,-,-,-,0.0,Malalag
