,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.1696,0.0842,0.0657,0.0020,0.0056,0.0011,0.0018,0.0061,0.0068,Malapatan
1,Local Economy Growth,0.3276,0.2670,0.0856,0.0024,0.0451,0.0008,0.3306,0.0030,0.0001,Malapatan
2,Active Establishments in the Locality,-,-,-,0.1116,0.1703,0.0962,0.1514,0.3313,0.2857,Malapatan
3,Safety Compliant Business,-,-,-,0.0459,0.0531,0.0429,0.0508,0.0902,0.0,Malapatan
4,Employment Generation,0.1633,0.1117,0.0874,0.0525,0.0335,0.0595,0.0628,0.1092,0.0929,Malapatan
5,Cost of Living,3.2567,1.6473,2.3333,1.6892,2.3148,1.3492,0.3017,1.1563,1.726,Malapatan
6,Cost of Doing Business,0.3794,3.6218,3.4782,2.2403,2.2217,2.1378,2.2819,2.3252,1.904,Malapatan
7,Financial Deepening,0.2561,0.1842,0.2944,0.1894,0.0295,0.1290,0.1348,0.1182,0.1102,Malapatan
8,Productivity,0.0171,0.0017,0.0011,0.0054,0.0022,0.0002,0.0342,0.0315,0.0331,Malapatan
9,Presence of Business and Professional Organizations,0.0108,0.0048,0.0494,0.0774,0.1461,0.0404,0.1140,0.2249,0.0424,Malapatan
10,Compliance to National Directives,0.0000,3.3333,2.2222,1.8269,0.0000,2.4500,2.4621,2.3810,1.9643,Malapatan
11,Presence of Investment Promotion Unit,0.0000,0.8333,2.5000,1.8750,0.0000,1.8750,1.8750,1.8750,1.9744,Malapatan
12,Compliance to ARTA Citizens Charter,-,2.5964,1.8084,1.9252,0.0000,2.2964,2.4241,2.1644,2.0,Malapatan
13,Capacity to Generate Local Resource,0.0331,0.7173,1.3948,0.5968,0.0000,0.0201,0.1885,0.0156,0.0045,Malapatan
14,Capacity of Health Services,0.2561,0.1343,0.1552,0.0977,0.0000,0.0723,0.0742,0.1440,0.0016,Malapatan
15,Capacity of School Services,1.6667,0.3442,0.2319,0.1129,0.0000,0.2349,0.1012,0.0236,0.0162,Malapatan
16,Recognition of Performance,0.2381,0.3968,0.0000,0.1129,0.0000,0.0000,0.0253,0.0000,0.1436,Malapatan
17,Getting Business Permits,-,-,0.0000,2.1089,0.0000,2.4510,2.4817,2.1369,1.5,Malapatan
18,Peace and Order,0.4157,0.0412,0.0429,0.3514,0.0000,0.0479,0.0587,0.0673,0.0002,Malapatan
19,Social Protection,-,-,0.5885,0.4902,0.0000,0.5296,0.4495,0.3129,0.001,Malapatan
20,Road Network,0.0030,0.0008,0.0008,0.0003,0.0000,0.0740,0.0022,0.1428,0.0002,Malapatan
21,Distance to Ports,3.1065,3.0826,3.0723,2.3175,0.0000,2.3935,2.4294,2.4186,1.9383,Malapatan
22,Availability of Basic Utilities,1.4242,3.3333,3.3333,2.5000,0.0000,2.2152,2.2188,2.1712,0.0918,Malapatan
23,Transportation Vehicles,0.0000,0.0000,0.0111,0.0137,0.0000,0.0113,0.0117,0.0161,0.0224,Malapatan
24,Education,0.1847,0.2140,0.0718,0.0677,0.0000,0.1170,0.1421,0.0624,0.0283,Malapatan
25,Health,0.0060,0.0681,0.2032,0.1149,0.0000,0.0466,0.0879,0.0848,0.0672,Malapatan
26,LGU Investment,0.9028,0.6422,0.6256,0.5309,0.0000,0.3294,0.1945,0.0258,0.001,Malapatan
27,Accommodation Capacity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Malapatan
28,Information Technology Capacity,0.5329,0.5505,0.4783,0.3336,0.0000,0.4451,0.6068,0.7727,0.1057,Malapatan
29,Financial Technology Capacity,0.0228,0.0397,0.0362,0.0266,0.0000,0.0240,0.0240,0.0240,0.0086,Malapatan
30,Land Use Plan,-,-,-,2.5000,0.0000,2.1282,2.1282,2.4773,1.9697,Malapatan
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.4537,2.4737,1.9995,Malapatan
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.2500,2.5000,1.3333,1.064,Malapatan
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2829,1.0298,Malapatan
34,Budget for DRRMP,-,-,-,0.0022,0.0000,0.2256,0.1617,0.0230,0.0,Malapatan
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Malapatan
36,Emergency Infrastructure,-,-,-,0.9322,0.0000,0.6656,0.6987,0.4331,0.5187,Malapatan
37,Utilities,-,-,-,0.9951,0.0000,1.8804,1.8796,1.2758,1.5088,Malapatan
38,Employed Population,-,-,-,0.2038,0.0000,0.1761,0.3769,0.4340,0.3395,Malapatan
39,Sanitary System,-,-,-,1.5799,0.0000,1.9921,1.9916,1.8755,1.5005,Malapatan
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0002,Malapatan
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0149,Malapatan
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Malapatan
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0012,Malapatan
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Malapatan
45,Internet Capability,-,-,-,-,-,-,-,-,0.0571,Malapatan
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0135,Malapatan
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Malapatan
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,Malapatan
49,New Technology,-,-,-,-,-,-,-,-,0.0,Malapatan
