,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.1352,0.1289,0.0036,0.0240,0.0637,0.1124,0.1421,0.0099,Malinao (AY)
1,Local Economy Growth,-,0.1410,0.1605,0.0020,0.0024,0.0016,1.0554,0.0095,0.0,Malinao (AY)
2,Active Establishments in the Locality,-,-,-,0.1266,0.0016,0.1118,0.1294,0.4312,0.2301,Malinao (AY)
3,Safety Compliant Business,-,-,-,0.1013,0.0422,0.1416,0.1317,0.0000,0.1189,Malinao (AY)
4,Employment Generation,-,0.0000,0.0804,0.0861,0.0259,0.0829,0.1076,0.0914,0.2226,Malinao (AY)
5,Cost of Living,-,3.4722,3.5000,1.6810,0.6481,1.0000,1.2500,0.3125,1.9992,Malinao (AY)
6,Cost of Doing Business,-,0.3701,1.9946,1.4572,1.7328,1.7063,1.8901,1.4820,1.8919,Malinao (AY)
7,Financial Deepening,-,0.1412,0.1543,0.0397,0.0252,0.1101,0.1831,0.1208,0.0534,Malinao (AY)
8,Productivity,-,0.0000,0.1256,0.0116,0.1136,0.0924,0.1325,0.1379,0.0777,Malinao (AY)
9,Presence of Business and Professional Organizations,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,Malinao (AY)
10,Compliance to National Directives,-,3.3333,3.2323,2.3684,0.0000,2.4988,2.4286,2.4643,1.9615,Malinao (AY)
11,Presence of Investment Promotion Unit,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5000,1.9997,Malinao (AY)
12,Compliance to ARTA Citizens Charter,-,2.5803,1.5707,1.8730,0.0000,2.1903,2.1629,1.9513,2.0,Malinao (AY)
13,Capacity to Generate Local Resource,-,1.8457,0.0673,0.0946,0.0000,0.1157,0.3067,0.0573,0.2081,Malinao (AY)
14,Capacity of Health Services,-,0.1355,0.1415,0.1191,0.0000,0.0458,0.0274,0.0368,0.0619,Malinao (AY)
15,Capacity of School Services,-,0.1831,0.2395,0.0865,0.0000,0.3444,0.0428,0.0405,0.0077,Malinao (AY)
16,Recognition of Performance,-,0.0000,0.2381,0.0865,0.0000,0.0694,0.0013,0.0658,0.0,Malinao (AY)
17,Getting Business Permits,-,-,0.0000,1.3471,0.0000,1.6006,1.6512,2.1738,2.0,Malinao (AY)
18,Peace and Order,-,0.1677,0.1167,0.1660,0.0000,0.4263,0.4974,0.2771,0.0002,Malinao (AY)
19,Social Protection,-,-,0.0345,0.5244,0.0000,0.9208,0.8031,0.0000,0.0,Malinao (AY)
20,Road Network,-,0.0000,0.0016,0.0000,0.0000,0.0588,0.0004,0.0497,0.0005,Malinao (AY)
21,Distance to Ports,-,3.1848,3.2271,2.4642,0.0000,2.4449,2.4202,2.4213,1.9925,Malinao (AY)
22,Availability of Basic Utilities,-,1.1088,2.7778,2.5000,0.0000,2.2500,1.6250,1.8000,0.3536,Malinao (AY)
23,Transportation Vehicles,-,0.4185,0.2139,0.1669,0.0000,0.0187,0.0461,0.0528,0.0093,Malinao (AY)
24,Education,-,0.1332,0.1529,0.1392,0.0000,0.0100,0.3125,0.0244,0.0455,Malinao (AY)
25,Health,-,0.3998,0.3720,0.1958,0.0000,0.2214,0.1410,0.1143,0.0188,Malinao (AY)
26,LGU Investment,-,0.0000,0.0039,0.0819,0.0000,0.0848,0.0514,0.1207,0.0002,Malinao (AY)
27,Accommodation Capacity,-,0.0000,0.0000,0.0000,0.0000,0.0040,0.0061,0.0000,0.0,Malinao (AY)
28,Information Technology Capacity,-,0.0000,1.3651,0.7440,0.0000,0.3291,0.5046,0.3261,0.2174,Malinao (AY)
29,Financial Technology Capacity,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Malinao (AY)
30,Land Use Plan,-,-,-,2.5000,0.0000,2.3718,2.3718,2.3429,1.9595,Malinao (AY)
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4074,2.4074,2.4559,1.9998,Malinao (AY)
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.3214,2.5000,1.2582,1.002,Malinao (AY)
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2699,1.0059,Malinao (AY)
34,Budget for DRRMP,-,-,-,0.0023,0.0000,0.1511,0.0530,0.0026,0.0,Malinao (AY)
35,Local Risk Assessments,-,-,-,1.2500,0.0000,2.5000,2.5000,2.5000,2.0,Malinao (AY)
