,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,-,-,-,-,-,0.0000,0.0,Marogong
1,Local Economy Growth,-,-,-,-,-,-,-,0.0000,0.0004,Marogong
2,Active Establishments in the Locality,-,-,-,-,-,-,-,0.0000,0.0077,Marogong
3,Safety Compliant Business,-,-,-,-,-,-,-,0.0000,0.0086,Marogong
4,Employment Generation,-,-,-,-,-,-,-,0.0000,0.0,Marogong
5,Cost of Living,-,-,-,-,-,-,-,1.6250,1.9993,Marogong
6,Cost of Doing Business,-,-,-,-,-,-,-,0.8791,1.8954,Marogong
7,Financial Deepening,-,-,-,-,-,-,-,0.0000,0.0,Marogong
8,Productivity,-,-,-,-,-,-,-,0.0000,0.0,Marogong
9,Presence of Business and Professional Organizations,-,-,-,-,-,-,-,0.0000,0.0,Marogong
10,Compliance to National Directives,-,-,-,-,-,-,-,1.2500,1.8846,Marogong
11,Presence of Investment Promotion Unit,-,-,-,-,-,-,-,0.6250,1.9991,Marogong
12,Compliance to ARTA Citizens Charter,-,-,-,-,-,-,-,0.0000,2.0,Marogong
13,Capacity to Generate Local Resource,-,-,-,-,-,-,-,0.0000,0.0015,Marogong
14,Capacity of Health Services,-,-,-,-,-,-,-,0.0046,0.0165,Marogong
15,Capacity of School Services,-,-,-,-,-,-,-,0.0000,0.0038,Marogong
16,Recognition of Performance,-,-,-,-,-,-,-,0.0000,0.0,Marogong
17,Getting Business Permits,-,-,-,-,-,-,-,0.0000,1.0,Marogong
18,Peace and Order,-,-,-,-,-,-,-,0.0739,0.0002,Marogong
19,Social Protection,-,-,-,-,-,-,-,0.0000,0.1409,Marogong
20,Road Network,-,-,-,-,-,-,-,0.1792,0.0,Marogong
21,Distance to Ports,-,-,-,-,-,-,-,0.0000,0.6587,Marogong
22,Availability of Basic Utilities,-,-,-,-,-,-,-,0.0000,0.3623,Marogong
23,Transportation Vehicles,-,-,-,-,-,-,-,0.0000,0.0003,Marogong
24,Education,-,-,-,-,-,-,-,0.0000,0.0123,Marogong
25,Health,-,-,-,-,-,-,-,0.0037,0.0041,Marogong
26,LGU Investment,-,-,-,-,-,-,-,0.0000,0.0,Marogong
27,Accommodation Capacity,-,-,-,-,-,-,-,0.0000,0.0,Marogong
28,Information Technology Capacity,-,-,-,-,-,-,-,0.0000,0.0,Marogong
29,Financial Technology Capacity,-,-,-,-,-,-,-,0.0000,0.0,Marogong
30,Land Use Plan,-,-,-,-,-,-,-,0.0000,0.9595,Marogong
31,Disaster Risk Reduction Plan,-,-,-,-,-,-,-,2.0000,1.9993,Marogong
32,Annual Disaster Drill,-,-,-,-,-,-,-,1.2500,1.002,Marogong
33,Early Warning System,-,-,-,-,-,-,-,0.0000,0.0,Marogong
34,Budget for DRRMP,-,-,-,-,-,-,-,0.0000,0.0,Marogong
35,Local Risk Assessments,-,-,-,-,-,-,-,2.5000,2.0,Marogong
36,Emergency Infrastructure,-,-,-,-,-,-,-,0.0077,0.3393,Marogong
37,Utilities,-,-,-,-,-,-,-,0.5000,1.2483,Marogong
38,Employed Population,-,-,-,-,-,-,-,0.0000,0.0014,Marogong
39,Sanitary System,-,-,-,-,-,-,-,1.8750,1.0,Marogong
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Marogong
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Marogong
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Marogong
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Marogong
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Marogong
45,Internet Capability,-,-,-,-,-,-,-,-,0.0,Marogong
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0015,Marogong
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Marogong
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,Marogong
49,New Technology,-,-,-,-,-,-,-,-,0.0,Marogong
