,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.1770,0.1115,0.1321,0.0234,0.0000,0.0146,0.0173,0.0336,0.014,Molave
1,Local Economy Growth,0.5675,0.2962,0.0814,0.0018,0.0000,0.0050,0.3305,0.0031,0.0,Molave
2,Active Establishments in the Locality,-,-,-,0.0227,0.0000,0.1319,0.1863,0.2295,0.0,Molave
3,Safety Compliant Business,-,-,-,0.2391,0.0000,0.0843,0.0968,0.1036,0.0,Molave
4,Employment Generation,0.2690,0.1518,0.0000,0.0882,0.0000,0.1137,0.1007,0.1351,0.0969,Molave
5,Cost of Living,2.5383,2.8101,1.0833,1.5541,1.6667,0.5159,1.6810,2.3438,1.7644,Molave
6,Cost of Doing Business,2.2900,2.4887,3.5023,2.2129,1.8360,2.0197,2.2144,2.2562,1.8173,Molave
7,Financial Deepening,1.0242,2.3250,1.1096,1.8308,0.2651,0.4526,0.4205,0.3780,0.4791,Molave
8,Productivity,0.0024,0.0039,0.0000,0.0204,0.0000,0.0013,0.0792,0.1259,0.0784,Molave
9,Presence of Business and Professional Organizations,0.0065,0.0239,0.0031,0.0064,0.0034,0.0021,0.0009,0.0044,0.0006,Molave
10,Compliance to National Directives,3.3333,3.3333,2.9532,0.0000,0.0000,2.4000,2.4242,2.2619,1.8214,Molave
11,Presence of Investment Promotion Unit,3.3333,3.3333,3.3333,1.8750,0.0000,2.5000,2.5000,2.5000,1.9488,Molave
12,Compliance to ARTA Citizens Charter,-,2.7334,1.8086,2.2507,0.0000,2.4522,2.4130,1.7632,1.0,Molave
13,Capacity to Generate Local Resource,1.7445,0.5253,0.5845,0.4403,0.0000,0.1855,0.1800,0.0180,0.0064,Molave
14,Capacity of Health Services,0.1125,0.1050,0.3252,0.2235,0.0000,0.1101,0.1002,0.1205,0.0024,Molave
15,Capacity of School Services,0.3380,0.5218,0.4795,0.2046,0.0000,0.2672,0.1455,0.0596,0.0438,Molave
16,Recognition of Performance,1.1905,0.4762,0.6926,0.2046,0.0000,0.1317,0.0307,0.0368,0.0,Molave
17,Getting Business Permits,-,-,0.0000,2.2577,0.0000,2.4626,2.4461,2.1193,1.5,Molave
18,Peace and Order,0.6071,0.0736,0.0625,0.4510,0.0000,0.0335,0.0311,0.0602,0.0001,Molave
19,Social Protection,-,-,0.2530,0.2034,0.0000,0.2105,0.2131,0.0816,0.0,Molave
20,Road Network,0.0000,0.0008,0.0009,0.0007,0.0000,0.0297,0.0002,0.0493,0.0004,Molave
21,Distance to Ports,3.1007,3.0993,3.0488,2.3041,0.0000,2.4300,2.3922,2.4409,1.8535,Molave
22,Availability of Basic Utilities,1.6667,2.9167,3.3333,2.5000,0.0000,2.1489,2.2063,2.1834,0.0831,Molave
23,Transportation Vehicles,0.0071,0.2129,0.1548,0.0935,0.0000,0.0138,0.0153,0.0087,0.0114,Molave
24,Education,0.1608,0.4785,0.0670,0.1313,0.0000,0.1399,0.1307,0.1736,0.0844,Molave
25,Health,0.3644,0.0917,0.1639,0.1869,0.0000,0.0820,0.0855,0.1426,0.0864,Molave
26,LGU Investment,0.6250,0.3716,0.9590,0.5064,0.0000,0.2687,0.1525,0.0182,0.0039,Molave
27,Accommodation Capacity,0.0448,0.1042,0.0000,0.0426,0.0000,0.1085,0.1028,0.0810,0.0,Molave
28,Information Technology Capacity,0.0000,0.2162,1.1449,0.2378,0.0000,0.3155,0.2447,0.1818,0.0352,Molave
29,Financial Technology Capacity,0.1142,0.3042,0.3880,0.3147,0.0000,0.2420,0.2479,0.2479,0.1034,Molave
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4872,2.4872,2.4318,1.9394,Molave
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.5000,2.2895,1.9978,Molave
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,1.2500,2.5000,1.2667,1.008,Molave
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2683,1.0149,Molave
34,Budget for DRRMP,-,-,-,0.0019,0.0000,0.1947,0.1317,0.0178,0.0,Molave
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Molave
36,Emergency Infrastructure,-,-,-,0.9041,0.0000,0.5436,0.5286,0.2941,0.3916,Molave
37,Utilities,-,-,-,0.9763,0.0000,1.2486,1.5801,1.0209,1.2525,Molave
38,Employed Population,-,-,-,0.1558,0.0000,0.0022,0.0021,0.0023,0.0024,Molave
39,Sanitary System,-,-,-,1.8771,0.0000,1.0513,1.0112,1.2516,1.0014,Molave
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Molave
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Molave
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Molave
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0847,Molave
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Molave
45,Internet Capability,-,-,-,-,-,-,-,-,1.0238,Molave
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0117,Molave
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Molave
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,Molave
49,New Technology,-,-,-,-,-,-,-,-,0.0,Molave
