,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.0001,0.0644,0.0000,0.0000,0.0000,0.0000,0.0081,0.0048,0.0007,Monreal
1,Local Economy Growth,0.0070,0.0634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0015,Monreal
2,Active Establishments in the Locality,-,-,-,0.0000,0.0000,0.0000,0.0812,0.1032,0.0,Monreal
3,Safety Compliant Business,-,-,-,0.0000,0.0000,0.0000,0.1520,0.0765,0.0677,Monreal
4,Employment Generation,0.0106,0.0981,0.0000,0.0000,0.0000,0.0000,0.0256,0.1168,0.0962,Monreal
5,Cost of Living,3.3525,3.3654,3.4167,1.2500,0.6481,1.0000,1.6667,1.4375,1.9985,Monreal
6,Cost of Doing Business,2.8395,2.6274,0.9707,0.7657,0.6220,0.6582,1.0756,2.3537,0.8215,Monreal
7,Financial Deepening,0.0698,0.2825,0.3086,0.0529,0.0126,0.6010,0.0442,0.0791,0.0153,Monreal
8,Productivity,0.0000,0.0192,0.0000,0.0000,0.0000,0.0000,0.0296,0.0504,0.0319,Monreal
9,Presence of Business and Professional Organizations,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Monreal
10,Compliance to National Directives,1.3333,1.3333,0.2222,0.0000,0.0000,0.0000,1.2500,0.0000,0.0,Monreal
11,Presence of Investment Promotion Unit,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6250,2.5000,1.332,Monreal
12,Compliance to ARTA Citizens Charter,-,2.5110,1.3894,1.5396,0.0000,1.4868,2.4742,2.1417,2.0,Monreal
13,Capacity to Generate Local Resource,0.0000,1.9537,0.0000,0.0000,0.0000,0.0510,0.0332,0.0250,0.013,Monreal
14,Capacity of Health Services,0.0241,0.1079,0.0609,0.0465,0.0000,0.0230,0.0164,0.0288,0.0173,Monreal
15,Capacity of School Services,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0153,0.0,Monreal
16,Recognition of Performance,0.2381,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Monreal
17,Getting Business Permits,-,-,0.0000,1.3471,0.0000,1.4817,1.5239,1.5531,2.0,Monreal
18,Peace and Order,0.6907,0.1558,0.0964,0.0000,0.0000,0.1498,0.3061,0.0862,0.0001,Monreal
19,Social Protection,-,-,0.0000,0.0000,0.0000,0.5156,0.4497,0.0248,0.0,Monreal
20,Road Network,0.0000,0.0000,0.0008,0.0000,0.0000,0.0702,0.0002,0.0600,0.0,Monreal
21,Distance to Ports,1.1107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5000,0.6664,Monreal
22,Availability of Basic Utilities,1.6667,1.6667,1.6667,0.0000,0.0000,0.0000,0.3750,0.7388,0.16,Monreal
23,Transportation Vehicles,0.0006,0.0155,0.0040,0.0026,0.0000,0.0002,0.0002,0.0012,0.0003,Monreal
24,Education,0.1615,0.3629,0.2732,0.1642,0.0000,0.0577,0.0368,0.0231,0.022,Monreal
25,Health,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0811,0.0244,Monreal
26,LGU Investment,0.0000,0.6382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0623,0.0002,Monreal
27,Accommodation Capacity,0.0863,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Monreal
28,Information Technology Capacity,0.2379,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.1087,0.1304,Monreal
29,Financial Technology Capacity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Monreal
30,Land Use Plan,-,-,-,0.0000,0.0000,0.0000,1.5000,1.5000,0.0,Monreal
31,Disaster Risk Reduction Plan,-,-,-,0.0000,0.0000,0.0000,1.6667,2.0000,0.0,Monreal
32,Annual Disaster Drill,-,-,-,0.0000,0.0000,0.0000,1.2500,0.0000,1.001,Monreal
33,Early Warning System,-,-,-,0.0000,0.0000,0.0000,0.0000,1.2500,1.002,Monreal
34,Budget for DRRMP,-,-,-,0.0000,0.0000,0.0000,0.0077,0.0033,0.0,Monreal
35,Local Risk Assessments,-,-,-,0.0000,0.0000,0.0000,1.2500,1.2500,2.0,Monreal
36,Emergency Infrastructure,-,-,-,0.0000,0.0000,0.0208,0.4398,0.0191,0.3552,Monreal
37,Utilities,-,-,-,0.0000,0.0000,0.0000,1.8684,0.7525,0.25,Monreal
38,Employed Population,-,-,-,0.0000,0.0000,0.0000,0.0151,0.0122,0.0068,Monreal
39,Sanitary System,-,-,-,0.0000,0.0000,0.0000,0.5000,0.6250,1.0,Monreal
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Monreal
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Monreal
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Monreal
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Monreal
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Monreal
45,Internet Capability,-,-,-,-,-,-,-,-,1.0652,Monreal
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Monreal
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Monreal
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Monreal
49,New Technology,-,-,-,-,-,-,-,-,0.0,Monreal
