,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,-,-,-,-,-,0.0000,0.0041,Northern Kabuntalan
1,Local Economy Growth,-,-,-,-,-,-,-,0.0000,0.0,Northern Kabuntalan
2,Active Establishments in the Locality,-,-,-,-,-,-,-,0.0578,0.0405,Northern Kabuntalan
3,Safety Compliant Business,-,-,-,-,-,-,-,0.0000,0.0094,Northern Kabuntalan
4,Employment Generation,-,-,-,-,-,-,-,0.0000,0.0191,Northern Kabuntalan
5,Cost of Living,-,-,-,-,-,-,-,0.9063,1.6316,Northern Kabuntalan
6,Cost of Doing Business,-,-,-,-,-,-,-,2.0082,1.6711,Northern Kabuntalan
7,Financial Deepening,-,-,-,-,-,-,-,0.0000,0.0,Northern Kabuntalan
8,Productivity,-,-,-,-,-,-,-,0.0000,0.004,Northern Kabuntalan
9,Presence of Business and Professional Organizations,-,-,-,-,-,-,-,0.0000,0.0,Northern Kabuntalan
10,Compliance to National Directives,-,-,-,-,-,-,-,2.3810,1.9091,Northern Kabuntalan
11,Presence of Investment Promotion Unit,-,-,-,-,-,-,-,1.2500,1.3334,Northern Kabuntalan
12,Compliance to ARTA Citizens Charter,-,-,-,-,-,-,-,2.3510,2.0,Northern Kabuntalan
13,Capacity to Generate Local Resource,-,-,-,-,-,-,-,0.0127,0.0052,Northern Kabuntalan
14,Capacity of Health Services,-,-,-,-,-,-,-,0.1785,0.0,Northern Kabuntalan
15,Capacity of School Services,-,-,-,-,-,-,-,0.0060,0.016,Northern Kabuntalan
16,Recognition of Performance,-,-,-,-,-,-,-,0.0000,0.0,Northern Kabuntalan
17,Getting Business Permits,-,-,-,-,-,-,-,1.8662,1.0,Northern Kabuntalan
18,Peace and Order,-,-,-,-,-,-,-,0.2708,0.0001,Northern Kabuntalan
19,Social Protection,-,-,-,-,-,-,-,0.0000,0.2138,Northern Kabuntalan
20,Road Network,-,-,-,-,-,-,-,0.0384,0.0,Northern Kabuntalan
21,Distance to Ports,-,-,-,-,-,-,-,0.8333,1.8495,Northern Kabuntalan
22,Availability of Basic Utilities,-,-,-,-,-,-,-,0.0000,0.2666,Northern Kabuntalan
23,Transportation Vehicles,-,-,-,-,-,-,-,0.0036,0.0352,Northern Kabuntalan
24,Education,-,-,-,-,-,-,-,0.0323,0.0244,Northern Kabuntalan
25,Health,-,-,-,-,-,-,-,0.1335,0.1278,Northern Kabuntalan
26,LGU Investment,-,-,-,-,-,-,-,1.4167,0.0019,Northern Kabuntalan
27,Accommodation Capacity,-,-,-,-,-,-,-,0.0000,0.0,Northern Kabuntalan
28,Information Technology Capacity,-,-,-,-,-,-,-,0.3571,0.125,Northern Kabuntalan
29,Financial Technology Capacity,-,-,-,-,-,-,-,0.0000,0.0,Northern Kabuntalan
30,Land Use Plan,-,-,-,-,-,-,-,1.9423,1.9722,Northern Kabuntalan
31,Disaster Risk Reduction Plan,-,-,-,-,-,-,-,2.4762,1.9995,Northern Kabuntalan
32,Annual Disaster Drill,-,-,-,-,-,-,-,1.2675,1.1064,Northern Kabuntalan
33,Early Warning System,-,-,-,-,-,-,-,1.2689,1.0152,Northern Kabuntalan
34,Budget for DRRMP,-,-,-,-,-,-,-,0.0076,0.0016,Northern Kabuntalan
35,Local Risk Assessments,-,-,-,-,-,-,-,2.5000,2.0,Northern Kabuntalan
36,Emergency Infrastructure,-,-,-,-,-,-,-,0.2455,0.3543,Northern Kabuntalan
37,Utilities,-,-,-,-,-,-,-,1.2565,1.5021,Northern Kabuntalan
38,Employed Population,-,-,-,-,-,-,-,0.0000,0.0101,Northern Kabuntalan
39,Sanitary System,-,-,-,-,-,-,-,0.6250,0.5,Northern Kabuntalan
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Northern Kabuntalan
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Northern Kabuntalan
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Northern Kabuntalan
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Northern Kabuntalan
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,Northern Kabuntalan
45,Internet Capability,-,-,-,-,-,-,-,-,0.02,Northern Kabuntalan
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Northern Kabuntalan
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Northern Kabuntalan
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,Northern Kabuntalan
49,New Technology,-,-,-,-,-,-,-,-,0.0,Northern Kabuntalan
