,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.0284,0.0000,0.0000,0.0053,0.0029,0.0035,0.0074,0.0045,Placer (MS)
1,Local Economy Growth,-,0.2523,0.0000,0.0000,0.0000,0.0030,0.3304,0.0024,0.0,Placer (MS)
2,Active Establishments in the Locality,-,-,-,0.0000,0.1092,0.0638,0.1024,0.1498,0.0,Placer (MS)
3,Safety Compliant Business,-,-,-,0.0000,0.0179,0.0690,0.0617,0.0736,0.0,Placer (MS)
4,Employment Generation,-,0.0112,0.0000,0.0000,0.0283,0.0581,0.0794,0.0604,0.0917,Placer (MS)
5,Cost of Living,-,3.0523,3.4167,1.5203,0.6481,0.1190,1.3793,1.4375,1.6971,Placer (MS)
6,Cost of Doing Business,-,0.4681,0.3954,0.3959,1.8904,1.6538,1.8660,1.9419,1.0543,Placer (MS)
7,Financial Deepening,-,0.2762,0.2717,0.1515,0.0350,0.1583,0.1392,0.1013,0.1086,Placer (MS)
8,Productivity,-,0.0055,0.0000,0.0000,0.0021,0.0003,0.0585,0.0465,0.0575,Placer (MS)
9,Presence of Business and Professional Organizations,-,0.0000,0.0000,0.0000,0.0000,0.7477,0.0009,0.0000,0.0,Placer (MS)
10,Compliance to National Directives,-,3.3333,0.0000,0.0000,0.0000,1.1000,1.1364,0.9524,1.6429,Placer (MS)
11,Presence of Investment Promotion Unit,-,0.0000,0.0000,0.0000,0.0000,0.0000,1.2500,1.2500,0.6667,Placer (MS)
12,Compliance to ARTA Citizens Charter,-,0.0000,0.0000,0.0000,0.0000,2.2637,2.4119,1.8865,2.0,Placer (MS)
13,Capacity to Generate Local Resource,-,0.0000,0.0000,0.0000,0.0000,0.0109,0.1130,0.0027,0.0015,Placer (MS)
14,Capacity of Health Services,-,0.0657,0.0170,0.0081,0.0000,0.0258,0.0421,0.0333,0.0007,Placer (MS)
15,Capacity of School Services,-,0.0957,0.0000,0.0000,0.0000,0.0000,0.0543,0.0000,0.0002,Placer (MS)
16,Recognition of Performance,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Placer (MS)
17,Getting Business Permits,-,-,0.0000,0.0000,0.0000,1.6592,1.6578,1.5140,0.5,Placer (MS)
18,Peace and Order,-,0.0000,0.0000,0.0000,0.0000,0.0060,0.0120,0.0331,0.0,Placer (MS)
19,Social Protection,-,-,0.0000,0.0000,0.0000,0.1460,0.1476,0.0000,0.0012,Placer (MS)
20,Road Network,-,0.0018,0.0019,0.0000,0.0000,0.0247,0.0003,0.0440,0.0004,Placer (MS)
21,Distance to Ports,-,3.0760,2.1526,1.6210,0.0000,2.2249,2.4536,2.3223,1.8128,Placer (MS)
22,Availability of Basic Utilities,-,0.0000,0.0000,0.0000,0.0000,1.2500,1.2500,0.6408,0.0035,Placer (MS)
23,Transportation Vehicles,-,0.0076,0.0125,0.0071,0.0000,0.0013,0.0005,0.0016,0.0033,Placer (MS)
24,Education,-,0.1290,0.0684,0.0573,0.0000,0.0467,0.0427,0.0683,0.054,Placer (MS)
25,Health,-,0.0000,0.0000,0.0000,0.0000,0.0062,0.0025,0.0411,0.0094,Placer (MS)
26,LGU Investment,-,0.3405,0.0000,0.0000,0.0000,0.1806,0.0818,0.0176,0.001,Placer (MS)
27,Accommodation Capacity,-,0.0000,0.0000,0.0000,0.0000,0.0008,0.0065,0.0063,0.0019,Placer (MS)
28,Information Technology Capacity,-,0.1835,0.2705,0.1421,0.0000,0.1869,0.1455,0.1818,0.0176,Placer (MS)
29,Financial Technology Capacity,-,0.0370,0.0347,0.0231,0.0000,0.1658,0.0195,0.0436,0.0603,Placer (MS)
30,Land Use Plan,-,-,-,0.0000,0.0000,2.4359,2.4359,2.3409,1.8939,Placer (MS)
31,Disaster Risk Reduction Plan,-,-,-,0.0000,0.0000,2.4074,2.4074,1.3947,0.499,Placer (MS)
32,Annual Disaster Drill,-,-,-,0.0000,0.0000,2.5000,2.5000,0.0000,1.002,Placer (MS)
33,Early Warning System,-,-,-,0.0000,0.0000,2.5000,2.5000,1.2500,1.0434,Placer (MS)
34,Budget for DRRMP,-,-,-,0.0000,0.0000,0.1398,0.0991,0.0187,0.0,Placer (MS)
35,Local Risk Assessments,-,-,-,0.0000,0.0000,2.5000,2.5000,1.2500,2.0,Placer (MS)
36,Emergency Infrastructure,-,-,-,0.0000,0.0000,0.4589,0.4575,0.2391,0.35,Placer (MS)
37,Utilities,-,-,-,0.0000,0.0000,1.5314,1.8425,1.0046,1.2567,Placer (MS)
38,Employed Population,-,-,-,0.0000,0.0000,0.0048,0.0046,0.0067,0.0005,Placer (MS)
39,Sanitary System,-,-,-,0.0000,0.0000,1.4959,1.5035,1.2502,1.0002,Placer (MS)
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Placer (MS)
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Placer (MS)
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Placer (MS)
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Placer (MS)
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,Placer (MS)
45,Internet Capability,-,-,-,-,-,-,-,-,1.0095,Placer (MS)
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Placer (MS)
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Placer (MS)
48,ICT Plan,-,-,-,-,-,-,-,-,0.0,Placer (MS)
49,New Technology,-,-,-,-,-,-,-,-,0.0,Placer (MS)
