,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.3771,0.1365,0.1847,0.0351,0.0331,0.0291,0.1018,0.0169,0.0055,Puerto Galera
1,Local Economy Growth,0.1787,0.1457,0.0914,0.0040,0.0214,0.0023,0.3313,0.0021,0.0,Puerto Galera
2,Active Establishments in the Locality,-,-,-,0.0661,0.3759,0.2013,0.3081,0.2704,0.1624,Puerto Galera
3,Safety Compliant Business,-,-,-,0.0629,0.6182,0.4363,0.2554,0.1453,0.0,Puerto Galera
4,Employment Generation,0.2681,0.1740,0.1879,0.0978,0.0642,0.1242,0.1464,0.0895,0.0235,Puerto Galera
5,Cost of Living,3.9751,3.2461,3.0000,1.2500,1.8056,1.7460,0.6466,1.0938,1.8558,Puerto Galera
6,Cost of Doing Business,3.6138,3.7200,3.4642,2.0714,2.0657,1.9767,2.1982,2.3177,1.813,Puerto Galera
7,Financial Deepening,0.4190,1.2201,1.1775,0.7071,0.0865,0.2834,0.3616,0.2179,0.1997,Puerto Galera
8,Productivity,0.0000,0.0000,0.0014,0.0054,0.0045,0.0008,0.0996,0.0954,0.0196,Puerto Galera
9,Presence of Business and Professional Organizations,3.0712,0.1245,0.0802,0.3848,0.0571,0.0489,0.0360,0.0966,0.0168,Puerto Galera
10,Compliance to National Directives,3.3333,3.3333,3.1871,2.3718,0.0000,1.2000,2.4621,2.4405,1.9643,Puerto Galera
11,Presence of Investment Promotion Unit,3.3333,3.3333,2.5000,1.2500,0.0000,0.0000,2.5000,2.5000,1.6924,Puerto Galera
12,Compliance to ARTA Citizens Charter,-,2.6266,1.6384,1.9519,0.0000,2.3497,2.3201,1.8805,2.0,Puerto Galera
13,Capacity to Generate Local Resource,0.2115,0.2279,0.1983,1.1324,0.0000,0.2023,0.1972,0.0157,0.005,Puerto Galera
14,Capacity of Health Services,0.0214,0.0144,0.0832,0.0726,0.0000,0.0680,0.0538,0.0996,0.0006,Puerto Galera
15,Capacity of School Services,0.3784,0.4798,0.4810,0.0997,0.0000,0.1735,0.0956,0.0288,0.0246,Puerto Galera
16,Recognition of Performance,0.0000,0.5556,0.3896,0.0997,0.0000,0.0298,0.0330,0.0184,0.1251,Puerto Galera
17,Getting Business Permits,-,-,1.1111,2.0392,0.0000,1.6524,2.4704,2.1306,2.0,Puerto Galera
18,Peace and Order,0.4795,0.0719,0.0639,0.3801,0.0000,0.0180,0.0108,0.0248,0.0,Puerto Galera
19,Social Protection,-,-,0.0017,0.0000,0.0000,0.3031,0.3056,0.2446,0.0003,Puerto Galera
20,Road Network,0.0000,0.0005,0.0005,0.0004,0.0000,0.0290,0.0002,0.0563,0.0002,Puerto Galera
21,Distance to Ports,1.1098,3.2355,3.1343,2.3561,0.0000,2.4991,2.4993,2.4971,1.9928,Puerto Galera
22,Availability of Basic Utilities,3.3333,2.7530,3.3333,2.5000,0.0000,2.4279,2.4593,2.2369,0.0999,Puerto Galera
23,Transportation Vehicles,0.0590,0.0866,0.3002,0.1015,0.0000,0.4320,0.5463,0.0836,0.0246,Puerto Galera
24,Education,0.2437,0.2345,0.0843,0.1069,0.0000,0.0567,0.0896,0.0576,0.0179,Puerto Galera
25,Health,0.1048,0.0351,0.0179,0.0440,0.0000,0.1081,0.1288,0.1742,0.161,Puerto Galera
26,LGU Investment,0.6327,0.3364,0.0000,0.3589,0.0000,0.2244,0.1243,0.0143,0.0008,Puerto Galera
27,Accommodation Capacity,0.1418,0.1751,0.1412,0.1131,0.0000,0.0713,0.0605,0.3963,0.3174,Puerto Galera
28,Information Technology Capacity,0.0000,0.5430,0.9227,0.4759,0.0000,0.1915,0.3158,0.2727,0.1145,Puerto Galera
29,Financial Technology Capacity,0.1142,0.1481,0.2114,0.1458,0.0000,0.1343,0.1938,0.1262,0.1293,Puerto Galera
30,Land Use Plan,-,-,-,2.5000,0.0000,0.4744,2.4744,2.4773,1.9848,Puerto Galera
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,0.3704,2.5000,2.4737,1.9998,Puerto Galera
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,0.0000,2.5000,1.2833,1.01,Puerto Galera
33,Early Warning System,-,-,-,2.5000,0.0000,0.0000,2.5000,1.2555,1.0261,Puerto Galera
34,Budget for DRRMP,-,-,-,0.0020,0.0000,0.1699,0.0797,0.0187,0.0,Puerto Galera
35,Local Risk Assessments,-,-,-,2.5000,0.0000,0.0000,2.5000,2.5000,2.0,Puerto Galera
36,Emergency Infrastructure,-,-,-,0.8634,0.0000,0.0474,0.4830,0.2582,0.3627,Puerto Galera
37,Utilities,-,-,-,0.9935,0.0000,0.6025,1.8538,1.2639,1.5036,Puerto Galera
38,Employed Population,-,-,-,0.2490,0.0000,0.1459,0.1520,0.0093,0.0097,Puerto Galera
39,Sanitary System,-,-,-,1.0750,0.0000,0.4549,1.9743,1.8752,1.5002,Puerto Galera
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0223,Puerto Galera
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Puerto Galera
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Puerto Galera
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0035,Puerto Galera
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Puerto Galera
45,Internet Capability,-,-,-,-,-,-,-,-,1.0619,Puerto Galera
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0002,Puerto Galera
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Puerto Galera
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,Puerto Galera
49,New Technology,-,-,-,-,-,-,-,-,0.0,Puerto Galera
