,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.0514,0.1719,0.0004,0.0003,0.0000,0.0055,0.0248,0.0183,Remedios T. Romualdez
1,Local Economy Growth,-,0.3943,0.1724,0.0000,0.0002,0.0000,0.0559,0.0615,0.0,Remedios T. Romualdez
2,Active Establishments in the Locality,-,-,-,0.0386,0.0014,0.0761,0.1758,0.3334,0.1669,Remedios T. Romualdez
3,Safety Compliant Business,-,-,-,0.0874,0.0498,0.0857,0.3209,0.2953,0.1477,Remedios T. Romualdez
4,Employment Generation,-,0.2610,0.0884,0.0535,0.0146,0.0257,0.1128,0.0237,0.1884,Remedios T. Romualdez
5,Cost of Living,-,4.0064,2.8333,1.7241,1.4352,2.0000,1.5164,2.0000,1.2368,Remedios T. Romualdez
6,Cost of Doing Business,-,2.7842,2.6082,1.9511,2.1270,2.1318,2.2878,2.3483,1.6629,Remedios T. Romualdez
7,Financial Deepening,-,0.1412,0.1543,0.0000,0.0336,0.0946,0.3854,0.3414,0.0287,Remedios T. Romualdez
8,Productivity,-,0.0734,0.0000,0.0000,0.0000,0.0000,0.0782,0.0086,0.1166,Remedios T. Romualdez
9,Presence of Business and Professional Organizations,-,0.3917,0.7161,0.0541,0.0361,0.0543,0.1056,0.0238,0.0053,Remedios T. Romualdez
10,Compliance to National Directives,-,3.3333,2.2222,2.2368,0.0000,2.4901,1.9444,2.3214,1.7727,Remedios T. Romualdez
11,Presence of Investment Promotion Unit,-,2.5000,2.5000,1.2500,0.0000,1.2500,2.5000,2.5000,1.9951,Remedios T. Romualdez
12,Compliance to ARTA Citizens Charter,-,3.0294,1.5603,2.1794,0.0000,2.4508,2.4371,1.7501,2.0,Remedios T. Romualdez
13,Capacity to Generate Local Resource,-,1.2510,0.6585,0.5981,0.0000,0.0519,0.0989,0.0123,0.0135,Remedios T. Romualdez
14,Capacity of Health Services,-,0.0959,0.0533,0.0814,0.0000,0.0148,0.1768,0.0708,0.0003,Remedios T. Romualdez
15,Capacity of School Services,-,0.1684,0.2038,0.0624,0.0000,0.1742,0.1348,0.4659,0.016,Remedios T. Romualdez
