,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,0.0000,0.0000,0.0046,0.0026,0.0082,0.0039,0.0015,Salvador Benedicto
1,Local Economy Growth,-,-,0.0000,0.0000,0.0042,0.0008,1.0270,0.0018,0.0007,Salvador Benedicto
2,Active Establishments in the Locality,-,-,-,0.0000,0.0023,0.0978,0.2466,0.2419,0.196,Salvador Benedicto
3,Safety Compliant Business,-,-,-,0.0000,0.0999,0.1847,0.2210,0.1563,0.1167,Salvador Benedicto
4,Employment Generation,-,-,0.0000,0.0000,0.0638,0.1306,0.0917,0.1109,0.1542,Salvador Benedicto
5,Cost of Living,-,-,2.0000,1.4224,1.9444,1.5000,0.4167,1.0938,1.9988,Salvador Benedicto
6,Cost of Doing Business,-,-,0.9525,1.5260,1.2618,1.5995,2.2251,2.0503,1.2562,Salvador Benedicto
7,Financial Deepening,-,-,0.0000,0.0132,0.0168,0.0226,0.0154,0.0184,0.0134,Salvador Benedicto
8,Productivity,-,-,0.0000,0.0000,0.0018,0.0966,0.0631,0.0697,0.0618,Salvador Benedicto
9,Presence of Business and Professional Organizations,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,Salvador Benedicto
10,Compliance to National Directives,-,-,1.7778,0.5921,0.0000,2.4981,2.3929,2.3571,1.9615,Salvador Benedicto
11,Presence of Investment Promotion Unit,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,2.5000,1.9991,Salvador Benedicto
12,Compliance to ARTA Citizens Charter,-,-,0.0000,0.8399,0.0000,2.3312,2.4955,2.2824,2.0,Salvador Benedicto
13,Capacity to Generate Local Resource,-,-,0.0000,0.0000,0.0000,0.0931,0.0620,0.0223,0.0359,Salvador Benedicto
14,Capacity of Health Services,-,-,0.0457,0.0640,0.0000,0.0266,0.0277,0.0222,0.0072,Salvador Benedicto
15,Capacity of School Services,-,-,0.2085,0.1616,0.0000,0.1455,0.0202,0.0127,0.0065,Salvador Benedicto
16,Recognition of Performance,-,-,0.0000,0.1616,0.0000,0.1981,0.0208,0.0000,0.0,Salvador Benedicto
17,Getting Business Permits,-,-,0.0000,0.5884,0.0000,1.4468,1.4776,1.5530,0.5,Salvador Benedicto
18,Peace and Order,-,-,0.1418,0.1921,0.0000,0.3111,0.4082,0.2094,0.0003,Salvador Benedicto
19,Social Protection,-,-,0.1056,0.4594,0.0000,0.1347,0.1849,0.0699,1.0449,Salvador Benedicto
20,Road Network,-,-,0.0000,0.0018,0.0000,0.0954,0.0006,0.0819,0.0007,Salvador Benedicto
21,Distance to Ports,-,-,2.9041,2.3129,0.0000,2.2124,2.2998,2.2942,1.9299,Salvador Benedicto
22,Availability of Basic Utilities,-,-,3.3333,2.1875,0.0000,1.7723,1.3660,1.3208,0.3418,Salvador Benedicto
23,Transportation Vehicles,-,-,0.0000,0.0012,0.0000,0.0002,0.0000,0.0026,0.0,Salvador Benedicto
24,Education,-,-,0.0845,0.3212,0.0000,0.0352,0.0250,0.0098,0.0182,Salvador Benedicto
25,Health,-,-,0.1802,0.0000,0.0000,0.0292,0.0000,0.0205,0.008,Salvador Benedicto
26,LGU Investment,-,-,0.0000,0.1453,0.0000,0.0790,0.0413,0.1071,0.0002,Salvador Benedicto
27,Accommodation Capacity,-,-,0.0000,0.0055,0.0000,0.0422,0.0031,0.0054,0.0112,Salvador Benedicto
28,Information Technology Capacity,-,-,0.1587,0.0694,0.0000,0.0833,0.0000,0.1630,0.1304,Salvador Benedicto
29,Financial Technology Capacity,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0455,Salvador Benedicto
30,Land Use Plan,-,-,-,1.2500,0.0000,2.3846,2.3846,2.4000,1.8919,Salvador Benedicto
31,Disaster Risk Reduction Plan,-,-,-,0.5000,0.0000,2.2222,2.0833,2.3971,1.9993,Salvador Benedicto
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.4107,2.5000,0.0000,1.0005,Salvador Benedicto
33,Early Warning System,-,-,-,0.0000,0.0000,2.5000,2.5000,1.2824,1.0257,Salvador Benedicto
34,Budget for DRRMP,-,-,-,0.0000,0.0000,0.1370,0.0501,0.0025,0.0,Salvador Benedicto
35,Local Risk Assessments,-,-,-,1.2500,0.0000,2.5000,2.5000,2.5000,2.0,Salvador Benedicto
36,Emergency Infrastructure,-,-,-,0.4287,0.0000,0.4699,0.4536,0.2374,0.3711,Salvador Benedicto
37,Utilities,-,-,-,0.9884,0.0000,1.5572,1.5477,1.2440,0.997,Salvador Benedicto
38,Employed Population,-,-,-,0.1124,0.0000,0.0366,0.0754,0.0148,0.0101,Salvador Benedicto
39,Sanitary System,-,-,-,1.0472,0.0000,1.9500,1.9350,1.2500,1.5,Salvador Benedicto
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Salvador Benedicto
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0002,Salvador Benedicto
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Salvador Benedicto
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0069,Salvador Benedicto
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,Salvador Benedicto
45,Internet Capability,-,-,-,-,-,-,-,-,0.0652,Salvador Benedicto
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Salvador Benedicto
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Salvador Benedicto
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Salvador Benedicto
49,New Technology,-,-,-,-,-,-,-,-,0.0,Salvador Benedicto
