,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.1549,0.1753,0.0004,0.0074,0.0046,0.0083,0.0045,0.0008,San Miguel (BL)
1,Local Economy Growth,-,0.4351,0.1689,0.0009,0.0037,0.0012,1.0265,0.0007,0.001,San Miguel (BL)
2,Active Establishments in the Locality,-,-,-,0.0000,0.0022,0.1627,0.2519,0.3227,0.2362,San Miguel (BL)
3,Safety Compliant Business,-,-,-,0.0445,0.0456,0.1487,0.1587,0.1143,0.1429,San Miguel (BL)
4,Employment Generation,-,0.1795,0.0151,0.0406,0.0390,0.2228,0.1176,0.1302,0.1546,San Miguel (BL)
5,Cost of Living,-,3.2051,2.9167,0.5603,1.8981,1.2500,1.9271,2.2500,1.9993,San Miguel (BL)
6,Cost of Doing Business,-,3.4112,3.3890,1.9169,2.0165,2.0964,2.1222,2.2133,1.8666,San Miguel (BL)
7,Financial Deepening,-,0.9887,1.0802,0.1720,0.1091,0.2025,0.1599,0.2646,0.0688,San Miguel (BL)
8,Productivity,-,0.0170,0.0985,0.0025,0.0069,0.0636,0.0747,0.0912,0.0758,San Miguel (BL)
9,Presence of Business and Professional Organizations,-,1.3462,0.0000,0.2901,0.3027,0.0019,0.0466,0.0534,0.0381,San Miguel (BL)
10,Compliance to National Directives,-,3.3333,3.1650,2.3684,0.0000,2.4981,2.3929,2.3214,1.8846,San Miguel (BL)
11,Presence of Investment Promotion Unit,-,0.0000,0.0000,2.5000,0.0000,2.5000,2.5000,2.5000,1.9991,San Miguel (BL)
12,Compliance to ARTA Citizens Charter,-,2.6406,1.4697,2.0890,0.0000,2.2512,2.4328,1.9834,2.0,San Miguel (BL)
13,Capacity to Generate Local Resource,-,1.7065,1.5823,0.1654,0.0000,0.1455,0.5835,0.0320,0.1342,San Miguel (BL)
14,Capacity of Health Services,-,0.1139,0.1370,0.1570,0.0000,0.0872,0.0975,0.1119,0.0666,San Miguel (BL)
15,Capacity of School Services,-,0.1785,0.2323,0.0934,0.0000,0.3572,0.0509,0.0794,0.0462,San Miguel (BL)
16,Recognition of Performance,-,0.5556,0.5013,0.0934,0.0000,0.1777,0.0833,0.0000,0.0,San Miguel (BL)
17,Getting Business Permits,-,-,1.1111,2.1804,0.0000,2.3324,1.5702,2.1686,2.0,San Miguel (BL)
18,Peace and Order,-,0.1682,0.1525,0.1959,0.0000,0.2304,0.2934,0.1047,0.1891,San Miguel (BL)
19,Social Protection,-,-,0.0258,0.2475,0.0000,1.3094,0.8681,0.1241,1.1595,San Miguel (BL)
20,Road Network,-,0.0002,0.0003,0.0011,0.0000,0.0589,0.0008,0.0482,0.0013,San Miguel (BL)
21,Distance to Ports,-,2.8975,3.0314,2.3882,0.0000,2.2957,2.1616,2.1603,1.9568,San Miguel (BL)
22,Availability of Basic Utilities,-,3.3333,3.3333,1.1742,0.0000,1.6250,1.6188,2.2500,0.3328,San Miguel (BL)
23,Transportation Vehicles,-,0.1318,0.0699,0.0220,0.0000,0.0054,0.0008,0.0033,0.0016,San Miguel (BL)
24,Education,-,0.1569,0.1022,0.1488,0.0000,0.1970,0.0277,0.0292,0.0443,San Miguel (BL)
25,Health,-,0.2083,0.1412,0.1242,0.0000,0.0323,0.0783,0.0220,0.0545,San Miguel (BL)
26,LGU Investment,-,0.0000,1.1605,0.0000,0.0000,0.0770,0.0554,0.1075,0.0001,San Miguel (BL)
27,Accommodation Capacity,-,0.0000,0.0000,0.0238,0.0000,0.0040,0.0000,0.0000,0.0,San Miguel (BL)
28,Information Technology Capacity,-,0.8932,1.0688,0.5754,0.0000,0.2000,0.3981,0.1087,0.1739,San Miguel (BL)
29,Financial Technology Capacity,-,0.2778,0.3333,0.2500,0.0000,0.3125,0.3750,0.2083,0.1364,San Miguel (BL)
