,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,0.4877,0.0001,0.0000,0.0001,0.0001,0.0001,0.0,San Miguel (ZR)
1,Local Economy Growth,-,-,0.0000,0.0000,0.0001,0.0256,1.0260,0.0014,0.0003,San Miguel (ZR)
2,Active Establishments in the Locality,-,-,-,0.0064,0.0023,0.1609,0.1994,0.2938,0.2192,San Miguel (ZR)
3,Safety Compliant Business,-,-,-,0.0335,0.0866,0.1696,0.1443,0.1892,0.13,San Miguel (ZR)
4,Employment Generation,-,-,0.1629,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,San Miguel (ZR)
5,Cost of Living,-,-,1.0833,1.2931,1.6667,1.2500,2.0313,2.3438,1.9996,San Miguel (ZR)
6,Cost of Doing Business,-,-,2.1399,1.3588,1.6576,1.2808,1.9117,2.3749,1.9063,San Miguel (ZR)
7,Financial Deepening,-,-,0.0000,0.0000,0.0294,0.1581,0.3537,0.3418,0.1117,San Miguel (ZR)
8,Productivity,-,-,0.0034,0.0000,0.0000,0.0000,0.0001,0.0001,0.0,San Miguel (ZR)
9,Presence of Business and Professional Organizations,-,-,0.1172,0.0000,0.0076,0.0436,0.0047,0.0030,0.0,San Miguel (ZR)
10,Compliance to National Directives,-,-,3.2997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,San Miguel (ZR)
11,Presence of Investment Promotion Unit,-,-,0.0000,0.0000,0.0000,2.5000,2.5000,2.5000,1.9994,San Miguel (ZR)
12,Compliance to ARTA Citizens Charter,-,-,1.5941,2.1919,0.0000,2.4031,2.4985,2.0512,2.0,San Miguel (ZR)
13,Capacity to Generate Local Resource,-,-,0.3188,0.5426,0.0000,0.0176,0.0183,0.0091,0.0133,San Miguel (ZR)
14,Capacity of Health Services,-,-,0.0533,0.0610,0.0000,0.0476,0.0476,0.0411,0.0313,San Miguel (ZR)
15,Capacity of School Services,-,-,0.3929,0.2136,0.0000,0.0000,0.0200,0.0000,0.0538,San Miguel (ZR)
16,Recognition of Performance,-,-,0.5890,0.2136,0.0000,0.0837,0.0833,0.0000,0.0,San Miguel (ZR)
17,Getting Business Permits,-,-,0.0000,1.3943,0.0000,2.4198,2.4947,1.8561,1.0,San Miguel (ZR)
18,Peace and Order,-,-,0.2137,0.2539,0.0000,0.2419,0.3444,0.1293,0.0002,San Miguel (ZR)
19,Social Protection,-,-,0.0429,0.0560,0.0000,0.5654,0.5168,0.0000,0.0,San Miguel (ZR)
20,Road Network,-,-,0.0009,0.0003,0.0000,0.1036,0.0002,0.0061,0.0007,San Miguel (ZR)
21,Distance to Ports,-,-,3.1322,1.6096,0.0000,2.4165,2.3713,2.4047,1.9787,San Miguel (ZR)
22,Availability of Basic Utilities,-,-,3.3333,0.1042,0.0000,0.6771,1.0483,0.7031,0.3503,San Miguel (ZR)
23,Transportation Vehicles,-,-,0.0760,0.0009,0.0000,0.0003,0.0024,0.0000,0.014,San Miguel (ZR)
24,Education,-,-,0.1881,0.1013,0.0000,0.0412,0.0732,0.0225,0.0722,San Miguel (ZR)
25,Health,-,-,0.0524,0.0735,0.0000,0.0384,0.0297,0.0000,0.0094,San Miguel (ZR)
26,LGU Investment,-,-,0.0000,0.0000,0.0000,0.0665,0.0495,0.0000,0.0002,San Miguel (ZR)
27,Accommodation Capacity,-,-,0.0000,0.0109,0.0000,0.0000,0.0000,0.0000,0.0,San Miguel (ZR)
28,Information Technology Capacity,-,-,2.0159,0.7143,0.0000,0.5888,0.9583,0.1087,0.2609,San Miguel (ZR)
29,Financial Technology Capacity,-,-,0.0000,0.0000,0.0000,0.4212,0.2813,0.4762,0.0909,San Miguel (ZR)
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4872,2.4872,2.4857,1.9595,San Miguel (ZR)
31,Disaster Risk Reduction Plan,-,-,-,2.0000,0.0000,2.4537,2.4537,2.4853,2.0,San Miguel (ZR)
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,1.2500,1.2500,0.0000,1.009,San Miguel (ZR)
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2500,1.6621,San Miguel (ZR)
34,Budget for DRRMP,-,-,-,0.0000,0.0000,0.1153,0.0361,0.0000,0.0,San Miguel (ZR)
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,San Miguel (ZR)
36,Emergency Infrastructure,-,-,-,0.4177,0.0000,0.4975,0.4846,0.2239,0.353,San Miguel (ZR)
37,Utilities,-,-,-,0.9741,0.0000,1.8790,1.2525,1.2551,1.4987,San Miguel (ZR)
38,Employed Population,-,-,-,0.0313,0.0000,0.0000,0.2072,0.0000,0.0,San Miguel (ZR)
39,Sanitary System,-,-,-,1.0111,0.0000,1.2992,1.5036,1.2506,1.0,San Miguel (ZR)
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0513,San Miguel (ZR)
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,San Miguel (ZR)
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,San Miguel (ZR)
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.01,San Miguel (ZR)
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,San Miguel (ZR)
45,Internet Capability,-,-,-,-,-,-,-,-,1.1304,San Miguel (ZR)
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,San Miguel (ZR)
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,San Miguel (ZR)
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,San Miguel (ZR)
49,New Technology,-,-,-,-,-,-,-,-,0.0,San Miguel (ZR)
