,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.2567,0.1793,0.0031,0.0124,0.0200,0.0500,0.0163,0.004,Santa Rita (PA)
1,Local Economy Growth,-,0.0000,0.0794,0.0028,0.0017,0.0014,1.0286,0.0005,0.0008,Santa Rita (PA)
2,Active Establishments in the Locality,-,-,-,0.0000,0.0048,0.3030,0.3500,0.4307,0.4206,Santa Rita (PA)
3,Safety Compliant Business,-,-,-,0.3093,0.1848,0.2427,0.2462,0.3421,0.2892,Santa Rita (PA)
4,Employment Generation,-,0.8811,0.3216,0.3160,0.1193,0.2493,0.1921,0.3606,0.4375,Santa Rita (PA)
5,Cost of Living,-,2.5641,2.6667,1.5086,1.8519,2.2500,0.8854,1.0313,1.9993,Santa Rita (PA)
6,Cost of Doing Business,-,2.5559,1.4483,1.3413,1.0006,0.5028,1.1676,1.6102,1.9036,Santa Rita (PA)
7,Financial Deepening,-,0.7768,0.9259,0.1984,0.0587,0.2042,0.3079,0.3480,0.2564,Santa Rita (PA)
8,Productivity,-,0.0364,0.0151,0.0014,0.0066,0.1539,0.1368,0.3190,0.2762,Santa Rita (PA)
9,Presence of Business and Professional Organizations,-,0.0000,0.0000,0.0010,0.0000,0.0000,0.0016,0.0000,0.0,Santa Rita (PA)
10,Compliance to National Directives,-,3.3333,3.2997,0.0000,0.0000,2.4988,2.4286,2.3571,1.8077,Santa Rita (PA)
11,Presence of Investment Promotion Unit,-,0.0000,0.0000,0.0000,0.0000,2.5000,2.5000,2.5000,1.9991,Santa Rita (PA)
12,Compliance to ARTA Citizens Charter,-,2.1427,1.7575,2.4027,0.0000,0.0000,2.4761,2.0737,2.0,Santa Rita (PA)
13,Capacity to Generate Local Resource,-,0.0000,0.1206,0.0489,0.0000,0.0000,0.0410,0.0295,0.0293,Santa Rita (PA)
14,Capacity of Health Services,-,0.0862,0.0725,0.0567,0.0000,0.0494,0.0492,0.0438,0.0305,Santa Rita (PA)
15,Capacity of School Services,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.1155,0.1340,0.0111,Santa Rita (PA)
16,Recognition of Performance,-,0.0000,0.3258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Santa Rita (PA)
17,Getting Business Permits,-,-,0.0000,1.5427,0.0000,2.4626,2.4916,1.8702,2.0,Santa Rita (PA)
18,Peace and Order,-,0.2163,0.0897,0.1091,0.0000,0.2995,0.4082,0.1293,0.0001,Santa Rita (PA)
19,Social Protection,-,-,0.1034,0.0000,0.0000,1.1657,1.0045,0.1762,1.1392,Santa Rita (PA)
20,Road Network,-,0.0002,0.0033,0.0027,0.0000,0.0155,0.0006,0.0106,0.0,Santa Rita (PA)
21,Distance to Ports,-,3.0362,2.1500,0.0000,0.0000,0.0000,2.2817,2.4228,1.9409,Santa Rita (PA)
22,Availability of Basic Utilities,-,0.0000,3.3333,2.5000,0.0000,1.7813,2.1438,2.4375,0.451,Santa Rita (PA)
23,Transportation Vehicles,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0182,0.1131,0.0172,Santa Rita (PA)
24,Education,-,0.1803,0.1452,0.2162,0.0000,0.0000,0.0538,0.1550,0.0802,Santa Rita (PA)
25,Health,-,0.4844,0.4105,0.3129,0.0000,0.1785,0.1320,0.1695,0.1266,Santa Rita (PA)
26,LGU Investment,-,0.0000,0.0000,0.0000,0.0000,0.0614,0.0565,0.1034,0.0001,Santa Rita (PA)
27,Accommodation Capacity,-,0.0000,0.0000,0.0218,0.0000,0.0000,0.0000,0.0000,0.0,Santa Rita (PA)
28,Information Technology Capacity,-,1.2051,1.3757,0.6944,0.0000,0.2930,0.4074,0.2717,0.2174,Santa Rita (PA)
29,Financial Technology Capacity,-,0.0000,0.2381,0.1563,0.0000,0.1087,0.1563,0.0893,0.0455,Santa Rita (PA)
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4744,2.4359,2.4143,1.9324,Santa Rita (PA)
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.5000,2.5000,1.9995,Santa Rita (PA)
