,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,-,-,-,-,-,0.0000,0.0,Tubaran
1,Local Economy Growth,-,-,-,-,-,-,-,0.0000,0.0004,Tubaran
2,Active Establishments in the Locality,-,-,-,-,-,-,-,0.0000,0.0,Tubaran
3,Safety Compliant Business,-,-,-,-,-,-,-,0.0000,0.0,Tubaran
4,Employment Generation,-,-,-,-,-,-,-,0.0000,0.0,Tubaran
5,Cost of Living,-,-,-,-,-,-,-,1.6250,1.9993,Tubaran
6,Cost of Doing Business,-,-,-,-,-,-,-,1.9161,1.918,Tubaran
7,Financial Deepening,-,-,-,-,-,-,-,0.0000,0.0,Tubaran
8,Productivity,-,-,-,-,-,-,-,0.0000,0.0,Tubaran
9,Presence of Business and Professional Organizations,-,-,-,-,-,-,-,0.0000,0.0,Tubaran
10,Compliance to National Directives,-,-,-,-,-,-,-,2.4643,1.8077,Tubaran
11,Presence of Investment Promotion Unit,-,-,-,-,-,-,-,2.5000,1.9994,Tubaran
12,Compliance to ARTA Citizens Charter,-,-,-,-,-,-,-,0.0000,1.0,Tubaran
13,Capacity to Generate Local Resource,-,-,-,-,-,-,-,0.0001,0.1393,Tubaran
14,Capacity of Health Services,-,-,-,-,-,-,-,0.0246,0.0174,Tubaran
15,Capacity of School Services,-,-,-,-,-,-,-,0.0051,0.0,Tubaran
16,Recognition of Performance,-,-,-,-,-,-,-,0.0720,0.0,Tubaran
17,Getting Business Permits,-,-,-,-,-,-,-,1.2216,0.0,Tubaran
18,Peace and Order,-,-,-,-,-,-,-,0.0739,0.0003,Tubaran
19,Social Protection,-,-,-,-,-,-,-,0.0000,0.2952,Tubaran
20,Road Network,-,-,-,-,-,-,-,0.2451,0.0,Tubaran
21,Distance to Ports,-,-,-,-,-,-,-,0.8322,1.8716,Tubaran
22,Availability of Basic Utilities,-,-,-,-,-,-,-,1.5208,0.0,Tubaran
23,Transportation Vehicles,-,-,-,-,-,-,-,0.0101,0.0,Tubaran
24,Education,-,-,-,-,-,-,-,0.0125,0.0292,Tubaran
25,Health,-,-,-,-,-,-,-,0.0093,0.008,Tubaran
26,LGU Investment,-,-,-,-,-,-,-,0.0000,0.0,Tubaran
27,Accommodation Capacity,-,-,-,-,-,-,-,0.0000,0.0,Tubaran
28,Information Technology Capacity,-,-,-,-,-,-,-,0.0000,0.0435,Tubaran
29,Financial Technology Capacity,-,-,-,-,-,-,-,0.0000,0.0,Tubaran
30,Land Use Plan,-,-,-,-,-,-,-,2.4857,0.0,Tubaran
31,Disaster Risk Reduction Plan,-,-,-,-,-,-,-,2.4853,1.9998,Tubaran
32,Annual Disaster Drill,-,-,-,-,-,-,-,1.2500,1.0075,Tubaran
33,Early Warning System,-,-,-,-,-,-,-,0.0000,0.0,Tubaran
34,Budget for DRRMP,-,-,-,-,-,-,-,0.0000,0.0,Tubaran
35,Local Risk Assessments,-,-,-,-,-,-,-,2.5000,2.0,Tubaran
36,Emergency Infrastructure,-,-,-,-,-,-,-,0.0154,0.0054,Tubaran
37,Utilities,-,-,-,-,-,-,-,1.2470,1.0,Tubaran
38,Employed Population,-,-,-,-,-,-,-,0.0872,0.0034,Tubaran
39,Sanitary System,-,-,-,-,-,-,-,1.2500,1.0,Tubaran
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Tubaran
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Tubaran
42,STEM graduates,-,-,-,-,-,-,-,-,0.0161,Tubaran
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Tubaran
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,Tubaran
45,Internet Capability,-,-,-,-,-,-,-,-,0.0217,Tubaran
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Tubaran
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Tubaran
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Tubaran
49,New Technology,-,-,-,-,-,-,-,-,0.0,Tubaran
