,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,0.3677,0.0062,0.0293,0.0856,0.1426,0.0722,0.0137,Zaragoza
1,Local Economy Growth,-,-,0.0817,0.0076,0.0013,0.0700,1.0264,0.0007,0.0006,Zaragoza
2,Active Establishments in the Locality,-,-,-,0.0000,0.0058,0.3753,0.5636,0.5361,0.4277,Zaragoza
3,Safety Compliant Business,-,-,-,0.0144,0.2820,0.4416,0.6360,0.5237,0.3896,Zaragoza
4,Employment Generation,-,-,0.5536,0.4329,0.1798,0.3673,0.3228,0.3480,0.4124,Zaragoza
5,Cost of Living,-,-,3.5833,2.1121,2.2685,2.2500,0.7292,0.7188,1.9995,Zaragoza
6,Cost of Doing Business,-,-,0.1634,0.0498,1.8754,1.8611,1.9522,1.9644,1.8218,Zaragoza
7,Financial Deepening,-,-,2.2377,0.5423,0.2810,0.6109,0.8644,1.0714,0.4474,Zaragoza
8,Productivity,-,-,0.0076,0.0009,0.0145,0.2809,0.2944,0.3324,0.2784,Zaragoza
9,Presence of Business and Professional Organizations,-,-,0.0000,0.0000,0.0044,0.0343,0.0088,0.0061,0.0042,Zaragoza
10,Compliance to National Directives,-,-,3.2323,2.3684,0.0000,2.4988,2.4286,2.3571,1.8077,Zaragoza
11,Presence of Investment Promotion Unit,-,-,2.5000,2.5000,0.0000,2.5000,2.5000,2.5000,1.9991,Zaragoza
12,Compliance to ARTA Citizens Charter,-,-,2.0807,2.4018,0.0000,2.3316,2.4961,2.3491,2.0,Zaragoza
13,Capacity to Generate Local Resource,-,-,0.0000,0.6028,0.0000,0.3575,0.1841,0.1447,0.2228,Zaragoza
14,Capacity of Health Services,-,-,0.1625,0.1264,0.0000,0.1186,0.0893,0.1135,0.0402,Zaragoza
15,Capacity of School Services,-,-,0.1500,0.0570,0.0000,0.6437,0.1041,0.2075,0.0278,Zaragoza
16,Recognition of Performance,-,-,0.2381,0.0570,0.0000,0.8660,0.1082,0.0000,0.0954,Zaragoza
17,Getting Business Permits,-,-,0.0000,1.6023,0.0000,1.6293,1.6583,1.5577,1.5,Zaragoza
18,Peace and Order,-,-,0.0936,0.2058,0.0000,0.5760,0.7270,0.3633,0.0002,Zaragoza
19,Social Protection,-,-,0.0976,0.0862,0.0000,1.0866,0.9958,0.1786,1.1645,Zaragoza
20,Road Network,-,-,0.0000,0.0014,0.0000,0.0395,0.0005,0.0549,0.001,Zaragoza
21,Distance to Ports,-,-,0.0000,0.8331,0.0000,2.2907,2.1966,2.3532,1.9012,Zaragoza
22,Availability of Basic Utilities,-,-,0.0000,0.0000,0.0000,2.0625,2.0625,2.3813,0.4138,Zaragoza
23,Transportation Vehicles,-,-,0.5392,0.3500,0.0000,0.0737,0.1077,0.1434,0.0135,Zaragoza
24,Education,-,-,0.1797,0.2526,0.0000,0.1442,0.1022,0.0803,0.1016,Zaragoza
25,Health,-,-,0.1180,0.1398,0.0000,0.4267,0.4910,0.5176,0.2064,Zaragoza
26,LGU Investment,-,-,0.0000,0.0000,0.0000,0.0889,0.0694,0.1354,0.0002,Zaragoza
27,Accommodation Capacity,-,-,0.1010,0.0055,0.0000,0.0223,0.0160,0.0333,0.0,Zaragoza
28,Information Technology Capacity,-,-,0.1852,0.3671,0.0000,0.4388,0.7963,0.2174,0.3478,Zaragoza
29,Financial Technology Capacity,-,-,0.9524,0.6250,0.0000,0.5367,1.1563,0.6052,0.3636,Zaragoza
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4744,2.4744,2.4429,1.9189,Zaragoza
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.4537,2.4706,1.9998,Zaragoza
32,Annual Disaster Drill,-,-,-,0.0000,0.0000,2.4107,2.5000,1.2829,1.002,Zaragoza
33,Early Warning System,-,-,-,0.0000,0.0000,2.5000,2.5000,1.2973,1.0079,Zaragoza
34,Budget for DRRMP,-,-,-,0.0020,0.0000,0.1642,0.0567,0.0024,0.0,Zaragoza
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Zaragoza
36,Emergency Infrastructure,-,-,-,0.8653,0.0000,0.5132,0.5308,0.2986,0.4037,Zaragoza
37,Utilities,-,-,-,0.9774,0.0000,1.8884,1.8858,1.2881,1.5025,Zaragoza
38,Employed Population,-,-,-,0.0722,0.0000,0.0524,0.0405,0.0227,0.0038,Zaragoza
39,Sanitary System,-,-,-,1.0000,0.0000,2.0591,1.9468,1.8752,1.5001,Zaragoza
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Zaragoza
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Zaragoza
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Zaragoza
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0171,Zaragoza
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Zaragoza
45,Internet Capability,-,-,-,-,-,-,-,-,1.1739,Zaragoza
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Zaragoza
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Zaragoza
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Zaragoza
49,New Technology,-,-,-,-,-,-,-,-,0.0,Zaragoza
