city_municipality,Cluster_Id
Aborlan,2
Abra De Ilog,1
Abucay,2
Abulug,2
Abuyog,2
Adams,2
Agdangan,2
Aglipay,2
Agno,2
Agoncillo,2
Agoo,2
Aguilar,2
Aguinaldo,2
Agutaya,1
Ajuy,2
Akbar,1
Al-Barka,1
Alabat,2
Alabel,2
Alamada,2
Alaminos (LA),2
Alaminos (PS),0
Alang-Alang,2
Albuera,2
Alburquerque,2
Alcala (CG),1
Alcala (PS),2
Alcantara (CU),1
Alcantara (RN),1
Alcoy,2
Alegria (CU),2
Alegria (SN),2
Aleosan,2
Alfonso,2
Alfonso Castaneda,1
Alfonso Lista,2
Aliaga,1
Alicia (BL),2
Alicia (IA),2
Alicia (ZS),1
Alilem,2
Alimodian,2
Alitagtag,2
Allacapan,2
Allen,1
Almagro,1
Almeria,2
Aloguinsan,2
Aloran,2
Altavas,1
Alubijid,2
Amadeo,2
Amai Manabilang,2
Ambaguio,2
Amlan,1
Ampatuan,2
Amulung,1
Anahawan,1
Anao,2
Anda (BL),1
Anda (PS),1
Angadanan,2
Angat,2
Angeles,0
Angono,0
Anilao,2
Anini-Y,1
Antequera,2
Antipas,2
Antipolo,0
Apalit,2
Aparri,2
Araceli,1
Arakan,2
Arayat,2
Argao,2
Aringay,2
Aritao,2
Aroroy,1
Arteche,1
Asingan,2
Asipulo,2
Asturias,1
Asuncion,2
Atimonan,2
Atok,1
Aurora (IA),2
Aurora (ZR),1
Ayungon,1
Baao,2
Babatngon,2
Bacacay,2
Bacarra,2
Baclayon,2
Bacnotan,2
Baco,2
Bacolod (LN),2
Bacolod (NO),0
Bacolod-Kalawi,1
Bacolor,2
Bacong,1
Bacoor,0
Bacuag,2
Bacungan Leon B. Postigo,1
Badian,2
Badiangan,2
Badoc,2
Bagabag,2
Bagac,2
Bagamanoc,1
Baganga,2
Baggao,2
Bago,2
Baguio,2
Bagulin,2
Bagumbayan,2
Bais,2
Bakun,1
Balabac,1
Balabagan,2
Balagtas,2
Balamban,2
Balanga,0
Balangiga,1
Balangkayan,1
Balaoan,2
Balasan,2
Balatan,1
Balayan,1
Balbalan,2
Baleno,1
Baler,0
Balete (AK),2
Balete (BS),1
Baliangao,1
Baliguian,1
Balilihan,2
Balindong,1
Balingasag,2
Balingoan,2
Baliwag,0
Ballesteros,2
Baloi,2
Balud,1
Balungao,2
Bamban,2
Bambang,2
Banate,2
Banaue,2
Banaybanay,2
Banayoyo,2
Banga (AK),2
Banga (SC),2
Bangar,2
Bangued,2
Bangui,2
Bani,2
Banisilan,2
Banna,2
Bansalan,2
Bansud,1
Bantay,2
Bantayan Island,2
Banton,1
Baras (CT),2
Baras (RL),2
Barbaza,1
Barcelona,2
Barili,2
Barira,2
Barlig,2
Barobo,2
Barotac Nuevo,2
Barotac Viejo,2
Baroy,2
Barugo,2
Basay,2
Basco,2
Basey,2
Basilisa,1
Basista,1
Basud (CN),2
Batac,2
Batad,2
Batan,1
Batangas,0
Bataraza,2
Bato (CS),1
Bato (CT),2
Bato (LE),2
Batuan (BL),2
Batuan (MS),1
Bauan,2
Bauang,2
Bauko,2
Baungon,1
Bautista,2
Bay,2
Bayabas,2
Bayambang,2
Bayang,2
Bayawan,2
Baybay,2
Bayog,2
Bayombong,2
Bayugan,2
Belison,2
Benito Soliven,2
Besao,2
Bien Unido,2
Bilar,2
Biliran,1
Binalbagan,2
Binalonan,2
Binan,0
Binangonan,0
Bindoy,2
Bingawan,2
Binidayan,1
Binmaley,2
Binuangan,2
Biri,1
Bislig,2
Boac,2
Bobon,1
Bocaue,2
Bogo,2
Bokod,2
Bolinao,1
Boliney,1
Boljoon,2
Bombon,1
Bongabon,2
Bongabong,2
Bongao,1
Bonifacio,1
Bontoc (MP),2
Bontoc (SL),1
Borbon,1
Borongan,2
Boston,2
Botolan,2
Braulio E. Dujali,2
Buadiposo-Buntong,1
Bubong,1
Bucay,2
Bucloc,1
Buenavista (AN),2
Buenavista (BL),2
Buenavista (GS),2
Buenavista (ME),2
Buenavista (QN),2
Bugallon,1
Bugasong,2
Buguey,2
Buguias,2
Buhi,1
Bula,2
Bulakan,2
Bulalacao,2
Bulan,1
Buldon,2
Buluan,1
Bulusan,1
Bunawan,2
Burauen,2
Burdeos,1
Burgos (IA),2
Burgos (IN),2
Burgos (IS),2
Burgos (LU),2
Burgos (PS),1
Burgos (SN),2
Buruanga,2
Bustos,2
Busuanga,1
Butig,1
Butuan,2
Buug,2
Caba,2
Cabadbaran,2
Cabagan,2
Cabanatuan,0
Cabangan,2
Cabanglasan,2
Cabarroguis,2
Cabatuan (IA),2
Cabatuan (IO),2
Cabiao,2
Cabucgayan,2
Cabugao,2
Cabusao,1
Cabuyao,0
Cadiz,0
Cagayan De Oro,0
Cagayancillo,1
Cagdianao,2
Cagwait,2
Caibiran,1
Cainta,0
Cajidiocan,1
Calabanga,2
Calaca,2
Calamba (LA),0
Calamba (MC),2
Calanasan,1
Calanogas,2
Calapan,0
Calape,2
Calasiao,2
Calatagan,1
Calatrava (NO),2
Calatrava (RN),1
Calauag,1
Calauan,1
Calayan,1
Calbayog,0
Calbiga,2
Calinog,2
Calintaan,1
Caloocan,0
Calubian,1
Calumpit,1
Caluya,1
Camalaniugan,2
Camalig,2
Camaligan,2
Camiling,2
Can-Avid,1
Canaman,2
Candaba,2
Candelaria (QN),0
Candelaria (ZA),2
Candijay,2
Candon,0
Candoni,1
Canlaon,2
Cantilan,1
Caoayan,2
Capalonga,1
Capas,2
Capoocan,1
Capul,1
Caraga,2
Caramoan,1
Caramoran,1
Carasi,2
Carcar,2
Cardona,2
Carigara,2
Carles,2
Carmen (AN),2
Carmen (BL),2
Carmen (CU),1
Carmen (DN),2
Carmen (NC),2
Carmen (SS),2
Carmona,2
Carranglan,2
Carrascal,1
Casiguran (AU),1
Casiguran (SO),1
Castilla,2
Castillejos,2
Cataingan,2
Catanauan,1
Catarman (CM),2
Catarman (NS),1
Catbalogan,0
Cateel,2
Catigbian,2
Catmon,2
Catubig,1
Cauayan (IA),0
Cauayan (NO),2
Cavinti,2
Cavite,0
Cawayan,1
Cebu,0
Cervantes,2
Clarin (BL),2
Clarin (MC),2
Claver,2
Claveria (CG),2
Claveria (MO),2
Claveria (MS),1
